banner.arg,banner.vd,value,se,x,Z_Score
0,1,-0.132112760450985,0.0315091338446501,0,-4.19284011748285
0.111111111111111,1,-0.972847130543312,0.408601544743712,0.111111111111111,-2.38091887575587
0.222222222222222,1,-0.77694917189498,0.84357467001816,0.222222222222222,-0.921020034750753
0.333333333333333,1,-0.336816230524235,0.782338870364276,0.333333333333333,-0.430524729478679
0.444444444444444,1,0.281030030701562,1.02465331576014,0.444444444444444,0.274268405107419
0.555555555555556,1,0.784501148983667,0.905484353159231,0.555555555555556,0.866388409967048
0.666666666666667,1,1.18959480963093,0.847042302260798,0.666666666666667,1.40441015337231
0.777777777777778,1,1.43632464515171,1.88094942563516,0.777777777777778,0.763616833911784
0.888888888888889,1,1.55147956800909,3.10188176716084,0.888888888888889,0.500173663752878
1,1,1.61825557614339,4.06503837404851,1,0.398091094655943
0,2,-0.132112760450985,0.0315091338446501,0,-4.19284011748285
0.111111111111111,2,-0.163062154744181,0.0736665241061351,0.222222222222222,-2.21351769644036
0.222222222222222,2,-0.452444936187717,0.332062876933339,0.444444444444444,-1.36252790545612
0.333333333333333,2,-0.740805631414181,0.405712472435331,0.666666666666667,-1.82593753395704
0.444444444444444,2,-0.392626652380121,0.719763258610436,0.888888888888889,-0.545494157534688
0.555555555555556,2,-0.507026836045973,1.07803271614853,1.11111111111111,-0.470326019285776
0.666666666666667,2,-0.638420324219095,1.15579300739369,1.33333333333333,-0.552365622680769
0.777777777777778,2,-0.540458751260763,1.04972051766244,1.55555555555556,-0.514859662326387
0.888888888888889,2,-0.348970596995088,1.25063248788579,1.77777777777778,-0.279035288444351
1,2,-0.150887663166332,1.91994123956865,2,-0.0785897297566414
0,3,-0.132112760450985,0.0315091338446501,0,-4.19284011748285
0.111111111111111,3,0.016976244020535,0.0489942587767326,0.333333333333333,0.346494557615331
0.222222222222222,3,-0.651844249353962,0.193124582004035,0.666666666666667,-3.37525260942878
0.333333333333333,3,-0.747700882440637,0.309211872488514,1,-2.41808594354155
0.444444444444444,3,-0.51936021408095,0.531149674410326,1.33333333333333,-0.977803882978063
0.555555555555556,3,-1.06680725024221,0.626281817505452,1.66666666666667,-1.70339808760761
0.666666666666667,3,-1.31860020896407,1.10586522836176,2,-1.19236971662221
0.777777777777778,3,-1.26834211869996,1.07550314829057,2.33333333333333,-1.17930116775193
0.888888888888889,3,-1.1056457538267,1.19894674475462,2.66666666666667,-0.922180871388898
1,3,-0.907325792501725,1.83580210182798,3,-0.494239434413037
0,4,-0.132112760450985,0.0315091338446501,0,-4.19284011748285
0.111111111111111,4,0.0709926766067337,0.0415527647505803,0.444444444444444,1.70849465812602
0.222222222222222,4,-0.562994008141797,0.206156482869656,0.888888888888889,-2.73090615587264
0.333333333333333,4,-0.579522477765759,0.284335055607375,1.33333333333333,-2.03816752924759
0.444444444444444,4,-0.284471617348492,0.555518087885546,1.77777777777778,-0.512083447059787
0.555555555555556,4,-1.0261528398329,0.539192569725543,2.22222222222222,-1.90312867322195
0.666666666666667,4,-1.41917517705017,1.01477031701138,2.66666666666667,-1.39851861377834
0.777777777777778,4,-1.44029026027191,0.945772377691864,3.11111111111111,-1.52287198721843
0.888888888888889,4,-1.32907223717527,1.0759037844173,3.55555555555556,-1.23530770727336
1,4,-1.15790121788487,1.83922756272759,4,-0.629558430587942
0,5,-0.132112760450985,0.0315091338446501,0,-4.19284011748285
0.111111111111111,5,0.0960502336660345,0.0467770111728372,0.555555555555556,2.05336406191359
0.222222222222222,5,-0.407135286927062,0.20986639896924,1.11111111111111,-1.93997366384857
0.333333333333333,5,-0.320794817024428,0.233513997450648,1.66666666666667,-1.37377125365783
0.444444444444444,5,0.00634208099634807,0.520213204486056,2.22222222222222,0.01219131106565
0.555555555555556,5,-0.708616411638771,0.392411140204176,2.77777777777778,-1.80580095475901
0.666666666666667,5,-1.27748872583293,0.858732993605288,3.33333333333333,-1.4876436975707
0.777777777777778,5,-1.43015069435009,0.822112564289102,3.88888888888889,-1.73960447324725
0.888888888888889,5,-1.37896868437023,0.983849907341219,4.44444444444444,-1.40160473064107
1,5,-1.2380606527901,1.85320834409243,5,-0.668063392190486
0,6,-0.132112760450985,0.0315091338446501,0,-4.19284011748285
0.111111111111111,6,0.11219596506776,0.0536311707574058,0.666666666666667,2.09199171830995
0.222222222222222,6,-0.279701147738682,0.223853815729611,1.33333333333333,-1.24948126002251
0.333333333333333,6,-0.110753523432115,0.241263542964519,2,-0.459056192540465
0.444444444444444,6,0.215746706151994,0.536385011604366,2.66666666666667,0.402223592166903
0.555555555555556,6,-0.44754402233961,0.322566883144233,3.33333333333333,-1.38744566081043
0.666666666666667,6,-1.1193335382427,0.791514533072156,4,-1.41416675433382
0.777777777777778,6,-1.37264906460443,0.746003991672131,4.66666666666667,-1.84000230552079
0.888888888888889,6,-1.37227762008419,0.935183749672162,5.33333333333333,-1.46738822243785
1,6,-1.25728462016133,1.87044693381617,6,-0.672184063300937
0,7,-0.132112760450985,0.0315091338446501,0,-4.19284011748285
0.111111111111111,7,0.12447239707229,0.0587013001430296,0.777777777777778,2.12043680070126
0.222222222222222,7,-0.18257547651325,0.239707947393634,1.55555555555556,-0.761658002992434
0.333333333333333,7,0.0478596386641606,0.275115816297388,2.33333333333333,0.173961785651852
0.444444444444444,7,0.342676654533553,0.553685786127704,3.11111111111111,0.618900941868349
0.555555555555556,7,-0.273664675511647,0.290472252788421,3.88888888888889,-0.942137064330836
0.666666666666667,7,-0.989147604543396,0.760637727367327,4.66666666666667,-1.30041880510841
