FL.arg,FL.vd,value,se,x,Z_Score
0,1,-0.738469759017458,0.0898763373729504,0,-8.21650926820825
0.111111111111111,1,-1.58116669520398,0.792910951271311,0.111111111111111,-1.99412896576699
0.222222222222222,1,-1.04325686684625,0.957191071618911,0.222222222222222,-1.0899149582348
0.333333333333333,1,0.175529296369767,0.907304654884761,0.333333333333333,0.193462356249083
0.444444444444444,1,-0.013606496941711,1.21988924678904,0.444444444444444,-0.0111538789095204
0.555555555555556,1,-1.33211632762828,1.51698775147882,0.555555555555556,-0.878132553364181
0.666666666666667,1,-3.016711915226,1.48638880228591,0.666666666666667,-2.02955775136803
0.777777777777778,1,-4.78525385670629,2.17679272469464,0.777777777777778,-2.19830478226978
0.888888888888889,1,-6.52748724783439,3.89186861139993,0.888888888888889,-1.67721161724584
1,1,-8.1595688333734,5.88672630507763,1,-1.38609617816533
0,2,-0.738469759017458,0.0898763373729504,0,-8.21650926820825
0.111111111111111,2,-0.492964974615918,0.0838692106011278,0.222222222222222,-5.87778245535661
0.222222222222222,2,-1.35587323590549,0.390292534474155,0.444444444444444,-3.47399223951918
0.333333333333333,2,-1.41820506053503,0.637779066332972,0.666666666666667,-2.22366197857396
0.444444444444444,2,-1.40530445046563,1.04434537445131,0.888888888888889,-1.34563189998707
0.555555555555556,2,-1.77599361868159,1.10358367861628,1.11111111111111,-1.60929674214502
0.666666666666667,2,-2.40526282024469,1.28332855356756,1.33333333333333,-1.87423774960685
0.777777777777778,2,-3.39524714087585,1.70985009862373,1.55555555555556,-1.98569871336013
0.888888888888889,2,-4.55620823147783,2.44162070995898,1.77777777777778,-1.86605897176977
1,2,-5.65979145355849,3.31936020591267,2,-1.70508504725606
0,3,-0.738469759017458,0.0898763373729504,0,-8.21650926820825
0.111111111111111,3,-0.450369679607059,0.0772789964616031,0.333333333333333,-5.82784068412211
0.222222222222222,3,-0.813340431758286,0.212144467215825,0.666666666666667,-3.83389886350811
0.333333333333333,3,-1.59251206591295,0.423540286185283,1,-3.76000139268047
0.444444444444444,3,-1.6362465776804,0.824513569905318,1.33333333333333,-1.9844992701191
0.555555555555556,3,-1.91708850273295,0.995247023643985,1.66666666666667,-1.92624389441904
0.666666666666667,3,-2.17566687240211,1.08071964099065,2,-2.01316492259524
0.777777777777778,3,-2.83352596529625,1.31230183228108,2.33333333333333,-2.1592029330409
0.888888888888889,3,-3.81069275530919,1.97931456523511,2.66666666666667,-1.92525878515755
1,3,-4.84686168273752,2.77184184476725,3,-1.74860686654527
0,4,-0.738469759017458,0.0898763373729504,0,-8.21650926820825
0.111111111111111,4,-0.522676603381437,0.0870675194335313,0.444444444444444,-6.0031181177782
0.222222222222222,4,-0.527192712454947,0.223138969877647,0.888888888888889,-2.36262053528355
0.333333333333333,4,-1.59059907096123,0.394153806915451,1.33333333333333,-4.0354781383665
0.444444444444444,4,-1.47820919057198,0.86031385689763,1.77777777777778,-1.718220831526
0.555555555555556,4,-1.57316684020828,0.782231368813741,2.22222222222222,-2.01112727375533
0.666666666666667,4,-1.7685904931745,0.908077661870184,2.66666666666667,-1.94762030543962
0.777777777777778,4,-2.33387966313778,1.04934763826727,3.11111111111111,-2.22412437787689
0.888888888888889,4,-3.14100983001329,1.67879591380111,3.55555555555556,-1.87098968027713
1,4,-4.14352350990108,2.58203545644088,4,-1.60475081764082
0,5,-0.738469759017458,0.0898763373729504,0,-8.21650926820825
0.111111111111111,5,-0.582466943345319,0.113929438072113,0.555555555555556,-5.11252362165291
0.222222222222222,5,-0.393333916844206,0.341325909086963,1.11111111111111,-1.15237052439518
0.333333333333333,5,-1.57866223226059,0.420766389669054,1.66666666666667,-3.75187341722388
0.444444444444444,5,-1.24736622822059,0.82878152670746,2.22222222222222,-1.50506036636225
0.555555555555556,5,-1.03581635283133,0.44443026665798,2.77777777777778,-2.33066114200648
0.666666666666667,5,-1.40200481995352,0.788328913264391,3.33333333333333,-1.77845160359267
0.777777777777778,5,-1.96414223172821,0.892427446295884,3.88888888888889,-2.20089850427684
0.888888888888889,5,-2.65421428028041,1.54692868245901,4.44444444444444,-1.71579615167601
1,5,-3.44918177185287,2.41447942958207,5,-1.42854054981529
0,6,-0.738469759017458,0.0898763373729504,0,-8.21650926820825
0.111111111111111,6,-0.621817659822535,0.135340809078674,0.666666666666667,-4.59445797653738
0.222222222222222,6,-0.323678926631141,0.435868433105267,1.33333333333333,-0.742606947525766
0.333333333333333,6,-1.57049333948934,0.491897932859165,2,-3.1927219745788
0.444444444444444,6,-1.08191918635066,0.840093094129353,2.66666666666667,-1.28785630296357
0.555555555555556,6,-0.636433006430082,0.266832276464282,3.33333333333333,-2.38514251297958
0.666666666666667,6,-1.12216925697394,0.73706217846797,4,-1.52248926855322
0.777777777777778,6,-1.69738323795608,0.804793193716906,4.66666666666667,-2.1090924366753
0.888888888888889,6,-2.32176281851343,1.53061365652142,5.33333333333333,-1.51688364246667
1,6,-2.97351491760166,2.40228207402565,6,-1.23778758113062
0,7,-0.738469759017458,0.0898763373729504,0,-8.21650926820825
0.111111111111111,7,-0.646453598908056,0.149055753958456,0.777777777777778,-4.33699190900226
0.222222222222222,7,-0.287480670001211,0.49645066256567,1.55555555555556,-0.579071983740547
0.333333333333333,7,-1.56794961146552,0.547721122245168,2.33333333333333,-2.86267873884127
0.444444444444444,7,-0.981479664966105,0.847460267886171,3.11111111111111,-1.1581423957659
0.555555555555556,7,-0.381532009403906,0.254292661810559,3.88888888888889,-1.5003657859704
0.666666666666667,7,-0.915696642618605,0.72979491622123,4.66666666666667,-1.2547314625867
