FD.arg,FD.vd,value,se,x,Z_Score
0,1,-1.42807967383529,0.223306761651251,0,-6.39514747907899
0.111111111111111,1,-3.41320700389639,1.28167938598488,0.111111111111111,-2.66307396469016
0.222222222222222,1,-1.9693640187298,1.85457780821229,0.222222222222222,-1.06189344551047
0.333333333333333,1,0.625087195251061,1.72380199466528,0.333333333333333,0.362621227487578
0.444444444444444,1,0.647789082892113,2.46691655880849,0.444444444444444,0.262590593337697
0.555555555555556,1,-1.84656636425265,3.14497749659907,0.555555555555556,-0.587147719260152
0.666666666666667,1,-5.68953486759131,3.11917144013248,0.666666666666667,-1.82405327081017
0.777777777777778,1,-9.78734479329687,4.37655052492315,0.777777777777778,-2.23631481861362
0.888888888888889,1,-13.6906469259596,7.53245775091091,0.888888888888889,-1.81755376248927
1,1,-17.2757180974836,11.2717099022046,1,-1.53266170327048
0,2,-1.42807967383529,0.223306761651251,0,-6.39514747907899
0.111111111111111,2,-1.01706413250905,0.295891752410024,0.222222222222222,-3.43728449416083
0.222222222222222,2,-2.47070212361064,0.731100010828439,0.444444444444444,-3.37943111341359
0.333333333333333,2,-3.01101032162519,1.31422511223365,0.666666666666667,-2.29109175710978
0.444444444444444,2,-2.95944519513088,2.10278225199228,0.888888888888889,-1.40739498458623
0.555555555555556,2,-3.85683463628198,2.1913264711581,1.11111111111111,-1.76004565592806
0.666666666666667,2,-5.88405545336515,2.70274567490905,1.33333333333333,-2.17706590301477
0.777777777777778,2,-9.04962030833964,3.89679174681943,1.55555555555556,-2.32232587633813
0.888888888888889,2,-12.7005484588665,5.7074758179561,1.77777777777778,-2.22524787909038
1,2,-16.1416138314923,7.73909274027301,2,-2.08572430557576
0,3,-1.42807967383529,0.223306761651251,0,-6.39514747907899
0.111111111111111,3,-0.818237170834097,0.250685295002125,0.333333333333333,-3.26400146776524
0.222222222222222,3,-2.00582624473814,0.475837995070433,0.666666666666667,-4.21535536362798
0.333333333333333,3,-3.20177304526447,1.01270877263363,1,-3.16159307768017
0.444444444444444,3,-3.20628795681468,1.63885238467564,1.33333333333333,-1.95642266917729
0.555555555555556,3,-4.03555975527691,1.86039096491843,1.66666666666667,-2.16919982486254
0.666666666666667,3,-5.52887349879974,2.20213964697053,2,-2.51068251116853
0.777777777777778,3,-8.26533901400134,3.07967918787538,2.33333333333333,-2.68383117518921
0.888888888888889,3,-11.7872480025773,4.73863779630468,2.66666666666667,-2.48747604464923
1,3,-15.2758259628689,6.59360981971476,3,-2.31676219560256
0,4,-1.42807967383529,0.223306761651251,0,-6.39514747907899
0.111111111111111,4,-0.912679276490481,0.248926973926033,0.444444444444444,-3.66645390853334
0.222222222222222,4,-1.84952500477233,0.523552554562269,0.888888888888889,-3.53264440915331
0.333333333333333,4,-3.10957273089877,0.914209585216726,1.33333333333333,-3.40137839416944
0.444444444444444,4,-2.73061468442802,1.67047098850098,1.77777777777778,-1.63463759815331
0.555555555555556,4,-3.24276290783567,1.46563364049112,2.22222222222222,-2.21253307664871
0.666666666666667,4,-4.69834596226102,1.83754402342768,2.66666666666667,-2.55686171452748
0.777777777777778,4,-7.33925103370188,2.54439832382787,3.11111111111111,-2.8844740876344
0.888888888888889,4,-10.6770089527671,4.0645500447558,3.55555555555556,-2.6268612356103
1,4,-14.2257901719704,6.04619437056529,4,-2.35285028897282
0,5,-1.42807967383529,0.223306761651251,0,-6.39514747907899
0.111111111111111,5,-1.00908837529102,0.267587918597356,0.555555555555556,-3.77105356841393
0.222222222222222,5,-1.80228880324921,0.612510246121103,1.11111111111111,-2.94246310925037
0.333333333333333,5,-3.00697558506859,0.766939937042496,1.66666666666667,-3.92074455877758
0.444444444444444,5,-2.20002573906604,1.58296134480039,2.22222222222222,-1.38981646411806
0.555555555555556,5,-2.15308014778274,0.961429312577471,2.77777777777778,-2.23945756553917
0.666666666666667,5,-3.95702275753626,1.60546129074217,3.33333333333333,-2.46472635643991
0.777777777777778,5,-6.61634998237073,2.22530299262977,3.88888888888889,-2.97323555681369
0.888888888888889,5,-9.77927235909326,3.69798836607859,4.44444444444444,-2.6444843495988
1,5,-13.1278599728534,5.5327854369146,5,-2.3727397569522
0,6,-1.42807967383529,0.223306761651251,0,-6.39514747907899
0.111111111111111,6,-1.07646109577012,0.286737458751961,0.666666666666667,-3.75416975673661
0.222222222222222,6,-1.78130948772216,0.697737223637679,1.33333333333333,-2.55298044503809
0.333333333333333,6,-2.90903245558351,0.721481788327869,2,-4.03202478932363
0.444444444444444,6,-1.81389797044226,1.59274101271826,2.66666666666667,-1.13885305643417
0.555555555555556,6,-1.35375844163672,0.739624660046537,3.33333333333333,-1.83033167329973
0.666666666666667,6,-3.39711214609803,1.50144476371729,4,-2.26256218556281
0.777777777777778,6,-6.08595493534135,2.04139504461499,4.66666666666667,-2.98127251332148
0.888888888888889,6,-9.12503027084893,3.56172630530849,5.33333333333333,-2.5619684076367
1,6,-12.2626379079955,5.3341798360417,6,-2.2988797312644
0,7,-1.42807967383529,0.223306761651251,0,-6.39514747907899
0.111111111111111,7,-1.12065335118355,0.300751746313217,0.777777777777778,-3.72617404527537
0.222222222222222,7,-1.76853707778639,0.760601065087134,1.55555555555556,-2.32518354097202
0.333333333333333,7,-2.81206995965408,0.687870091895645,2.33333333333333,-4.08808289935172
0.444444444444444,7,-1.55323392861144,1.60549508483476,3.11111111111111,-0.967448572893825
0.555555555555556,7,-0.843083954210721,0.710320023626396,3.88888888888889,-1.18690720544034
0.666666666666667,7,-2.98695053206648,1.47523640900168,4.66666666666667,-2.02472669047519
