fd.arg,fd.vd,value,se,x,,,,,v2
0.529411765,6,14.43235893,6.452889467,3.176470588,,,,,1.804044866
0.588235294,6,14.42022243,9.108350383,3.529411765,,,,,1.802527804
0.647058824,6,14.49835454,10.92462665,3.882352941,,,,,1.812294317
0.705882353,6,16.51082758,11.54308715,4.235294118,,,,,2.063853447
0.764705882,6,20.41706205,11.61968853,4.588235294,,,,,2.552132757
0.823529412,6,25.75285214,12.0427312,4.941176471,,,,,3.219106517
0.882352941,6,31.71821965,13.25727576,5.294117647,,,,,3.964777456
0.941176471,6,37.44412058,15.53147059,5.647058824,,,,,4.680515073
0,7,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,7,1.102671553,1.121420998,0.411764706,,,,,0.137833944
0.117647059,7,-3.629702845,1.808032998,0.823529412,,,,,-0.453712856
0.176470588,7,3.787817279,1.292456141,1.235294118,,,,,0.47347716
0.235294118,7,5.585233428,2.845793625,1.647058824,,,,,0.698154179
0.294117647,7,4.584798371,3.090873275,2.058823529,,,,,0.573099796
0.352941176,7,4.153397539,3.024648674,2.470588235,,,,,0.519174692
0.411764706,7,3.86637683,2.97276276,2.882352941,,,,,0.483297104
0.470588235,7,8.390146914,4.5187246,3.294117647,,,,,1.048768364
0.529411765,7,12.11358193,5.0427865,3.705882353,,,,,1.514197742
0.588235294,7,11.53442053,7.720366365,4.117647059,,,,,1.441802566
0.647058824,7,11.11280598,9.423743354,4.529411765,,,,,1.389100747
0.705882353,7,12.78096732,9.882371801,4.941176471,,,,,1.597620915
0.764705882,7,16.42193063,9.649056518,5.352941176,,,,,2.052741329
0.823529412,7,21.5998324,9.806112594,5.764705882,,,,,2.69997905
0.882352941,7,27.48202638,10.73342156,6.176470588,,,,,3.435253297
0.941176471,7,33.10720557,13.18887531,6.588235294,,,,,4.138400696
0,8,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,8,1.060235128,1.185603989,0.470588235,,,,,0.132529391
0.117647059,8,-3.7870562,1.872091805,0.941176471,,,,,-0.473382025
0.176470588,8,2.987543958,1.342624693,1.411764706,,,,,0.373442995
0.235294118,8,4.676997515,2.844082427,1.882352941,,,,,0.584624689
0.294117647,8,3.478887805,2.923193944,2.352941176,,,,,0.434860976
0.352941176,8,2.877850141,2.816300369,2.823529412,,,,,0.359731268
0.411764706,8,2.201641783,2.326991341,3.294117647,,,,,0.275205223
0.470588235,8,6.628787383,3.984124671,3.764705882,,,,,0.828598423
0.529411765,8,10.34035424,3.991836291,4.235294118,,,,,1.29254428
0.588235294,8,9.339324063,6.691766176,4.705882353,,,,,1.167415508
0.647058824,8,8.576521672,8.276661296,5.176470588,,,,,1.072065209
0.705882353,8,10.00527115,8.658971079,5.647058824,,,,,1.250658894
0.764705882,8,13.44283177,8.191181721,6.117647059,,,,,1.680353971
0.823529412,8,18.49148863,8.187923193,6.588235294,,,,,2.311436079
0.882352941,8,24.29849424,8.887834364,7.058823529,,,,,3.03731178
0.941176471,8,29.83767517,11.44297336,7.529411765,,,,,3.729709396
0,9,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,9,1.02292319,1.234263678,0.529411765,,,,,0.127865399
0.117647059,9,-3.906038261,1.927916302,1.058823529,,,,,-0.488254783
0.176470588,9,2.364844753,1.414298474,1.588235294,,,,,0.295605594
0.235294118,9,3.957288096,2.861947486,2.117647059,,,,,0.494661012
0.294117647,9,2.617847437,2.808380623,2.647058824,,,,,0.32723093
0.352941176,9,1.873489985,2.726298712,3.176470588,,,,,0.234186248
0.411764706,9,0.940074874,1.887309492,3.705882353,,,,,0.117509359
0.470588235,9,5.245933167,3.66576344,4.235294118,,,,,0.655741646
0.529411765,9,8.922933276,3.209310633,4.764705882,,,,,1.11536666
0.588235294,9,7.612428968,5.918055539,5.294117647,,,,,0.951553621
0.647058824,9,6.612843263,7.377261088,5.823529412,,,,,0.826605408
0.705882353,9,7.86753816,7.742853057,6.352941176,,,,,0.98344227
0.764705882,9,11.1431841,7.092261891,6.882352941,,,,,1.392898012
0.823529412,9,16.08224468,7.012373373,7.411764706,,,,,2.010280585
0.882352941,9,21.81880214,7.569466519,7.941176471,,,,,2.727350268
0.941176471,9,27.27148419,10.16560708,8.470588235,,,,,3.408935524
0,10,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,10,0.989756792,1.272050626,0.588235294,,,,,0.123719599
0.117647059,10,-3.999259847,1.973826488,1.176470588,,,,,-0.499907481
0.176470588,10,1.870754281,1.485949076,1.764705882,,,,,0.233844285
0.235294118,10,3.374305271,2.883313791,2.352941176,,,,,0.421788159
0.294117647,10,1.930184333,2.749122805,2.941176471,,,,,0.241273042
0.352941176,10,1.060198733,2.734096694,3.529411765,,,,,0.132524842
0.411764706,10,-0.02701013,1.639678457,4.117647059,,,,,-0.003376266
0.470588235,10,4.129060992,3.480149789,4.705882353,,,,,0.516132624
0.529411765,10,7.749041575,2.639993722,5.294117647,,,,,0.968630197
0.588235294,10,6.219454211,5.329579131,5.882352941,,,,,0.777431776
0.647058824,10,5.052532224,6.659361149,6.470588235,,,,,0.631566528
0.705882353,10,6.175128837,7.050364533,7.058823529,,,,,0.771891105
0.764705882,10,9.318555119,6.25486851,7.647058824,,,,,1.16481939
0.823529412,10,14.16279999,6.163282448,8.235294118,,,,,1.770349999
0.882352941,10,19.83319204,6.662314023,8.823529412,,,,,2.479149005
0.941176471,10,25.20205937,9.387125851,9.411764706,,,,,3.150257421
0,11,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,11,0.959847406,1.301911508,0.647058824,,,,,0.119980926
0.117647059,11,-4.074572648,2.010906056,1.294117647,,,,,-0.509321581
0.176470588,11,1.472017321,1.550906855,1.941176471,,,,,0.184002165
0.235294118,11,2.894273559,2.906991807,2.588235294,,,,,0.361784195
0.294117647,11,1.369361411,2.735157955,3.235294118,,,,,0.171170176
