fd.arg,fd.vd,value,se,x,Z
0.117647059,7,-2.44769063,1.332585747,0.823529412,-1.836797846
0.176470588,7,2.695427547,1.041345653,1.235294118,2.588408123
0.235294118,7,6.104884598,2.554740268,1.647058824,2.38963024
0.294117647,7,6.199030687,2.586244539,2.058823529,2.396923644
0.352941176,7,4.264163952,2.686609385,2.470588235,1.587191639
0.411764706,7,2.040099101,2.63052532,2.882352941,0.775548171
0.470588235,7,7.081834798,4.027397602,3.294117647,1.758414614
0.529411765,7,12.50535113,4.845791193,3.705882353,2.5806624
0.588235294,7,12.53334027,6.72452084,4.117647059,1.86382652
0.647058824,7,12.95354062,8.068262407,4.529411765,1.605493223
0.705882353,7,15.31635544,8.728305119,4.941176471,1.754791477
0.764705882,7,17.99451241,8.88010288,5.352941176,2.026385579
0.823529412,7,20.09717042,8.836612128,5.764705882,2.274307181
0.882352941,7,22.50141379,8.991427151,6.176470588,2.502540855
0.941176471,7,25.67657281,10.50479762,6.588235294,2.44427106
0,8,-0.945371315,0.641937628,0,-1.472684066
0.058823529,8,0.513343402,0.959823272,0.470588235,0.534831169
0.117647059,8,-2.640037317,1.400003456,0.941176471,-1.885736285
0.176470588,8,2.019532276,1.082185552,1.411764706,1.866160819
0.235294118,8,5.356927108,2.468788855,1.882352941,2.169860374
0.294117647,8,5.322839931,2.364324748,2.352941176,2.251315068
0.352941176,8,3.170439757,2.434814247,2.823529412,1.30212798
0.411764706,8,0.420977558,1.996721939,3.294117647,0.210834343
0.470588235,8,5.33408348,3.42980618,3.764705882,1.55521426
0.529411765,8,10.83386055,3.900854126,4.235294118,2.777304713
0.588235294,8,10.34565164,5.756417136,4.705882353,1.797238002
0.647058824,8,10.43811981,6.993969404,5.176470588,1.492445736
0.705882353,8,12.6833554,7.582875811,5.647058824,1.672631297
0.764705882,8,15.22374842,7.591223952,6.117647059,2.005440561
0.823529412,8,16.98548049,7.382946375,6.588235294,2.300637121
0.882352941,8,19.00211658,7.183016224,7.058823529,2.645423035
0.941176471,8,22.09491518,8.73421082,7.529411765,2.529697947
0,9,-0.945371315,0.641937628,0,-1.472684066
0.058823529,9,0.463785703,1.004758488,0.529411765,0.461589236
0.117647059,9,-2.786497047,1.458986502,1.058823529,-1.90988542
0.176470588,9,1.502255964,1.14951267,1.588235294,1.306863337
0.235294118,9,4.774241499,2.424183174,2.117647059,1.969422752
0.294117647,9,4.647648248,2.204016873,2.647058824,2.108717181
0.352941176,9,2.310097108,2.298172619,3.176470588,1.005188683
0.411764706,9,-0.789519394,1.553660789,3.705882353,-0.508167162
0.470588235,9,3.969870138,3.042114907,4.235294118,1.304970476
0.529411765,9,9.491929449,3.184329184,4.764705882,2.980825443
0.588235294,9,8.61872531,5.024553918,5.294117647,1.715321489
0.647058824,9,8.481490256,6.156789235,5.823529412,1.377583337
0.705882353,9,10.63847126,6.712099354,6.352941176,1.584969277
0.764705882,9,13.07403737,6.607348595,6.882352941,1.978711609
0.823529412,9,14.56464607,6.302907583,7.411764706,2.310782107
0.882352941,9,16.23984611,5.796833954,7.941176471,2.801502723
0.941176471,9,19.24603033,7.347623177,8.470588235,2.619354568
0,10,-0.945371315,0.641937628,0,-1.472684066
0.058823529,10,0.421611413,1.040054629,0.588235294,0.405374296
0.117647059,10,-2.901737035,1.508062988,1.176470588,-1.924148434
0.176470588,10,1.097147762,1.217953833,1.764705882,0.900812274
0.235294118,10,4.307597806,2.399265006,2.352941176,1.795382251
0.294117647,10,4.109653281,2.101321903,2.941176471,1.955746654
0.352941176,10,1.612605372,2.255912787,3.529411765,0.71483498
0.411764706,10,-1.700639467,1.29367904,4.117647059,-1.314576038
0.470588235,10,2.875920297,2.796205381,4.705882353,1.028508248
0.529411765,10,8.370287662,2.642838123,5.294117647,3.167158666
0.588235294,10,7.223788273,4.46539799,5.882352941,1.617725517
0.647058824,10,6.92264034,5.49273399,6.470588235,1.260326889
0.705882353,10,9.006018542,6.041472229,7.058823529,1.49069932
0.764705882,10,11.35620218,5.842836232,7.647058824,1.943611241
0.823529412,10,12.63028026,5.496121529,8.235294118,2.298035114
0.882352941,10,14.0102172,4.743725458,8.823529412,2.953420751
0.941176471,10,16.91602163,6.384436563,9.411764706,2.649571573
0,11,-0.945371315,0.641937628,0,-1.472684066
0.058823529,11,0.384969891,1.068251594,0.647058824,0.360373804
0.117647059,11,-2.995031691,1.548370129,1.294117647,-1.934312497
0.176470588,11,0.773092174,1.279854713,1.941176471,0.604046823
0.235294118,11,3.924764966,2.386882181,2.588235294,1.644306115
0.294117647,11,3.668044977,2.046076537,3.235294118,1.792721294
0.352941176,11,1.035933137,2.281876641,3.882352941,0.453982971
0.411764706,11,-2.402584861,1.239540698,4.529411765,-1.938286387
0.470588235,11,1.978365617,2.64623308,5.176470588,0.747615783
0.529411765,11,7.396445538,2.24294483,5.823529412,3.29764934
0.588235294,11,6.077191848,4.034074156,6.470588235,1.50646508
0.647058824,11,5.656444849,4.958551174,7.117647059,1.140745482
0.705882353,11,7.673387161,5.520099134,7.764705882,1.390081405
0.764705882,11,9.950394326,5.240971357,8.411764706,1.898578269
0.823529412,11,11.05035002,4.893842101,9.058823529,2.258011147
0.882352941,11,12.17861903,3.962391042,9.705882353,3.073553039
0.941176471,11,14.9843195,5.754887388,10.35294118,2.603755468
0,12,-0.945371315,0.641937628,0,-1.472684066
0.058823529,12,0.352788663,1.091180947,0.705882353,0.323309039
0.117647059,12,-3.072347716,1.581537123,1.411764706,-1.942633955
0.176470588,12,0.508525864,1.333932833,2.117647059,0.381222991
0.235294118,12,3.604472313,2.383021152,2.823529412,1.512564129
0.294117647,12,3.29727792,2.023342322,3.529411765,1.629619409
0.352941176,12,0.552061625,2.346168029,4.235294118,0.235303533
0.411764706,12,-2.959725511,1.340191035,4.941176471,-2.208435539
0.470588235,12,1.230654186,2.583929093,5.647058824,0.476272429
