fl.arg,fl.vd,value,se,x,Z,,,MEAN VALUE,0.90921491
0.470588235,6,0.811797829,0.69916799,2.823529412,-0.139332997,,,,
0.529411765,6,0.986370075,0.967954723,3.176470588,0.079709384,,,,
0.588235294,6,1.282796079,1.391220487,3.529411765,0.268527586,,,,
0.647058824,6,1.677949215,1.947883496,3.882352941,0.394651024,,,,
0.705882353,6,2.14870286,2.595040768,4.235294118,0.477637144,,,,
0.764705882,6,2.673598414,3.305110769,4.588235294,0.533834881,,,,
0.823529412,6,3.237849379,4.07644984,4.941176471,0.571240778,,,,
0.882352941,6,3.828337287,4.903155314,5.294117647,0.595355868,,,,
0.941176471,6,4.431943665,5.768848549,5.647058824,0.610646758,,,,
0,7,-0.553897225,0.178944922,0,-8.176327159,,,,
0.058823529,7,-0.188542824,0.117447487,0.411764706,-9.346797021,,,,
0.117647059,7,0.143697449,0.147496038,0.823529412,-5.190088903,,,,
0.176470588,7,0.409709469,0.198666987,1.235294118,-2.514285536,,,,
0.235294118,7,0.576379108,0.22569407,1.647058824,-1.474721476,,,,
0.294117647,7,0.627349402,0.251333462,2.058823529,-1.121480584,,,,
0.352941176,7,0.613292032,0.332564817,2.470588235,-0.889820427,,,,
0.411764706,7,0.601635845,0.457575762,2.882352941,-0.672192849,,,,
0.470588235,7,0.659809683,0.620637536,3.294117647,-0.40185342,,,,
0.529411765,7,0.84032333,0.880857817,3.705882353,-0.07820975,,,,
0.588235294,7,1.136010318,1.280634861,4.117647059,0.177096005,,,,
0.647058824,7,1.524785117,1.798117172,4.529411765,0.342341493,,,,
0.705882353,7,1.984562198,2.395614788,4.941176471,0.448881516,,,,
0.764705882,7,2.494898755,3.049861812,5.352941176,0.519919869,,,,
0.823529412,7,3.041922876,3.760880491,5.764705882,0.567076747,,,,
0.882352941,7,3.613405373,4.523747637,6.176470588,0.597776576,,,,
0.941176471,7,4.197117059,5.323299303,6.588235294,0.617643659,,,,
0,8,-0.519552051,0.210891301,0,-6.774897997,,,,
0.058823529,8,-0.219751041,0.136533663,0.470588235,-8.268774261,,,,
0.117647059,8,0.052659536,0.146254109,0.941176471,-5.856624935,,,,
0.176470588,8,0.270289248,0.189533663,1.411764706,-3.371041019,,,,
0.235294118,8,0.405747663,0.209950776,1.882352941,-2.398025611,,,,
0.294117647,8,0.446171879,0.218553814,2.352941176,-2.118668677,,,,
0.352941176,8,0.436809124,0.278303306,2.823529412,-1.697449743,,,,
0.411764706,8,0.437434157,0.389217108,3.294117647,-1.212127712,,,,
0.470588235,8,0.507821737,0.544619819,3.764705882,-0.737015527,,,,
0.529411765,8,0.694276761,0.794827732,4.235294118,-0.270421162,,,,
0.588235294,8,0.989224677,1.17059083,4.705882353,0.068349824,,,,
0.647058824,8,1.371621072,1.649172774,5.176470588,0.280386676,,,,
0.705882353,8,1.820421533,2.197121785,5.647058824,0.414727367,,,,
0.764705882,8,2.316199063,2.795200819,6.117647059,0.503357059,,,,
0.823529412,8,2.845996332,3.445730074,6.588235294,0.562081559,,,,
0.882352941,8,3.398473427,4.145258541,7.058823529,0.6005074,,,,
0.941176471,8,3.962290435,4.879886138,7.529411765,0.62564481,,,,
0,9,-0.48520704,0.246782658,0,-5.650405298,,,,
0.058823529,9,-0.25095939,0.158512822,0.529411765,-7.319120161,,,,
0.117647059,9,-0.038378472,0.150585205,1.058823529,-6.292739526,,,,
0.176470588,9,0.130868979,0.188112043,1.588235294,-4.137672472,,,,
