banner.arg,banner.vd,value,se,x,Z
0.117647059,7,-1.667246743,0.960873175,0.823529412,-1.735137152
0.176470588,7,2.398674602,0.724427835,1.235294118,3.311129814
0.235294118,7,3.167231563,1.426418499,1.647058824,2.220408363
0.294117647,7,3.699419051,1.590094751,2.058823529,2.326540007
0.352941176,7,3.880615614,1.765539288,2.470588235,2.197977491
0.411764706,7,1.924581623,1.858045376,2.882352941,1.035809808
0.470588235,7,6.208361238,2.589327406,3.294117647,2.39767332
0.529411765,7,9.261707991,3.091115912,3.705882353,2.996234452
0.588235294,7,8.990892629,4.542549538,4.117647059,1.979261328
0.647058824,7,8.989795801,5.633512186,4.529411765,1.595771076
0.705882353,7,10.69847015,6.101170864,4.941176471,1.753510988
0.764705882,7,13.17988993,6.010250764,5.352941176,2.192901835
0.823529412,7,15.22283202,5.825935979,5.764705882,2.612941865
0.882352941,7,16.80601322,6.090118868,6.176470588,2.75955422
0.941176471,7,18.34654499,7.278303911,6.588235294,2.520717081
0,8,-0.652761822,0.242646059,0,-2.69018102
0.058823529,8,-0.572343573,0.5930038,0.470588235,-0.965160043
0.117647059,8,-1.866100528,1.037318044,0.941176471,-1.798966612
0.176470588,8,1.992322409,0.717955944,1.411764706,2.774992567
0.235294118,8,2.554029999,1.433626645,1.882352941,1.781516832
0.294117647,8,2.908337323,1.444936154,2.352941176,2.012779122
0.352941176,8,3.041593877,1.539895575,2.823529412,1.975194893
0.411764706,8,0.667612514,1.498774536,3.294117647,0.445438922
0.470588235,8,4.975490514,2.227936723,3.764705882,2.233227929
0.529411765,8,7.961886613,2.463006678,4.235294118,3.232588317
0.588235294,8,7.361331525,3.888887328,4.705882353,1.89291458
0.647058824,8,7.107637168,4.921437738,5.176470588,1.444219666
0.705882353,8,8.73285019,5.359461122,5.647058824,1.629426913
0.764705882,8,11.21395301,5.161871468,6.117647059,2.172458783
0.823529412,8,13.15239237,4.879288189,6.588235294,2.695555551
0.882352941,8,14.55262425,5.095279248,7.058823529,2.856099448
0.941176471,8,15.92247783,6.408823974,7.529411765,2.48446172
0,9,-0.652761822,0.242646059,0,-2.69018102
0.058823529,9,-0.627847531,0.622161559,0.529411765,-1.00913906
0.117647059,9,-2.018077572,1.101328927,1.058823529,-1.832402222
0.176470588,9,1.668422296,0.725010954,1.588235294,2.301237365
0.235294118,9,2.07283643,1.459453717,2.117647059,1.420282402
0.294117647,9,2.280632351,1.349315926,2.647058824,1.690213764
0.352941176,9,2.358406504,1.398555466,3.176470588,1.686316032
0.411764706,9,-0.256403101,1.265802334,3.705882353,-0.202561723
0.470588235,9,4.006411585,2.005843934,4.235294118,1.997369545
0.529411765,9,6.916597166,1.993073372,4.764705882,3.470317383
0.588235294,9,6.074805868,3.392516079,5.294117647,1.790649101
0.647058824,9,5.641352075,4.36364592,5.823529412,1.292807019
0.705882353,9,7.203501754,4.796735466,6.352941176,1.50175089
0.764705882,9,9.687533468,4.516075314,6.882352941,2.145122212
0.823529412,9,11.54178807,4.183346283,7.411764706,2.758984622
0.882352941,9,12.7987636,4.421114863,7.941176471,2.894917684
0.941176471,9,13.99652519,5.8446364,8.470588235,2.394764059
0,10,-0.652761822,0.242646059,0,-2.69018102
0.058823529,10,-0.673502224,0.645333204,0.588235294,-1.043650349
0.117647059,10,-2.137537707,1.153324322,1.176470588,-1.853370874
0.176470588,10,1.403890654,0.737680196,1.764705882,1.903115554
0.235294118,10,1.68664595,1.489191515,2.352941176,1.1325917
0.294117647,10,1.773189374,1.302567166,2.941176471,1.361303602
0.352941176,10,1.787532964,1.338338795,3.529411765,1.335635619
0.411764706,10,-0.92466972,1.136751092,4.117647059,-0.813432005
0.470588235,10,3.21644271,1.873937689,4.705882353,1.716408571
0.529411765,10,6.046776044,1.644540847,5.294117647,3.67687799
0.588235294,10,5.034028451,3.010994817,5.882352941,1.671882137
0.647058824,10,4.471425421,3.918482036,6.470588235,1.14111163
0.705882353,10,5.982175787,4.363914129,7.058823529,1.370828025
0.764705882,10,8.467325824,4.015992885,7.647058824,2.1084016
0.823529412,10,10.25178955,3.671502019,8.235294118,2.79226036
0.882352941,10,11.39665922,3.991801248,8.823529412,2.855016698
0.941176471,10,12.4688963,5.562371248,9.411764706,2.241651221
0,11,-0.652761822,0.242646059,0,-2.69018102
