"flw_date","mean_FL","sd_FL","var_FL","mean_FD","sd_FD","var_FD","mean_B","sd_B","var_B","mean_flw_vol","sd_flw_vol","var_flw_vol"
1,10.6811904761905,1.22104380072203,1.4909479632817,4.12904761904762,1.10734091467784,1.22620390131956,8.17083333333333,1.08634593475552,1.18014748995984,51.1933728024706,33.9084399773971,1149.78230170074
2,9.71269841269841,1.35284613327513,1.83019266031746,3.0952380952381,0.367823249478799,0.135293942857143,6.69666666666667,1.26099325929999,1.590104,24.5626931612187,8.54896663724937,73.0848305648028
3,8.996875,1.04355942452863,1.08901627252252,2.955625,0.341432544483434,0.116576182432432,5.37783783783784,0.814722937183841,0.663773464373464,20.4131505460174,6.66185593405837,44.3803244861487
4,8.67493150684932,0.916357710491304,0.839711453576865,2.76739726027397,0.340302265139473,0.115805631659056,5.17958904109589,0.766957260789827,0.588223439878234,16.4886216278228,6.96042039295037,48.4474520465994
5,8.37116666666667,0.99925920301104,0.99851895480226,2.60883333333333,0.310036037635576,0.0961223446327684,4.757,0.64679208405793,0.41834,13.8844497207273,6.19637241298077,38.3950310803491
6,8.46451612903226,0.750367510873794,0.563051401374934,2.62193548387097,0.269838073542946,0.0728125859333686,4.32096774193548,0.609890368211731,0.371966261237441,14.7558262326615,5.01733382725552,25.1736387341225
7,8.14837837837838,0.827501304173237,0.684758408408409,2.56540540540541,0.216815264358529,0.0470088588588588,3.97378378378378,0.446195966858555,0.199090840840841,13.8820125942105,4.08059370860266,16.6512450146876
8,8.41333333333333,0.733119984914272,0.537464912280702,2.40384615384615,0.243306341282964,0.059197975708502,3.61076923076923,0.460402481904832,0.21197044534413,11.1883904011556,5.26981484941986,27.770948547166
9,8.12071428571429,0.584414417721031,0.341540211640212,2.45607142857143,0.207780854743366,0.0431728835978836,3.71464285714286,0.500544016215669,0.250544312169312,12.1081750944,4.22887318684031,17.8833684303769
10,7.9165,0.693331203606716,0.480708157894737,2.3775,0.279414331094618,0.0780723684210526,3.389,0.733125249584917,0.537472631578947,11.81366058805,2.67912853986479,7.17772973311802
11,8.24,1.08771752388417,1.18312941176471,2.52277777777778,0.271158854148277,0.0735271241830066,3.86611111111111,0.535911964773066,0.287201633986928,13.9690301204444,3.68483893073866,13.5780379454872
12,8.44,0.69326221590391,0.4806125,2.45647058823529,0.311065531208269,0.0967617647058823,3.74294117647059,0.464848963453216,0.21608455882353,13.6890481821765,4.2811915853965,18.3286013908698
13,7.95315789473684,0.659360402474153,0.434756140350877,2.50631578947368,0.315879909077903,0.0997801169590643,3.41105263157895,0.650357976099335,0.422965497076023,13.3876892570526,3.86982543663137,14.9755489099992
14,7.51125,0.33116407241297,0.109669642857143,2.2625,0.23297762001654,0.0542785714285714,3.37625,0.366213735405978,0.1341125,10.220327204875,2.54693445999482,6.48687514350908
15,7.57625,0.512527002772955,0.262683928571428,2.38625,0.329108644675281,0.1083125,3.72375,0.371019348744587,0.137655357142857,11.59003145225,3.77187009211193,14.2270039917685
16,7.59428571428571,0.36787031876542,0.135328571428572,2.35714285714286,0.158399735449514,0.0250904761904762,3.49285714285714,0.245065588888246,0.0600571428571429,11.0557514314286,1.29073572917142,1.66599872255967
17,7.0325,0.285467452902545,0.0814916666666665,2.2125,0.33579507639829,0.112758333333333,3.25,0.342734104907385,0.117466666666667,9.17829099425,2.89457366947962,8.37855672804474
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
