fd.arg,fd.vd,value,se,x,Z,,,MEAN VALUE,14.15067775
0.470588235,6,3.398436158,4.960448325,2.823529412,-2.167595172,,,,
0.529411765,6,6.190970304,6.491887412,3.176470588,-1.226101007,,,,
0.588235294,6,11.39895561,8.799751654,3.529411765,-0.312704778,,,,
0.647058824,6,19.32498036,11.56032557,3.882352941,0.447591232,,,,
0.705882353,6,30.27163281,15.50472274,4.235294118,1.039744669,,,,
0.764705882,6,44.35260253,22.81088926,4.588235294,1.324013377,,,,
0.823529412,6,60.92598424,34.40428124,4.941176471,1.35957801,,,,
0.882352941,6,79.16097393,49.18034883,5.294117647,1.321875413,,,,
0.941176471,6,98.22676762,65.67304878,5.647058824,1.280222088,,,,
0,7,-4.375912728,1.859969143,0,-9.960698969,,,,
0.058823529,7,-1.572027339,1.064618257,0.411764706,-14.76839913,,,,
0.117647059,7,0.910496152,0.661248562,0.823529412,-20.0230059,,,,
0.176470588,7,2.750295848,0.794516358,1.235294118,-14.34883504,,,,
0.235294118,7,3.626009851,1.038202787,1.647058824,-10.13739346,,,,
0.294117647,7,3.405894215,1.532288238,2.058823529,-7.012248427,,,,
0.352941176,7,2.716676796,2.349125668,2.470588235,-4.867344204,,,,
0.411764706,7,2.374703401,3.171364222,2.882352941,-3.713221118,,,,
0.470588235,7,3.196319837,3.996852037,3.294117647,-2.740746984,,,,
0.529411765,7,5.897096574,5.451059133,3.705882353,-1.514124728,,,,
0.588235294,7,10.78950274,7.698907487,4.117647059,-0.436578472,,,,
0.647058824,7,18.08523211,10.36051364,4.529411765,0.379764193,,,,
0.705882353,7,27.99597848,13.98843974,4.941176471,0.989767175,,,,
0.764705882,7,40.58037372,20.4266126,5.352941176,1.293885297,,,,
0.823529412,7,55.28480204,30.55147617,5.764705882,1.346387383,,,,
0.882352941,7,71.40258576,43.46647324,6.176470588,1.317150932,,,,
0.941176471,7,88.22704717,57.90208386,6.588235294,1.279338536,,,,
0,8,-4.977761873,2.402046047,0,-7.963395165,,,,
0.058823529,8,-2.241032586,1.561366568,0.470588235,-10.49831149,,,,
0.117647059,8,0.19520936,1.02805348,0.941176471,-13.57465435,,,,
0.176470588,8,2.03047662,0.917619986,1.411764706,-13.20830362,,,,
0.235294118,8,2.964281854,0.967469474,1.882352941,-11.56253344,,,,
0.294117647,8,2.873144977,1.206136601,2.352941176,-9.350130834,,,,
0.352941176,8,2.341614937,1.798456413,2.823529412,-6.566222556,,,,
0.411764706,8,2.131247941,2.433657621,3.294117647,-4.938834435,,,,
0.470588235,8,3.003600196,3.105090194,3.764705882,-3.589937524,,,,
0.529411765,8,5.61356892,4.478713325,4.235294118,-1.906152607,,,,
0.588235294,8,10.18941538,6.678606398,4.705882353,-0.593127426,,,,
0.647058824,8,16.85274186,9.25179824,5.176470588,0.292058018,,,,
0.705882353,8,25.72515063,12.55363783,5.647058824,0.922001318,,,,
0.764705882,8,36.81086506,18.09433999,6.117647059,1.252335541,,,,
0.823529412,8,49.64459293,26.72702997,6.588235294,1.328015607,,,,
0.882352941,8,63.64366309,37.77380936,7.058823529,1.310246012,,,,
0.941176471,8,78.22540439,50.15851666,7.529411765,1.277444563,,,,
0,9,-5.620659603,3.054126115,0,-6.473648716,,,,
0.058823529,9,-2.944858764,2.115741709,0.529411765,-8.080163419,,,,
0.117647059,9,-0.548400078,1.482258816,1.058823529,-9.916675762,,,,
0.176470588,9,1.289374301,1.233214432,1.588235294,-10.42909114,,,,
0.235294118,9,2.28912222,1.113990325,2.117647059,-10.64781041,,,,
0.294117647,9,2.335633418,1.042154489,2.647058824,-11.33713544,,,,
0.352941176,9,1.970225201,1.360216031,3.176470588,-8.954794328,,,,
0.411764706,9,1.898346766,1.82170852,3.705882353,-6.725737458,,,,
0.470588235,9,2.825447313,2.33272958,4.235294118,-4.854927372,,,,
0.529411765,9,5.344888415,3.611637159,4.764705882,-2.43817172,,,,
0.588235294,9,9.601681157,5.769171748,5.294117647,-0.788501199,,,,
0.647058824,9,15.628749,8.256517009,5.823529412,0.179018465,,,,
0.705882353,9,23.4590154,11.21401812,6.352941176,0.830062454,,,,
0.764705882,9,33.04341149,15.82122734,6.882352941,1.194138172,,,,
0.823529412,9,44.0048991,22.93507246,7.411764706,1.301684098,,,,
0.882352941,9,55.88444772,32.11020755,7.941176471,1.299704079,,,,
0.941176471,9,68.22302684,42.45997213,8.470588235,1.273489928,,,,
0,10,-6.299917143,3.793299782,0,-5.391242011,,,,
0.058823529,10,-3.680497106,2.713821874,0.588235294,-6.570503863,,,,
0.117647059,10,-1.31872019,1.974059266,1.176470588,-7.836340303,,,,
0.176470588,10,0.527770485,1.636166005,1.764705882,-8.326116952,,,,
0.235294118,10,1.6013318,1.410302026,2.352941176,-8.898340899,,,,
0.294117647,10,1.795158731,1.097247783,2.941176471,-11.26046592,,,,
0.352941176,10,1.60579865,1.122891874,3.529411765,-11.17194063,,,,
0.411764706,10,1.680637028,1.437423603,4.117647059,-8.675273559,,,,
0.470588235,10,2.667059335,1.776464967,4.705882353,-6.464310233,,,,
0.529411765,10,5.095595631,2.907323447,5.294117647,-3.114577561,,,,
0.588235294,10,9.029354329,5.008574137,5.882352941,-1.022511703,,,,
0.647058824,10,14.41458843,7.400366,6.470588235,0.035661538,,,,
0.705882353,10,21.19755095,9.986682248,7.058823529,0.705626831,,,,
0.764705882,10,29.27745348,13.61802136,7.647058824,1.110790847,,,,
0.823529412,10,38.36534208,19.18225056,8.235294118,1.262347294,,,,
0.882352941,10,48.12522138,26.48895777,8.823529412,1.282592606,,,,
0.941176471,10,58.22109604,34.83764183,9.411764706,1.265022938,,,,
0,11,-7.011940901,4.628604145,0,-4.572138865,,,,
0.058823529,11,-4.44468916,3.364449489,0.647058824,-5.527016893,,,,
0.117647059,11,-2.112717491,2.502496171,1.294117647,-6.49887008,,,,
0.176470588,11,-0.251305969,2.097736838,1.941176471,-6.865487466,,,,
0.235294118,11,0.904265335,1.809072958,2.588235294,-7.322211414,,,,
0.294117647,11,1.255774677,1.365097514,3.235294118,-9.446142262,,,,
0.352941176,11,1.253233635,1.205177694,3.882352941,-10.70169687,,,,
0.411764706,11,1.483712119,1.444425974,4.529411765,-8.769551439,,,,
0.470588235,11,2.534280035,1.633657607,5.176470588,-7.110669897,,,,
0.529411765,11,4.871139596,2.481828355,5.823529412,-3.738993628,,,,
0.588235294,11,8.477022228,4.458867611,6.470588235,-1.272443649,,,,
0.647058824,11,13.21379166,6.724818512,7.117647059,-0.139318011,,,,
0.705882353,11,18.94331163,8.905020532,7.764705882,0.538194338,,,,
0.764705882,11,25.51485964,11.51095905,8.411764706,0.987248724,,,,
0.823529412,11,32.72736835,15.4860394,9.058823529,1.199576462,,,,
0.882352941,11,40.36718419,20.93914792,9.705882353,1.252033,,,,
0.941176471,11,48.2206536,27.35722706,10.35294118,1.245373792,,,,
0,12,-7.75423246,5.572443662,0,-3.930934755,,,,
0.058823529,12,-5.233926783,4.074542123,0.705882353,-4.757493283,,,,
0.117647059,12,-2.925936985,3.06060644,1.411764706,-5.579488025,,,,
0.176470588,12,-1.042578945,2.589380177,2.117647059,-5.867527327,,,,
0.235294118,12,0.203831457,2.259885524,2.823529412,-6.171484526,,,,
0.294117647,12,0.723789589,1.755324413,3.529411765,-7.649235842,,,,
0.352941176,12,0.919035796,1.559969911,4.235294118,-8.481986805,,,,
0.411764706,12,1.314121671,1.837799395,4.941176471,-6.984744017,,,,
0.470588235,12,2.433598808,1.991407608,5.647058824,-5.883818634,,,,
0.529411765,12,4.6778778,2.474700694,6.352941176,-3.827857737,,,,
