banner.arg,banner.vd,value,se,x,Z,,mean value,3.61386314
0.294117647,7,2.393201644,1.465852275,2.058823529,-0.83273159,,,
0.352941176,7,3.043859647,1.699106673,2.470588235,-0.335472459,,,
0.411764706,7,3.711010771,1.930215271,2.882352941,0.050329946,,,
0.470588235,7,4.400085386,2.161782556,3.294117647,0.363691642,,,
0.529411765,7,5.115496252,2.415101153,3.705882353,0.621768206,,,
0.588235294,7,5.857585679,2.765276899,4.117647059,0.811391633,,,
0.647058824,7,6.625678365,3.236475447,4.529411765,0.930584914,,,
0.705882353,7,7.419099008,3.794381093,4.941176471,1.00286075,,,
0.764705882,7,8.236257663,4.416213676,5.352941176,1.046687244,,,
0.823529412,7,9.07190581,5.139220357,5.764705882,1.062037097,,,
0.882352941,7,9.919880285,5.988989716,6.176470588,1.052935043,,,
0.941176471,7,10.77401792,6.952241582,6.588235294,1.029905923,,,
0,8,-0.188599387,1.632804552,0,-2.328792214,,,
0.058823529,8,-0.021007231,0.90429077,0.470588235,-4.019581412,,,
0.117647059,8,0.178835196,0.352742087,0.941176471,-9.738072301,,,
0.176470588,8,0.443178165,0.504512993,1.411764706,-6.284644832,,,
0.235294118,8,0.804271949,0.842864728,1.882352941,-3.333383279,,,
0.294117647,8,1.284405613,1.064974538,2.352941176,-2.187336359,,,
0.352941176,8,1.866023394,1.247893741,2.823529412,-1.400631871,,,
0.411764706,8,2.521608328,1.449676538,3.294117647,-0.753447258,,,
0.470588235,8,3.223643446,1.672931204,3.764705882,-0.233255075,,,
0.529411765,8,3.94815019,1.935336817,4.235294118,0.172728099,,,
0.588235294,8,4.685303634,2.303403583,4.705882353,0.465155347,,,
0.647058824,8,5.428817259,2.785051522,5.176470588,0.651677035,,,
0.705882353,8,6.172404549,3.338514435,5.647058824,0.766371228,,,
0.764705882,8,6.911085607,3.950022126,6.117647059,0.834735189,,,
0.823529412,8,7.645107024,4.671720376,6.588235294,0.862903505,,,
0.882352941,8,8.376022015,5.533183501,7.058823529,0.860654427,,,
0.941176471,8,9.105383792,6.516263753,7.529411765,0.842740696,,,
0,9,0.529637127,1.69143491,0,-1.823437601,,,
0.058823529,9,0.285736698,0.968423409,0.529411765,-3.436643943,,,
0.117647059,9,0.097259556,0.379695452,1.058823529,-9.261642636,,,
0.176470588,9,0.019628988,0.373821262,1.588235294,-9.614846756,,,
0.235294118,9,0.108268282,0.643187704,2.117647059,-5.450344958,,,
0.294117647,9,0.401211178,0.779976994,2.647058824,-4.118906051,,,
0.352941176,9,0.866933238,0.88741913,3.176470588,-3.095414341,,,
0.411764706,9,1.456520475,1.056896574,3.705882353,-2.041205089,,,
0.470588235,9,2.121058904,1.286112653,4.235294118,-1.160710326,,,
0.529411765,9,2.817765871,1.574639047,4.764705882,-0.50557445,,,
0.588235294,9,3.528384033,1.976035226,5.294117647,-0.043257886,,,
0.647058824,9,4.240787382,2.482459826,5.823529412,0.252541546,,,
0.705882353,9,4.942849905,3.047197927,6.352941176,0.436134047,,,
0.764705882,9,5.625402712,3.663030008,6.882352941,0.549146354,,,
0.823529412,9,6.291105393,4.389489066,7.411764706,0.609921158,,,
0.882352941,9,6.945574655,5.257215659,7.941176471,0.633740697,,,
0.941176471,9,7.594427208,6.245642885,8.470588235,0.637334561,,,
0,10,1.360432911,1.503803947,0,-1.49848671,,,
0.058823529,10,0.844654408,0.823846236,0.588235294,-3.361317453,,,
0.117647059,10,0.389514508,0.316170628,1.176470588,-10.19812832,,,
0.176470588,10,0.055651818,0.435220799,1.764705882,-8.175646319,,,
0.235294118,10,-0.096295058,0.672213232,2.352941176,-5.519317417,,,
0.294117647,10,-0.023436224,0.737752539,2.941176471,-4.9302431,,,
0.352941176,10,0.246123385,0.741836317,3.529411765,-4.539734273,,,
0.411764706,10,0.666530126,0.81807799,4.117647059,-3.602753099,,,
0.470588235,10,1.191930356,1.001619676,4.705882353,-2.418016382,,,
0.529411765,10,1.781208656,1.287045708,5.294117647,-1.423923388,,,
0.588235294,10,2.412202504,1.708406602,5.882352941,-0.703380937,,,
0.647058824,10,3.067487602,2.239472542,6.470588235,-0.2439751,,,
0.705882353,10,3.729639652,2.828117299,7.058823529,0.040937663,,,
0.764705882,10,4.384578297,3.463610672,7.647058824,0.222517838,,,
0.823529412,10,5.031598932,4.194348967,8.235294118,0.338010929,,,
0.882352941,10,5.673340895,5.044087651,8.823529412,0.408295394,,,
0.941176471,10,6.312443521,5.994436868,9.411764706,0.450180799,,,
0,11,2.191338078,1.148165515,0,-1.238954701,,,
0.058823529,11,1.560186213,0.571618038,0.647058824,-3.592743388,,,
0.117647059,11,0.97749859,0.329300821,1.294117647,-8.005945867,,,
0.176470588,11,0.491739453,0.603142394,1.941176471,-5.176428845,,,
0.235294118,11,0.151373043,0.815811479,2.588235294,-4.244228214,,,
0.294117647,11,-0.006597758,0.849699565,3.235294118,-4.260871779,,,
0.352941176,11,0.008984487,0.786190153,3.882352941,-4.58525032,,,
0.411764706,11,0.177815856,0.736307395,4.529411765,-4.666593474,,,
0.470588235,11,0.479592426,0.787873262,5.176470588,-3.978140732,,,
0.529411765,11,0.893776093,1.010961178,5.823529412,-2.690594957,,,
0.588235294,11,1.398892042,1.445376678,6.470588235,-1.532452496,,,
0.647058824,11,1.973231277,2.017980612,7.117647059,-0.813006752,,,
0.705882353,11,2.595084803,2.645555603,7.764705882,-0.385090503,,,
0.764705882,11,3.245286569,3.298573125,8.411764706,-0.111738184,,,
0.823529412,11,3.914842307,4.013584916,9.058823529,0.074990108,,,
0.882352941,11,4.597300693,4.813878548,9.705882353,0.204292141,,,
0.941176471,11,5.286210402,5.690177085,10.35294118,0.293900741,,,
0,12,2.83187923,0.885837528,0,-0.882762227,,,
0.058823529,12,2.181783799,0.497622903,0.705882353,-2.877840491,,,
0.117647059,12,1.562013144,0.534955229,1.411764706,-3.83555461,,,
0.176470588,12,1.002892039,0.797305884,2.117647059,-3.274742045,,,
0.235294118,12,0.53474526,0.968299743,2.823529412,-3.179922231,,,
0.294117647,12,0.184658814,0.982681363,3.529411765,-3.489640138,,,
0.352941176,12,-0.033236363,0.902906176,4.235294118,-4.039289572,,,
0.411764706,12,-0.108048101,0.796326043,4.941176471,-4.673853473,,,
0.470588235,12,-0.028884231,0.716994762,5.647058824,-5.080577384,,,
0.529411765,12,0.209197916,0.818074372,6.352941176,-4.161804036,,,
0.588235294,12,0.587343018,1.247821252,7.058823529,-2.425443642,,,
0.647058824,12,1.080746255,1.859526232,7.764705882,-1.36223778,,,
0.705882353,12,1.664602805,2.505645002,8.470588235,-0.777947528,,,
0.764705882,12,2.315506632,3.132547328,9.176470588,-0.41447307,,,
0.823529412,12,3.015646829,3.7858721,9.882352941,-0.158012816,,,
0.882352941,12,3.748611273,4.506301878,10.58823529,0.029902154,,,
0.941176471,12,4.49798784,5.298227335,11.29411765,0.166871794,,,
0,13,3.10822687,0.827056727,0,-0.611368306,,,
0.058823529,13,2.476401833,0.584434769,0.764705882,-1.94625879,,,
0.117647059,13,1.861725291,0.667494124,1.529411765,-2.624948724,,,
0.176470588,13,1.281345739,0.87595544,2.294117647,-2.662826547,,,
0.235294118,13,0.752411671,1.004409124,3.058823529,-2.848890359,,,
0.294117647,13,0.294499279,1.001413074,3.823529412,-3.314679973,,,
0.352941176,13,-0.063104462,0.924788778,4.588235294,-3.976008025,,,
0.411764706,13,-0.288684881,0.821704167,5.352941176,-4.74933459,,,
0.470588235,13,-0.350527306,0.706527473,6.117647059,-5.611091708,,,
0.529411765,13,-0.226633082,0.724559323,6.882352941,-5.30045795,,,
0.588235294,13,0.06613238,1.113173716,7.647058824,-3.187041438,,,
0.647058824,13,0.501187654,1.70146798,8.411764706,-1.829405856,,,
0.705882353,13,1.051951313,2.29856445,9.176470588,-1.114570369,,,
0.764705882,13,1.692558544,2.838798316,9.941176471,-0.676802077,,,
0.823529412,13,2.400010994,3.384996784,10.70588235,-0.358597725,,,
0.882352941,13,3.152026922,3.99865936,11.47058824,-0.115497765,,,
0.941176471,13,3.92632459,4.695049634,12.23529412,0.066551256,,,
0,14,3.020940871,0.851854518,0,-0.696037007,,,
0.058823529,14,2.421986835,0.622864327,0.823529412,-1.913540803,,,
0.117647059,14,1.834468639,0.65406165,1.647058824,-2.720530246,,,
0.176470588,14,1.269822123,0.808095118,2.470588235,-2.900699393,,,
0.235294118,14,0.739483128,0.902041253,3.294117647,-3.186528336,,,
0.294117647,14,0.259470885,0.882240045,4.117647059,-3.802131034,,,
0.352941176,14,-0.135861806,0.807677669,4.941176471,-4.642600743,,,
0.411764706,14,-0.407578753,0.726912361,5.764705882,-5.532223841,,,
0.470588235,14,-0.516743765,0.640685395,6.588235294,-6.44716882,,,
0.529411765,14,-0.435441206,0.65215053,7.411764706,-6.209155949,,,
0.588235294,14,-0.179837672,0.973427917,8.235294118,-3.897259104,,,
0.647058824,14,0.222879684,1.462781272,9.058823529,-2.318175328,,,
0.705882353,14,0.745523712,1.939942703,9.882352941,-1.478569147,,,
0.764705882,14,1.361574305,2.345013701,10.70588235,-0.960458711,,,
0.823529412,14,2.047179536,2.755052009,11.52941176,-0.56865845,,,
0.882352941,14,2.779154527,3.245528414,12.35294118,-0.257187276,,,
0.941176471,14,3.534314398,3.835081378,13.17647059,-0.020742387,,,
0,15,2.660373082,0.94229789,0,-1.011877527,,,
0.058823529,15,2.105123685,0.611041208,0.882352941,-2.46912882,,,
0.117647059,15,1.56122209,0.533239537,1.764705882,-3.849378954,,,
0.176470588,15,1.040016099,0.654983699,2.647058824,-3.929635265,,,
0.235294118,15,0.552853514,0.739786048,3.529411765,-4.137695803,,,
0.294117647,15,0.115176862,0.704278356,4.411764706,-4.967760614,,,
0.352941176,15,-0.241192434,0.62038627,5.294117647,-6.213960174,,,
0.411764706,15,-0.480338227,0.569004456,6.176470588,-7.195376628,,,
0.470588235,15,-0.56634437,0.551519985,7.058823529,-7.579430708,,,
0.529411765,15,-0.473766375,0.594687987,7.941176471,-6.873570017,,,
0.588235294,15,-0.21904641,0.824514275,8.823529412,-4.648687918,,,
0.647058824,15,0.170901701,1.159734035,9.705882353,-2.968750881,,,
0.705882353,15,0.669164129,1.463636841,10.58823529,-2.0119055,,,
0.764705882,15,1.249920998,1.694908239,11.47058824,-1.394731636,,,
0.823529412,15,1.891728236,1.954464635,12.35294118,-0.881128711,,,
0.882352941,15,2.574235719,2.336082042,13.23529412,-0.445030355,,,
0.941176471,15,3.277093325,2.85043324,14.11764706,-0.118146887,,,
0,16,2.117617432,1.145075441,0,-1.306678717,,,
0.058823529,16,1.613295099,0.624948811,0.941176471,-3.201171048,,,
0.117647059,16,1.123982276,0.375782728,1.882352941,-6.62585233,,,
0.176470588,16,0.664688469,0.538293263,2.823529412,-5.478750844,,,
0.235294118,16,0.250423187,0.67223727,3.764705882,-5.003352394,,,
0.294117647,16,-0.101960913,0.632813746,4.705882353,-5.871907928,,,
0.352941176,16,-0.368238586,0.529761908,5.647058824,-7.516776244,,,
0.411764706,16,-0.522341437,0.510575734,6.588235294,-8.101059839,,,
0.470588235,16,-0.538201072,0.563842198,7.529411765,-7.36387632,,,
0.529411765,16,-0.398436242,0.612817466,8.470588235,-6.547299328,,,
0.588235294,16,-0.12041427,0.732579913,9.411764706,-5.097433527,,,
0.647058824,16,0.269810375,0.903810028,10.35294118,-3.699950942,,,
0.705882353,16,0.746183224,1.018608265,11.29411765,-2.815292212,,,
0.764705882,16,1.284488314,1.048320226,12.23529412,-2.222006948,,,
0.823529412,16,1.867863707,1.174233394,13.17647059,-1.486927081,,,
0.882352941,16,2.481285968,1.553891286,14.11764706,-0.728865128,,,
0.941176471,16,3.109731663,2.137381564,15.05882353,-0.235864052,,,
0,17,1.483767851,1.459235875,0,-1.459733361,,,
0.058823529,17,1.033983797,0.731012708,1,-3.529185355,,,
0.117647059,17,0.60474583,0.330329869,2,-9.109431488,,,
0.176470588,17,0.216600036,0.621181215,3,-5.46903709,,,
0.235294118,17,-0.109907496,0.839493747,4,-4.43573362,,,
0.294117647,17,-0.355520564,0.817292872,5,-4.856745776,,,
0.352941176,17,-0.506142498,0.711958042,6,-5.786865788,,,
0.411764706,17,-0.548966513,0.701372492,7,-5.935262218,,,
0.470588235,17,-0.471185824,0.751551877,8,-5.435485009,,,
0.529411765,17,-0.266278456,0.745591444,9,-5.20411229,,,
0.588235294,17,0.047138308,0.784821488,10,-4.544631979,,,
0.647058824,17,0.444162377,0.900768549,11,-3.51888481,,,
0.705882353,17,0.899891658,0.965950666,12,-2.809637779,,,
0.764705882,17,1.392165942,0.930917095,13,-2.386568268,,,
0.823529412,17,1.909792564,1.07673556,14,-1.58262682,,,
0.882352941,17,2.444320746,1.607536135,15,-0.727537234,,,
0.941176471,17,2.987299708,2.378990989,16,-0.263373605,,,
