fl.arg,fl.vd,value,se,x,Z
0.941176471,6,4.8897414,4.277769515,5.647058824,1.143058639
0,7,-0.845810306,0.295186456,0,-2.865342526
0.058823529,7,0.753092909,0.412112342,0.411764706,1.827397126
0.117647059,7,0.130218498,0.452974166,0.823529412,0.287474447
0.176470588,7,-0.120498522,0.402006504,1.235294118,-0.299742719
0.235294118,7,0.061726247,0.795049358,1.647058824,0.077638258
0.294117647,7,0.629442664,0.846620753,2.058823529,0.743476534
0.352941176,7,0.567587566,0.76360311,2.470588235,0.7433018
0.411764706,7,-1.370231034,0.867966488,2.882352941,-1.578668132
0.470588235,7,-0.766771406,1.376716221,3.294117647,-0.55695676
0.529411765,7,-0.118997741,1.600559164,3.705882353,-0.074347605
0.588235294,7,-0.4160871,2.16704397,4.117647059,-0.192006764
0.647058824,7,-0.949869943,2.604906161,4.529411765,-0.364646511
0.705882353,7,-1.132716102,2.826307977,4.941176471,-0.400775892
0.764705882,7,-0.612328115,2.880306711,5.352941176,-0.212591289
0.823529412,7,0.738768609,2.923311279,5.764705882,0.252716368
0.882352941,7,2.742805399,3.007281739,6.176470588,0.912054685
0.941176471,7,4.914907012,3.529448885,6.588235294,1.392542341
0,8,-0.845810306,0.295186456,0,-2.865342526
0.058823529,8,0.806176459,0.442378338,0.470588235,1.822368748
0.117647059,8,0.144700201,0.475244333,0.941176471,0.304475384
0.176470588,8,-0.121440074,0.416410942,1.411764706,-0.291635165
0.235294118,8,0.112621182,0.785457928,1.882352941,0.143382831
0.294117647,8,0.697649888,0.787637947,2.352941176,0.885749462
0.352941176,8,0.71111273,0.711457782,2.823529412,0.999515007
0.411764706,8,-1.299232137,0.66690759,3.294117647,-1.948144175
0.470588235,8,-0.638249792,1.178625286,3.764705882,-0.541520532
0.529411765,8,0.032671298,1.290260004,4.235294118,0.025321484
0.588235294,8,-0.311226714,1.852701705,4.705882353,-0.167985333
0.647058824,8,-0.901784077,2.257089914,5.176470588,-0.399533963
0.705882353,8,-1.14657173,2.45685496,5.647058824,-0.46668271
0.764705882,8,-0.682814336,2.453424264,6.117647059,-0.278310746
0.823529412,8,0.642446269,2.452188995,6.588235294,0.261988889
0.882352941,8,2.65778392,2.419024526,7.058823529,1.098700692
0.941176471,8,4.904072133,2.940832132,7.529411765,1.667579757
0,9,-0.845810306,0.295186456,0,-2.865342526
0.058823529,9,0.84588041,0.465280526,0.529411765,1.818000889
0.117647059,9,0.157384385,0.494638103,1.058823529,0.318180875
0.176470588,9,-0.120647904,0.431696399,1.588235294,-0.279473963
0.235294118,9,0.149260165,0.783992284,2.117647059,0.190384738
0.294117647,9,0.747748685,0.740195071,2.647058824,1.010204897
0.352941176,9,0.799809504,0.696909117,3.176470588,1.147652519
0.411764706,9,-1.210338268,0.528631752,3.705882353,-2.289567858
0.470588235,9,-0.53272396,1.047225018,4.235294118,-0.508700567
0.529411765,9,0.145431711,1.0531828,4.764705882,0.138087814
0.588235294,9,-0.233569709,1.617241833,5.294117647,-0.144424726
0.647058824,9,-0.86169945,1.987092503,5.823529412,-0.433648382
0.705882353,9,-1.149302635,2.178453723,6.352941176,-0.527577255
0.764705882,9,-0.728570178,2.126508313,6.882352941,-0.342613369
0.823529412,9,0.573504435,2.103423908,7.411764706,0.272652808
0.882352941,9,2.584218993,1.970853342,7.941176471,1.311218312
