"PlantID","flw_date","mean_FL","sd_FL","var_FL","mean_FD","sd_FD","var_FD","mean_B","sd_B","var_B","mean_flw_vol","sd_flw_vol","var_flw_vol"
1,1,12.11,NA,NA,6.66,NA,NA,7.63,NA,NA,140.6244579,NA,NA
1,2,8.63833333333333,0.759616131125891,0.577016666666666,2.59166666666667,0.443414779486055,0.196616666666667,5.55333333333333,0.540172811854379,0.291786666666667,15.4691356655,5.11258942674059,26.1385706464197
1,3,8.935,0.190918830920368,0.0364499999999999,2.74,0.29698484809835,0.0882000000000002,5.73,0.268700576850888,0.0722,17.624079435,3.42950231778393,11.7614861476854
1,4,9.925,1.42128463018496,2.02005,3.04,0.014142135623731,2e-04,6.535,0.431335136523794,0.18605,23.997236405,3.21533702616294,10.3383921918143
1,5,8.17,0.0282842712474613,0.000799999999999966,2.98,0.197989898732233,0.0392000000000001,5.495,0.148492424049175,0.02205,19.04057171,2.5898461006512,6.7073028250582
1,6,8.75666666666667,0.630661028868388,0.397733333333333,2.68333333333333,0.150443787951957,0.0226333333333333,4.46333333333333,0.330807093837683,0.109433333333333,16.62142166,2.89968407411207,8.40816772965915
1,8,9,NA,NA,2.31,NA,NA,3.92,NA,NA,12.5728788,NA,NA
1,9,8.88,NA,NA,2.85,NA,NA,3.75,NA,NA,18.88299793,NA,NA
1,10,8.425,0.120208152801713,0.01445,2.63,0.014142135623731,2e-04,3.46,0.14142135623731,0.02,15.25770675,0.381754392946182,0.145736416533708
1,11,9.69,NA,NA,2.81,NA,NA,4.47,NA,NA,20.03109436,NA,NA
1,12,9.145,0.021213203435596,0.000449999999999981,2.355,0.332340187157677,0.11045,3.835,0.106066017177982,0.0112500000000001,13.4145982,3.7787287310643,14.2787908229708
1,13,8.27857142857143,0.348541177453902,0.121480952380952,2.51571428571429,0.210464339248335,0.0442952380952381,3.50285714285714,0.329631829253704,0.108657142857143,13.8358339585714,2.6591939625779,7.07131253061073
1,14,7.63,0.370405183549043,0.1372,2.48333333333333,0.188767935130237,0.0356333333333334,3.27,0.364965751817893,0.1332,12.4270574466667,2.53188098212575,6.41042130765006
1,15,7.21,0.0282842712474619,0.000800000000000001,2.235,0.403050865276332,0.16245,3.25,0.197989898732233,0.0392000000000001,9.5754944575,3.36313014635426,11.3106443813168
1,16,7.95,0.155563491861041,0.0242000000000001,2.17,0.0989949493661167,0.00980000000000002,3.385,0.106066017177982,0.01125,9.802099045,0.702231117295707,0.493128542098377
1,17,6.94,0.410121933088198,0.1682,1.97,0.0424264068711929,0.0018,3.41,0.494974746830583,0.245,7.0617628675,0.720498015370599,0.519117390152972
2,1,11.648,1.06902759552782,1.14282,6.786,0.423591784622884,0.17943,8.03,0.292232783924049,0.0854000000000001,140.30829954,16.6427922461252,276.982533747686
