banner.arg,banner.vd,value,se,x,z_LDH
0,1,0.0744290270304354,0.064557823435352,0,1.15290483894595
0.111111111111111,1,0.25623021977838,0.230255473504895,0.111111111111111,1.11280837705225
0.222222222222222,1,0.404266625065698,0.340712157134078,0.222222222222222,1.1865341949234
0.333333333333333,1,0.46335706056018,0.394070939990566,0.333333333333333,1.17582144111229
0.444444444444444,1,0.422000558452705,0.355810558399678,0.444444444444444,1.18602595816923
0.555555555555556,1,0.321843495050941,0.329884617159179,0.555555555555556,0.975624440516551
0.666666666666667,1,0.216011157167904,0.491994193803656,0.666666666666667,0.439052248763141
0.777777777777778,1,0.125561601559327,0.770466927121243,0.777777777777778,0.162968191286902
0.888888888888889,1,0.052184511602946,1.04253135587147,0.888888888888889,0.0500555799200152
1,1,-0.00943126248241177,1.28165637586315,1,-0.00735865139832052
0,2,0.0744290270304354,0.064557823435352,0,1.15290483894595
0.111111111111111,2,0.00900431680123137,0.0817506154621879,0.222222222222222,0.110143718800455
0.222222222222222,2,0.0586572919669641,0.163121297648081,0.444444444444444,0.359593093070605
0.333333333333333,2,0.0688059073323711,0.225115281039472,0.666666666666667,0.30564743101694
0.444444444444444,2,0.0151573665393337,0.26493570655551,0.888888888888889,0.0572114900494091
0.555555555555556,2,-0.144410090210177,0.290164764819981,1.11111111111111,-0.497683067410921
0.666666666666667,2,-0.377636487785153,0.377391293314702,1.33333333333333,-1.00064970886927
0.777777777777778,2,-0.630790484193624,0.576256913276563,1.55555555555556,-1.0946341287378
0.888888888888889,2,-0.874600792173934,0.829015726001694,1.77777777777778,-1.0549869740012
1,2,-1.1016442693091,1.09492285726338,2,-1.00613870831276
0,3,0.0744290270304354,0.064557823435352,0,1.15290483894595
0.111111111111111,3,-0.0610369032003922,0.0840038843387459,0.333333333333333,-0.726596200650208
0.222222222222222,3,-0.0674461481399709,0.137281239847361,0.666666666666667,-0.491299089482019
0.333333333333333,3,-0.0774683600735708,0.176540807573022,1,-0.438812765946636
0.444444444444444,3,-0.137165119297998,0.211416321996147,1.33333333333333,-0.648791531339279
0.555555555555556,3,-0.305308688967127,0.241282784837478,1.66666666666667,-1.2653562879456
0.666666666666667,3,-0.577180062934424,0.380291690173969,2,-1.51772988431692
0.777777777777778,3,-0.886237195855552,0.605594919863189,2.33333333333333,-1.46341583587881
0.888888888888889,3,-1.18676579846558,0.875125991698166,2.66666666666667,-1.35610850291703
1,3,-1.46702210281963,1.15397807502908,3,-1.27127380889161
0,4,0.0744290270304354,0.064557823435352,0,1.15290483894595
0.111111111111111,4,-0.0913353887797458,0.0942606883842723,0.444444444444444,-0.968965857828229
0.222222222222222,4,-0.127164400915602,0.143421688233594,0.888888888888889,-0.886646939397942
0.333333333333333,4,-0.152113354476491,0.17140558678521,1.33333333333333,-0.88744688740575
0.444444444444444,4,-0.220406440666146,0.196514454794618,1.77777777777778,-1.121578770867
0.555555555555556,4,-0.39390659502702,0.226481077819699,2.22222222222222,-1.73924726435914
0.666666666666667,4,-0.686480480129562,0.382282788253232,2.66666666666667,-1.79573996325156
0.777777777777778,4,-1.02507743410253,0.630713002452052,3.11111111111111,-1.62526764172816
0.888888888888889,4,-1.35329731813245,0.91733481235691,3.55555555555556,-1.47524905836226
1,4,-1.65801058259665,1.20837178828871,4,-1.37210302215406
0,5,0.0744290270304354,0.064557823435352,0,1.15290483894595
0.111111111111111,5,-0.10821061369146,0.10202539088922,0.555555555555556,-1.06062434800133
0.222222222222222,5,-0.161297727693186,0.15104319129719,1.11111111111111,-1.06789141773243
0.333333333333333,5,-0.19635430558033,0.17181576340798,1.66666666666667,-1.14281892234813
0.444444444444444,5,-0.273775435866385,0.188590942927651,2.22222222222222,-1.45168920424462
0.555555555555556,5,-0.452123850768209,0.217432469528486,2.77777777777778,-2.0793759632527
0.666666666666667,5,-0.757526397805328,0.383935945260864,3.33333333333333,-1.97305411789623
0.777777777777778,5,-1.11341473508202,0.651957899929728,3.88888888888889,-1.70780158535088
0.888888888888889,5,-1.45718675311569,0.949561122887061,4.44444444444444,-1.53458973624071
1,5,-1.77551841326442,1.24798253854785,5,-1.42271094219829
0,6,0.0744290270304354,0.064557823435352,0,1.15290483894595
0.111111111111111,6,-0.119112066550224,0.107661653780577,0.666666666666667,-1.1063555348405
0.222222222222222,6,-0.183577929410684,0.158043286464023,1.33333333333333,-1.16156740041263
0.333333333333333,6,-0.226047386415881,0.17539289550638,2,-1.28880583083628
0.444444444444444,6,-0.311475939762383,0.188842097444499,2.66666666666667,-1.64939885744452
0.555555555555556,6,-0.494711699197875,0.218875774841088,3.33333333333333,-2.26023962476914
0.666666666666667,6,-0.807963477222501,0.392653871268329,4,-2.05769899737054
0.777777777777778,6,-1.17450337011948,0.670204349154924,4.66666666666667,-1.75245560790592
0.888888888888889,6,-1.52781219445711,0.97405838915085,5.33333333333333,-1.56850165398093
1,6,-1.85475499871878,1.27675863647822,6,-1.45270605244144
0,7,0.0744290270304354,0.064557823435352,0,1.15290483894595
0.111111111111111,7,-0.126790470570189,0.11181101613535,0.777777777777778,-1.13397118595815
0.222222222222222,7,-0.199344849132073,0.163729911166427,1.55555555555556,-1.21752249000761
0.333333333333333,7,-0.24754627592615,0.179659586456135,2.33333333333333,-1.37786288396355
0.444444444444444,7,-0.339912079479103,0.19102656808532,3.11111111111111,-1.77939688120914
0.555555555555556,7,-0.528212060045927,0.223310804273273,3.88888888888889,-2.36536723677524
0.666666666666667,7,-0.845862217418418,0.402660853239457,4.66666666666667,-2.10068153040791
