FL.arg,FL.vd,value,se,x,z_LDH
0,1,-0.0218149028137998,0.0561806818049562,0,-0.388299004443113
0.111111111111111,1,0.0576188363093308,0.157702674205943,0.111111111111111,0.365363723852182
0.222222222222222,1,0.107358704933455,0.196145124378348,0.222222222222222,0.54734322493976
0.333333333333333,1,0.124923708493541,0.201856954566554,0.333333333333333,0.618872452335313
0.444444444444444,1,0.0970322579326252,0.179428512568299,0.444444444444444,0.540785054413748
0.555555555555556,1,0.0340461444376947,0.163273171756222,0.555555555555556,0.208522588686695
0.666666666666667,1,-0.0335393144163431,0.27390916922305,0.666666666666667,-0.122446848024395
0.777777777777778,1,-0.0938237908173896,0.45410455336701,0.777777777777778,-0.206612750569715
0.888888888888889,1,-0.145366576237871,0.625184166488848,0.888888888888889,-0.232518006740761
1,1,-0.191104654392237,0.771908207636575,1,-0.247574326197878
0,2,-0.0218149028137998,0.0561806818049562,0,-0.388299004443113
0.111111111111111,2,-0.0808009785021096,0.0663341812854691,0.222222222222222,-1.21808963246841
0.222222222222222,2,-0.0660337014409838,0.110242237173986,0.444444444444444,-0.598987313154469
0.333333333333333,2,-0.0628255128734908,0.121980182662212,0.666666666666667,-0.515046883045481
0.444444444444444,2,-0.061874039827659,0.1441285730418,0.888888888888889,-0.429297525964644
0.555555555555556,2,-0.123466208059918,0.170143706355401,1.11111111111111,-0.725658390219961
0.666666666666667,2,-0.237131461787023,0.192111862394443,1.33333333333333,-1.23434054946668
0.777777777777778,2,-0.368133827311665,0.269881069942928,1.55555555555556,-1.36405946289421
0.888888888888889,2,-0.49662231438713,0.396512107542962,1.77777777777778,-1.25247704909823
1,2,-0.616983155518768,0.541934069399623,2,-1.1384837941676
0,3,-0.0218149028137998,0.0561806818049562,0,-0.388299004443113
0.111111111111111,3,-0.120187657565548,0.0604929767671181,0.333333333333333,-1.98680349337475
0.222222222222222,3,-0.133548971850631,0.100748302744148,0.666666666666667,-1.3255704385391
0.333333333333333,3,-0.129176572758569,0.108826004095578,1,-1.18700097308652
0.444444444444444,3,-0.120291007147919,0.115834828652315,1.33333333333333,-1.03847010909801
0.555555555555556,3,-0.172932648673835,0.13735471044069,1.66666666666667,-1.25902233799625
0.666666666666667,3,-0.298999469985599,0.184158098703332,2,-1.62360206849914
0.777777777777778,3,-0.454750418859923,0.263824039046986,2.33333333333333,-1.72368833599327
0.888888888888889,3,-0.60913804979696,0.389856384553511,2.66666666666667,-1.56246780591931
1,3,-0.753547467706446,0.536549731670901,3,-1.40443172967356
0,4,-0.0218149028137998,0.0561806818049562,0,-0.388299004443113
0.111111111111111,4,-0.136892937873453,0.0649970280613002,0.444444444444444,-2.10614149533646
0.222222222222222,4,-0.164959669044522,0.107345686020633,0.888888888888889,-1.53671447041491
0.333333333333333,4,-0.16187703281946,0.113317171614965,1.33333333333333,-1.42853047347046
0.444444444444444,4,-0.151966087912612,0.110350445262482,1.77777777777778,-1.37712256213504
0.555555555555556,4,-0.201288462539206,0.125564909449314,2.22222222222222,-1.6030630167456
0.666666666666667,4,-0.335003143050824,0.173114083827862,2.66666666666667,-1.93515822423748
0.777777777777778,4,-0.504431984499918,0.261437811292351,3.11111111111111,-1.92945305809587
0.888888888888889,4,-0.671454394565849,0.396320111867232,3.55555555555556,-1.69422235829098
1,4,-0.826625521474692,0.550025857396731,4,-1.50288483779127
0,5,-0.0218149028137998,0.0561806818049562,0,-0.388299004443113
0.111111111111111,5,-0.146004812201327,0.0695337488607692,0.555555555555556,-2.09976902717671
0.222222222222222,5,-0.182341529092653,0.11361890943618,1.11111111111111,-1.60485195639969
0.333333333333333,5,-0.180146709869997,0.116054241158352,1.66666666666667,-1.55226304589932
0.444444444444444,5,-0.172663898676088,0.106280891724406,2.22222222222222,-1.62459964227454
0.555555555555556,5,-0.221320337899638,0.115316931646213,2.77777777777778,-1.91923540403103
0.666666666666667,5,-0.360163349563534,0.16186524036681,3.33333333333333,-2.22508148597779
0.777777777777778,5,-0.53759801331212,0.26251744220923,3.88888888888889,-2.04785635875443
0.888888888888889,5,-0.71152731002666,0.404445369143134,4.44444444444444,-1.75926679920731
1,5,-0.872493900331352,0.562959720529819,5,-1.54983361777681
0,6,-0.0218149028137998,0.0561806818049562,0,-0.388299004443113
0.111111111111111,6,-0.15179682814315,0.0730762399351829,0.666666666666667,-2.07723917210014
0.222222222222222,6,-0.193431572077295,0.118872868233081,1.33333333333333,-1.62721380372536
0.333333333333333,6,-0.192199692922722,0.11934880262621,2,-1.61040319377711
0.444444444444444,6,-0.187746251620324,0.107087054215699,2.66666666666667,-1.75321146888733
0.555555555555556,6,-0.237202568834201,0.112383799040024,3.33333333333333,-2.11064736074391
0.666666666666667,6,-0.379077895878426,0.159596824348456,4,-2.37522204734328
0.777777777777778,6,-0.561294487733193,0.266099415047,4.66666666666667,-2.10934130627102
0.888888888888889,6,-0.739285730261252,0.412160862626227,5.33333333333333,-1.79368250918012
1,6,-0.903811881981416,0.573415049722532,6,-1.57619142088921
0,7,-0.0218149028137998,0.0561806818049562,0,-0.388299004443113
0.111111111111111,7,-0.15582036444602,0.0757456036388504,0.777777777777778,-2.05715390676613
0.222222222222222,7,-0.201133000556212,0.122943087967804,1.55555555555556,-1.63598461597845
0.333333333333333,7,-0.200922607182003,0.122547614050571,2.33333333333333,-1.63954727914237
0.444444444444444,7,-0.199528863466672,0.108704595580649,3.11111111111111,-1.83551451896659
0.555555555555556,7,-0.250702596996359,0.111416833868996,3.88888888888889,-2.2501321235814
