FL.arg,FL.vd,value,se,x,z_LDH
0,1,-0.199110430671209,0.0808383131930927,0,-2.46307008157886
0.111111111111111,1,-0.396569309707956,0.245668806490603,0.111111111111111,-1.614243645227
0.222222222222222,1,-0.903436741783585,0.635848556523173,0.222222222222222,-1.42083634934014
0.333333333333333,1,-1.46255378729032,1.03419050330692,0.333333333333333,-1.41420152536083
0.444444444444444,1,-2.02290567436788,1.42002545173821,0.444444444444444,-1.42455592742489
0.555555555555556,1,-2.57189041870712,1.80243153537055,0.555555555555556,-1.42690047762528
0.666666666666667,1,-3.1061309829705,2.17987345144661,0.666666666666667,-1.42491344206665
0.777777777777778,1,-3.62538950740215,2.59897928165277,0.777777777777778,-1.39492820623667
0.888888888888889,1,-4.13103605620969,3.05548609465319,0.888888888888889,-1.35200617127292
1,1,-4.62445172053966,3.52276568757181,1,-1.31273327001411
0,2,-0.199110430671209,0.0808383131930927,0,-2.46307008157886
0.111111111111111,2,-0.150824276087641,0.102455272862593,0.222222222222222,-1.47209872048183
0.222222222222222,2,-0.424194008526546,0.285163465644842,0.444444444444444,-1.48754682710604
0.333333333333333,2,-0.754997702758235,0.490514418132873,0.666666666666667,-1.53919573991751
0.444444444444444,2,-1.10059868014749,0.661277542880387,0.888888888888889,-1.66435211961608
0.555555555555556,2,-1.43927126236599,0.816920400378122,1.11111111111111,-1.76182558508737
0.666666666666667,2,-1.76578265296047,0.978337063411806,1.33333333333333,-1.80488169057254
0.777777777777778,2,-2.07993299679904,1.16558660387646,1.55555555555556,-1.7844517000124
0.888888888888889,2,-2.38089483789436,1.38547378541026,1.77777777777778,-1.7184697848248
1,2,-2.66750998674014,1.63078935467784,2,-1.63571707105428
0,3,-0.199110430671209,0.0808383131930927,0,-2.46307008157886
0.111111111111111,3,-0.0918819866669838,0.089663186449564,0.333333333333333,-1.02474594429753
0.222222222222222,3,-0.27405572523933,0.208381549842139,0.666666666666667,-1.31516310079727
0.333333333333333,3,-0.526407241679278,0.343756788812778,1,-1.53133627846977
0.444444444444444,3,-0.802144239403284,0.472257968969628,1.33333333333333,-1.69852981232567
0.555555555555556,3,-1.07029867066764,0.558453892357674,1.66666666666667,-1.91653901121374
0.666666666666667,3,-1.32393843821096,0.648923200055989,2,-2.04020820660554
0.777777777777778,3,-1.56414720409083,0.763275425717329,2.33333333333333,-2.04925660042159
0.888888888888889,3,-1.79128087486617,0.911551916196491,2.66666666666667,-1.96508925387421
1,3,-2.00470992514793,1.10919052618525,3,-1.80736300736589
0,4,-0.199110430671209,0.0808383131930927,0,-2.46307008157886
0.111111111111111,4,-0.0686391780462697,0.0898056278007884,0.444444444444444,-0.764308203473938
0.222222222222222,4,-0.203489823489159,0.188159507028143,0.888888888888889,-1.08147510961922
0.333333333333333,4,-0.415438926664636,0.297179252946669,1.33333333333333,-1.39794054445379
0.444444444444444,4,-0.655654622549451,0.401346522156482,1.77777777777778,-1.63363723454371
0.555555555555556,4,-0.888426799856848,0.466140764274001,2.22222222222222,-1.90591955895671
0.666666666666667,4,-1.1049499565301,0.535793403001025,2.66666666666667,-2.06226868479749
0.777777777777778,4,-1.30639693361998,0.622050862879727,3.11111111111111,-2.1001448781409
0.888888888888889,4,-1.49517962717808,0.751591628105074,3.55555555555556,-1.98935109342257
1,4,-1.67005201648773,0.941524078180588,4,-1.77377515370075
0,5,-0.199110430671209,0.0808383131930927,0,-2.46307008157886
0.111111111111111,5,-0.056156066967932,0.0927375842246242,0.555555555555556,-0.605537306556462
0.222222222222222,5,-0.162953303611514,0.183721439266937,1.11111111111111,-0.886958562167323
0.333333333333333,5,-0.350481172265734,0.278310580910284,1.66666666666667,-1.25931673571087
0.444444444444444,5,-0.568574611678928,0.367030364390532,2.22222222222222,-1.54912145381505
0.555555555555556,5,-0.780070749820037,0.431090651122668,2.77777777777778,-1.80952833885063
0.666666666666667,5,-0.974140066409309,0.498540630746257,3.33333333333333,-1.95398329911673
0.777777777777778,5,-1.15201381012972,0.576296883745505,3.88888888888889,-1.99899364827809
0.888888888888889,5,-1.3158196771678,0.694459854847543,4.44444444444444,-1.89473828902129
1,5,-1.46828405523878,0.883765850138143,5,-1.66139487626646
0,6,-0.199110430671209,0.0808383131930927,0,-2.46307008157886
0.111111111111111,6,-0.0481079207344931,0.095879987371036,0.666666666666667,-0.501751429610908
0.222222222222222,6,-0.136697851284943,0.185260213324054,1.33333333333333,-0.737869447693193
0.333333333333333,6,-0.308007342262928,0.272939928224509,2,-1.12848033729083
0.444444444444444,6,-0.511007252410115,0.354002216444163,2.66666666666667,-1.44351427384556
0.555555555555556,6,-0.708095162520195,0.419044356532955,3.33333333333333,-1.68978570282812
0.666666666666667,6,-0.88711054414858,0.489559318565306,4,-1.81205935727734
0.777777777777778,6,-1.04932602650365,0.568058270327086,4.66666666666667,-1.84721547298211
