PlantID,Branch,PosSeq,Pos,FL,FD,B,Date,FlwFate,seeds,aborted,unfert,Notes
7,1,5,5,7.91,2.68,4.43,14-Jun,0,0,,,
7,2,6,1,11.78,2.88,8.37,13-Jun,0,0,,,
7,2,7,2,10.14,2.96,7.21,13-Jun,1,8,0,1,
7,2,8,3,10.7,3.35,9.35,13-Jun,0,0,,,
7,2,9,4,9.77,3.43,9.15,13-Jun,0,0,,,
7,2,10,5,9.24,3.06,5.36,14-Jun,0,0,,,
7,2,11,6,8.4,3.11,6.58,14-Jun,0,0,,,
7,2,12,7,6.72,2.82,4.45,14-Jun,0,0,,,
7,3,13,1,9.41,2.51,4.89,14-Jun,0,0,,,
7,3,14,2,8.96,2.32,4.82,14-Jun,0,0,,,
7,3,15,3,8.85,2.64,5.6,14-Jun,0,0,,,
7,3,16,4,8.76,2.67,5.7,15-Jun,0,0,,,pierced tube
7,3,17,5,7.38,2.79,4.4,15-Jun,1,0,2,4,pierced tube
7,3,18,6,7.24,2.69,3.99,15-Jun,1,2,2,3,
8,1,1,1,10.45,4.22,7.45,12-Jun,1,0,,,
8,1,2,2,10.26,4.89,8.11,12-Jun,0,0,,,
8,1,3,3,11.18,4.71,9.58,12-Jun,0,0,,,
8,1,4,4,10.67,4.24,7.57,12-Jun,1,0,,,chewed fruit
8,2,5,1,10.41,3.49,7.09,12-Jun,1,0,,,
8,2,6,2,10.67,4.08,8.76,12-Jun,0,0,,,
8,2,7,3,8.07,4.21,7.61,12-Jun,1,0,,,
8,2,8,4,8.21,3.09,7.15,13-Jun,0,0,,,
8,2,9,5,8.42,3.38,7.58,13-Jun,0,0,,,
8,2,10,6,7.2,3.11,7.58,13-Jun,0,0,,,
8,2,11,7,8.45,2.41,5.33,14-Jun,0,0,,,
8,2,12,8,8.42,3.13,4.71,14-Jun,0,0,,,
8,3,13,1,9.84,3.34,8.66,13-Jun,0,0,,,pierced tube
8,3,14,2,7.98,2.71,6.6,14-Jun,0,0,,,pierced tube
8,3,15,3,7.75,2.37,4.58,14-Jun,0,0,,,
8,3,16,4,7.63,2.82,4.29,15-Jun,0,0,,,
8,3,17,5,5.12,2.19,3.88,16-Jun,0,0,,,
32,1,1,1,9.83,3.27,6.08,14-Jun,0,0,,,
32,1,2,2,8.54,2.59,5.27,14-Jun,1,0,,,
32,1,3,3,,,,15-Jun,0,0,,,aborted
32,1,4,4,,,,16-Jun,0,0,,,aborted
32,2,5,1,,,,15-Jun,0,0,,,aborted
32,2,6,2,8.56,3.03,5.34,15-Jun,0,0,,,
32,2,7,3,7.43,1.96,4.7,16-Jun,1,5,0,1,
32,2,8,4,,,,16-Jun,0,0,,,aborted
32,3,9,1,8.89,2.86,5.06,16-Jun,0,0,,,
32,3,10,2,9,2.88,4.29,16-Jun,0,0,,,
32,3,11,3,8.62,2.24,4.16,16-Jun,0,0,,,
32,3,12,4,8.92,2.84,5.06,17-Jun,0,0,,,
32,3,13,5,8.21,2.19,4.99,17-Jun,0,0,,,
32,3,14,6,8.12,2.08,3.95,17-Jun,0,0,,,
32,4,15,1,9.71,3.13,4.06,17-Jun,0,0,,,
32,4,16,2,9.22,2.62,3.75,17-Jun,0,0,,,
32,4,17,3,8.88,2.56,4.32,17-Jun,0,0,,,
32,4,18,4,8.97,2.74,3.76,18-Jun,1,7,0,1,
32,4,19,5,8.29,2.62,4.04,18-Jun,0,0,,,
32,4,20,6,8.28,2.71,4.18,18-Jun,0,0,,,
32,4,21,7,8.07,2.23,3.63,19-Jun,0,0,,,
32,5,22,1,9.43,2.75,3.1,19-Jun,0,0,,,
32,5,23,2,9.08,2.56,3.08,19-Jun,0,0,,,
32,5,24,3,9.17,2.54,3.1,19-Jun,0,0,,,
32,5,25,4,8.48,2.32,3.36,19-Jun,1,3,3,0,
32,5,26,5,8.31,2.5,3.12,20-Jun,0,0,,,
32,6,27,1,8.91,2.35,4.11,23-Jun,0,0,,,
32,6,28,2,9.17,2.51,3.78,23-Jun,0,0,,,
32,6,29,3,8.81,2.35,4.05,23-Jun,0,0,,,
