PlantID,Branch,PosSeq,Pos,FL,FD,B,Date,FlwFate,seeds,aborted,unfert,Notes,flw_vol
3,3,15,5,10.18,3.07,5.32,14-Jun,0,0,,,,25.11844723
3,3,16,6,9.26,2.88,5.54,14-Jun,0,0,,,,20.10778449
3,3,17,7,9.78,3,4.58,15-Jun,0,0,,,,23.04356265
3,4,18,1,9.97,3.25,4.48,14-Jun,0,0,,,,27.56957937
3,4,19,2,8.81,3.12,5.55,15-Jun,0,0,,,,22.45191329
3,4,20,3,9.83,3.14,5.81,15-Jun,0,0,,,,25.37354068
3,4,21,4,8.95,3.04,5.66,15-Jun,0,0,,,,21.65401645
3,4,22,5,8.46,2.87,4.93,16-Jun,0,0,,,,18.24325868
3,4,23,6,8.27,2.73,4.32,16-Jun,0,0,,,,16.13611809
3,5,24,1,9.87,2.44,4.45,16-Jun,0,0,,,,15.38385101
3,5,25,2,9.84,2.53,5.09,16-Jun,0,0,,,,16.48938281
3,5,26,3,9.64,2.4,4.18,16-Jun,1,4,0,4,,14.53676525
3,5,27,4,9.3,2.39,4.95,17-Jun,0,0,,,,13.90743409
3,5,28,5,8.53,2.37,4.32,17-Jun,0,0,,,,12.54336278
3,5,29,6,7.61,2.69,4.36,17-Jun,0,0,,,,14.41642167
3,6,30,1,9.73,2.34,4.61,19-Jun,0,0,,,,13.94802814
3,6,31,2,8.87,2.74,3.45,20-Jun,0,0,,,,17.43383797
3,6,32,3,8.76,2.42,3.38,20-Jun,0,0,,,,13.4308376
3,6,33,4,8.57,2.31,3.44,21-Jun,0,0,,,,11.97217459
3,6,34,5,8.12,2.16,3.58,21-Jun,1,0,4,0,,9.918175559
3,7,35,1,8.22,2.19,4.18,22-Jun,1,9,0,1,,10.32115516
3,7,36,2,7.52,2.04,3.64,22-Jun,1,7,0,0,,8.193065658
4,1,1,1,11.9,5.25,6.35,12-Jun,0,0,,,,85.86849042
4,1,2,2,9.76,4.89,6.19,12-Jun,0,0,,,,61.09923825
4,1,3,3,11.47,3.07,6.09,13-Jun,0,0,,,,28.30143318
4,1,4,4,11.41,3.31,5.19,13-Jun,0,0,,,,32.72727847
4,1,5,5,10.26,2.98,5.81,13-Jun,0,0,,,,23.85328234
4,1,6,6,10.14,2.46,5.35,13-Jun,0,0,,,,16.06484091
4,2,7,1,11.58,3.09,7.6,13-Jun,0,0,,,,28.94634794
4,2,8,2,11.62,2.97,5.47,13-Jun,0,0,,,,26.83411561
4,2,9,3,10.18,3.04,5.03,14-Jun,0,0,,,,24.62993156
4,2,10,4,10.56,2.72,4.98,14-Jun,0,0,,,,20.45361072
4,2,11,5,10.26,2.7,4.64,14-Jun,0,0,,,,19.58137339
4,2,12,6,9.78,2.94,5.12,14-Jun,0,0,,,,22.13103757
4,3,13,1,9.65,3.05,4.95,14-Jun,0,0,,,,23.50148212
4,3,14,2,9.86,2.86,4.81,14-Jun,0,0,,,,21.11432689
4,3,15,3,9.53,3.14,5.81,15-Jun,0,0,,,,24.59917016
4,3,16,4,8.21,3.17,5.98,15-Jun,0,0,,,,21.59881583
4,3,17,5,9.12,2.28,5.31,15-Jun,0,0,,,,12.41174351
4,3,18,6,8.23,2.37,5.47,15-Jun,0,0,,,,12.10221285
4,4,19,1,9.22,2.87,4.99,15-Jun,0,0,,,,19.88213299
4,4,20,2,9.02,2.25,4.87,16-Jun,0,0,,,,11.9547317
4,4,21,3,8.46,2.14,4.65,16-Jun,0,0,,,,10.14299402
5,1,1,1,11.55,5.46,4.97,12-Jun,0,0,,,chewed ,90.14373103
5,1,2,2,10.22,5.13,9.72,12-Jun,1,0,,,,70.41316824
5,1,3,3,9.94,2.8,7.12,13-Jun,0,0,,,,20.40190434
5,1,4,4,8.22,2.71,6.89,13-Jun,0,0,,,,15.80442352
5,1,5,5,8.96,2.93,4.78,14-Jun,0,0,,,,20.13777621
5,2,6,1,9.81,3.56,6.64,13-Jun,0,0,,,,32.54897098
5,2,7,2,10.06,3.08,6.09,13-Jun,0,0,,,,24.98432804
5,2,8,3,8.53,2.92,5.22,14-Jun,0,0,,,,19.04070366
5,2,9,4,7.64,2.81,6.85,14-Jun,0,0,,,,15.79334994
5,2,10,5,6.86,2.39,5.34,15-Jun,0,0,,,,10.25860192
6,1,1,1,10.22,5.57,7.54,12-Jun,0,0,,,,83.00983411
6,1,2,2,10.08,4.55,6.03,12-Jun,0,0,,,,54.63256426
6,1,3,3,11.51,4.7,10.8,12-Jun,0,0,,,,66.56398274
6,1,4,4,10.74,4.21,8.68,12-Jun,0,0,,,,49.83526051
6,2,5,1,10.16,3.28,7.6,13-Jun,0,0,,,,28.61604797
6,2,6,2,10.17,4.54,9.31,12-Jun,0,0,,,,54.87833399
27,1,1,1,11.74,3.84,8.29,13-Jun,0,0,,,,45.3209292
27,1,2,2,10,3.11,6.56,14-Jun,0,0,,,,25.3214772
27,1,3,3,10.29,2.98,5.74,14-Jun,1,0,,,,23.92302878
27,1,4,4,9.48,2.45,6.01,14-Jun,0,0,,,,14.89734124
27,2,5,1,11.84,2.83,8.99,13-Jun,1,0,,,,24.82520442
27,2,6,2,11.01,3.21,8.7,13-Jun,1,0,,,,29.70062877
27,2,7,3,9.89,3.14,6.38,14-Jun,0,0,,,,25.52841478
27,2,8,4,8.97,2.71,7.27,14-Jun,0,0,,,,17.24643296
27,2,9,5,8.54,2.82,5.33,14-Jun,0,0,,,,17.77969666
27,2,10,6,8.38,2.79,4.97,14-Jun,0,0,,,,17.07735809
7,1,1,1,10.53,5.22,8.41,12-Jun,1,4,0,0,,75.11689659
7,1,2,2,10.34,4,9.51,12-Jun,1,1,0,0,,43.31205413
7,1,3,3,11.91,2.71,8.32,13-Jun,0,0,,,,22.89910999
7,1,4,4,9.6,2.79,7.55,13-Jun,0,0,,,,19.56356058
7,1,5,5,7.91,2.68,4.43,14-Jun,0,0,,,,14.87353951
7,2,6,1,11.78,2.88,8.37,13-Jun,0,0,,,,25.57988135
7,2,7,2,10.14,2.96,7.21,13-Jun,1,8,0,1,,23.25892493
7,2,8,3,10.7,3.35,9.35,13-Jun,0,0,,,,31.43704028
7,2,9,4,9.77,3.43,9.15,13-Jun,0,0,,,,30.09200073
7,2,10,5,9.24,3.06,5.36,14-Jun,0,0,,,,22.65077594
7,2,11,6,8.4,3.11,6.58,14-Jun,0,0,,,,21.27004085
7,2,12,7,6.72,2.82,4.45,14-Jun,0,0,,,,13.99058098
7,3,13,1,9.41,2.51,4.89,14-Jun,0,0,,,,15.52048635
7,3,14,2,8.96,2.32,4.82,14-Jun,0,0,,,,12.6256062
7,3,15,3,8.85,2.64,5.6,14-Jun,0,0,,,,16.14802393
7,3,16,4,8.76,2.67,5.7,15-Jun,0,0,,,pierced tube,16.34913909
7,3,17,5,7.38,2.79,4.4,15-Jun,1,0,2,4,pierced tube,15.03948719
7,3,18,6,7.24,2.69,3.99,15-Jun,1,2,2,3,,13.71549184
8,1,1,1,10.45,4.22,7.45,12-Jun,1,0,,,,48.72024372
8,1,2,2,10.26,4.89,8.11,12-Jun,0,0,,,,64.22932217
8,1,3,3,11.18,4.71,9.58,12-Jun,0,0,,,,64.93096803
8,1,4,4,10.67,4.24,7.57,12-Jun,1,0,,,chewed fruit,50.21857585
8,2,5,1,10.41,3.49,7.09,12-Jun,1,0,,,,33.19478371
8,2,6,2,10.67,4.08,8.76,12-Jun,0,0,,,,46.50000562
8,2,7,3,8.07,4.21,7.61,12-Jun,1,0,,,,37.4460477
8,2,8,4,8.21,3.09,7.15,13-Jun,0,0,,,,20.52241076
8,2,9,5,8.42,3.38,7.58,13-Jun,0,0,,,,25.18336453
8,2,10,6,7.2,3.11,7.58,13-Jun,0,0,,,,18.23146358
8,2,11,7,8.45,2.41,5.33,14-Jun,0,0,,,,12.848696
8,2,12,8,8.42,3.13,4.71,14-Jun,0,0,,,,21.59578655
8,3,13,1,9.84,3.34,8.66,13-Jun,0,0,,,pierced tube,28.73798355
8,3,14,2,7.98,2.71,6.6,14-Jun,0,0,,,pierced tube,15.34298049
8,3,15,3,7.75,2.37,4.58,14-Jun,0,0,,,,11.39637298
8,3,16,4,7.63,2.82,4.29,15-Jun,0,0,,,,15.88513882
8,3,17,5,5.12,2.19,3.88,16-Jun,0,0,,,,6.428748714
32,1,1,1,9.83,3.27,6.08,14-Jun,0,0,,,,27.5180264
32,1,2,2,8.54,2.59,5.27,14-Jun,1,0,,,,14.99773441
32,1,3,3,,,,15-Jun,0,0,,,aborted,0
32,1,4,4,,,,16-Jun,0,0,,,aborted,0
32,2,5,1,,,,15-Jun,0,0,,,aborted,0
32,2,6,2,8.56,3.03,5.34,15-Jun,0,0,,,,20.57440486
32,2,7,3,7.43,1.96,4.7,16-Jun,1,5,0,1,,7.472556652
32,2,8,4,,,,16-Jun,0,0,,,aborted,0
32,3,9,1,8.89,2.86,5.06,16-Jun,0,0,,,,19.0371568
32,3,10,2,9,2.88,4.29,16-Jun,0,0,,,,19.54320307
32,3,11,3,8.62,2.24,4.16,16-Jun,0,0,,,,11.32326216
32,3,12,4,8.92,2.84,5.06,17-Jun,0,0,,,,18.83518084
32,3,13,5,8.21,2.19,4.99,17-Jun,0,0,,,,10.30859901
32,3,14,6,8.12,2.08,3.95,17-Jun,0,0,,,,9.197101067
32,4,15,1,9.71,3.13,4.06,17-Jun,0,0,,,,24.90440468
32,4,16,2,9.22,2.62,3.75,17-Jun,0,0,,,,16.56920852
32,4,17,3,8.88,2.56,4.32,17-Jun,0,0,,,,15.23565593
32,4,18,4,8.97,2.74,3.76,18-Jun,1,7,0,1,,17.63038631
32,4,19,5,8.29,2.62,4.04,18-Jun,0,0,,,,14.89791092
32,4,20,6,8.28,2.71,4.18,18-Jun,0,0,,,,15.91978427
32,4,21,7,8.07,2.23,3.63,19-Jun,0,0,,,,10.50634168
32,5,22,1,9.43,2.75,3.1,19-Jun,0,0,,,,18.67004395
32,5,23,2,9.08,2.56,3.08,19-Jun,0,0,,,,15.57880133
32,5,24,3,9.17,2.54,3.1,19-Jun,0,0,,,,15.48834553
32,5,25,4,8.48,2.32,3.36,19-Jun,1,3,3,0,,11.94923444
