,b5.std_FL,FL,adj.fl,pred.fl
1,1.010226715,9,1.259964957,1.54868631
2,0.996757026,8.88,0.905615955,1.590655169
3,0.955225483,8.51,1.282750684,1.72005915
4,0.936143423,8.34,1.194234126,1.779515033
5,1.062982999,9.47,2.525236706,1.384308281
6,0.958592905,8.54,2.874985539,1.709566935
7,0.92716363,8.26,2.834844443,1.807494272
8,0.96532775,8.6,2.942311318,1.688582506
9,0.952980535,8.49,3.747660058,1.72705396
10,0.977674966,8.71,2.700918623,1.650111052
11,0.82389601,7.34,2.699083491,2.129255522
12,0.922673733,8.22,1.38674178,1.821483892
13,0.91369394,8.14,1.516328212,1.849463131
14,0.901346725,8.03,1.64706497,1.887934585
15,0.855325286,7.62,1.726237932,2.031328185
16,0.868794975,7.74,1.674673727,1.989359326
17,1.141556188,10.17,1.166157193,1.139489938
18,1.121351654,9.99,1.186944312,1.202443226
19,0.964205276,8.59,0.846501777,1.692079911
20,0.94624569,8.43,1.273182019,1.748038389
21,0.926041156,8.25,1.575705064,1.810991677
22,0.880019717,7.84,1.258995145,1.954385278
23,1.034921146,9.22,1.300371157,1.471743403
24,0.990022181,8.82,1.083862834,1.611639598
25,0.981042388,8.74,1.32545747,1.639618838
26,0.956347957,8.52,1.424246831,1.716561745
27,0.928286104,8.27,1.911109117,1.803996867
28,1.107881965,9.87,1.222570294,1.244412085
29,1.104514542,9.84,0.812822346,1.2549043
30,1.08206506,9.64,1.397101399,1.324852398
31,1.043900939,9.3,1.001279039,1.443764164
32,0.957470431,8.53,1.348283052,1.71306434
33,0.854202812,7.61,1.064449396,2.03482559
34,1.058493103,9.43,1.259326483,1.3982979
35,1.019206508,9.08,1.425885876,1.520707071
36,1.029308776,9.17,1.431819183,1.489230427
37,0.951858061,8.48,1.476098278,1.730551365
38,0.932776001,8.31,1.454181265,1.790007248
39,1.023696405,9.12,1.956454551,1.506717452
40,0.983287336,8.76,1.773266025,1.632624028
41,0.918183837,8.18,1.577706665,1.835473511
42,0.909204044,8.1,2.002752338,1.86345275
43,0.880019717,7.84,2.035608295,1.954385278
44,0.860937656,7.67,2.559261294,2.013841161
45,0.831753329,7.41,2.89165336,2.104773688
