FL.arg,FL.vd,value,se,x
0,5,2.65836509996609,0.650308625230388,0
0.0208333333333333,5,0.611885247221726,0.324966068621096,0.104166666666667
0.0416666666666667,5,-1.45412324755462,0.640182635970062,0.208333333333333
0.0625,5,-1.46465730946358,0.307229265241882,0.3125
0.0833333333333333,5,-1.77813383048253,0.48425258547295,0.416666666666667
0.104166666666667,5,-0.980724927471648,0.346180432221063,0.520833333333333
0.125,5,1.03563522934835,0.279773753922217,0.625
0.145833333333333,5,0.899200916328293,0.247109133738346,0.729166666666667
0.166666666666667,5,-0.394437669408863,0.337945150318474,0.833333333333333
0.1875,5,0.488102596987036,0.473762969636366,0.9375
0.208333333333333,5,2.5722079394115,0.847672590503024,1.04166666666667
0.229166666666667,5,2.63234740198894,0.96669378196871,1.14583333333333
0.25,5,0.669413736884197,0.624253744056329,1.25
0.270833333333333,5,-1.14275165409841,0.546295323966263,1.35416666666667
0.291666666666667,5,-2.40752961288159,0.98275432166432,1.45833333333333
0.3125,5,-4.11872851002442,1.52617667299758,1.5625
0.333333333333333,5,-6.21849552488778,2.17343982211599,1.66666666666667
0.354166666666667,5,-7.72847549681986,2.89466904742888,1.77083333333333
0.375,5,-8.12996283170092,3.48720931852742,1.875
0.395833333333333,5,-7.77843030147925,3.87930191278423,1.97916666666667
0.416666666666667,5,-6.90048954963036,4.02431385235456,2.08333333333333
0.4375,5,-5.25062295080803,3.85717579039982,2.1875
0.458333333333333,5,-2.67418190350785,3.41811248914218,2.29166666666667
0.479166666666667,5,0.372691953574509,3.00070050660116,2.39583333333333
0.5,5,3.06192985255297,2.88753181615575,2.5
0.520833333333333,5,4.82777177224796,3.00973184610413,2.60416666666667
0.541666666666667,5,5.65184316447745,3.24915553787248,2.70833333333333
0.5625,5,5.88080520314873,3.56196332543145,2.8125
0.583333333333333,5,5.87665283999567,3.82925667946436,2.91666666666667
0.604166666666667,5,5.82192084675292,3.85386425651996,3.02083333333333
0.625,5,5.72720832422228,3.51336473739725,3.125
0.645833333333333,5,5.5047392686463,2.85275110004902,3.22916666666667
0.666666666666667,5,5.02247807722439,2.0612832308097,3.33333333333333
0.6875,5,4.1655214412231,1.52352721852637,3.4375
0.708333333333333,5,2.93414404940357,1.70419539466185,3.54166666666667
0.729166666666667,5,1.52266131300035,2.19093741424682,3.64583333333333
0.75,5,0.283485637603782,2.39342675697355,3.75
0.770833333333333,5,-0.442006116652357,2.27718085654989,3.85416666666667
0.791666666666667,5,-0.507137359217418,2.42616499543562,3.95833333333333
0.8125,5,0.00354003194138297,3.31876292953662,4.0625
0.833333333333333,5,0.871769627181941,4.59718954037866,4.16666666666667
0.854166666666667,5,1.85926756079344,5.88592755051886,4.27083333333333
0.875,5,2.78645130540701,7.08938179798306,4.375
0.895833333333333,5,3.54827335743377,8.26469078153419,4.47916666666667
0.916666666666667,5,4.09340300878793,9.49732886679018,4.58333333333333
0.9375,5,4.4082627574905,10.8401029645782,4.6875
0.958333333333333,5,4.50852521444589,12.3025704268436,4.79166666666667
0.979166666666667,5,4.42954710755147,13.8635288839002,4.89583333333333
1,5,4.21517288927684,15.4881269964249,5
0,5.44,2.65836509996609,0.650308625230388,0
0.0208333333333333,5.44,0.628782648702402,0.323554774188321,0.113333333333333
0.0416666666666667,5.44,-1.43932432038417,0.646498419370953,0.226666666666667
0.0625,5.44,-1.40690130078781,0.311799642550907,0.34
0.0833333333333333,5.44,-1.72588789448623,0.491661165919012,0.453333333333333
0.104166666666667,5.44,-0.950364496008067,0.343185598740915,0.566666666666667
0.125,5.44,1.17015899937052,0.298104631092176,0.68
0.145833333333333,5.44,0.99536355591204,0.260235841704469,0.793333333333333
0.166666666666667,5.44,-0.566935039292609,0.33593295290757,0.906666666666667
0.1875,5.44,0.231918119423666,0.431358844158631,1.02
0.208333333333333,5.44,2.53314226990382,0.807222811265372,1.13333333333333
0.229166666666667,5.44,2.71477731527116,0.965744537586704,1.24666666666667
0.25,5.44,0.672772943001618,0.631354811238218,1.36
0.270833333333333,5.44,-1.07667614128118,0.547606849559253,1.47333333333333
0.291666666666667,5.44,-2.07476245906054,0.926859924837659,1.58666666666667
0.3125,5.44,-3.64852027320764,1.41583194919679,1.7
0.333333333333333,5.44,-5.84969642114316,2.02810891144104,1.81333333333333
0.354166666666667,5.44,-7.50066087890558,2.76663281630206,1.92666666666667
0.375,5.44,-7.91306568299418,3.38636485509674,2.04
0.395833333333333,5.44,-7.55589761883918,3.80923090621094,2.15333333333333
0.416666666666667,5.44,-6.77174583111612,3.99788254031909,2.26666666666667
0.4375,5.44,-5.25194054391762,3.88308658128708,2.38
0.458333333333333,5.44,-2.69737841497147,3.47993993211962,2.49333333333333
0.479166666666667,5.44,0.453940025672304,3.09386596040394,2.60666666666667
0.5,5.44,3.24229095653398,3.03124142626794,2.72
0.520833333333333,5.44,4.99432588695713,3.16634063239427,2.83333333333333
0.541666666666667,5.44,5.7007392058033,3.38284729753458,2.94666666666667
0.5625,5.44,5.79719862065974,3.68769865936976,3.06
0.583333333333333,5.44,5.71486884043612,3.98761528441211,3.17333333333333
0.604166666666667,5.44,5.64299098588577,4.05521876692179,3.28666666666667
0.625,5.44,5.56973026904157,3.72607937080996,3.4
0.645833333333333,5.44,5.39316707342505,3.04130372706151,3.51333333333333
0.666666666666667,5.44,4.9675650537769,2.21024074704264,3.62666666666667
0.6875,5.44,4.13822952234937,1.63213047075636,3.74
0.708333333333333,5.44,2.84803294968162,1.85263433678511,3.85333333333333
0.729166666666667,5.44,1.26790373400715,2.46181548558453,3.96666666666667
