"b5.std_B","B","adj.b","pred.b"
0.752933316631174,3.92,1.41505898782918,1.70378034171738
0.720280596267067,3.75,0.929537160486219,1.61457637495468
0.645371414255292,3.36,0.972623514908539,1.40993198061671
0.683786379389536,3.56,0.929596916501333,1.51487782386695
0.868178212033905,4.52,3.15954629714966,2.0186178714681
0.770220050941584,4.01,2.91642457439921,1.75100597117999
0.824001002129525,4.29,2.92528032281919,1.89793015173033
0.829763246899662,4.32,3.16740084003149,1.91367202821786
0.580065973527078,3.02,3.25213014569414,1.2315240470913
0.848970729466784,4.42,3.01695252105287,1.96614494984298
0.81055576433254,4.22,2.43102707542239,1.86119910659274
0.61656019040461,3.21,0.896480486626455,1.33122259817903
0.578145225270366,3.01,0.893141835969845,1.22627675492879
0.57238298050023,2.98,0.969665263911426,1.21053487844125
0.570462232243517,2.97,0.900197332931432,1.20528758627874
0.574303728756942,2.99,0.901096571440857,1.21578217060377
0.812476512589252,4.23,1.89311365336015,1.86644639875526
0.895068687627876,4.66,2.07658104736399,2.09207996174327
0.818238757359389,4.26,1.03661014086439,1.88218827524279
0.860495219007057,4.48,1.52277233298011,1.99762870281806
0.779823792225145,4.06,1.54195581885487,1.77724243199255
0.718359848010355,3.74,0.913938950428968,1.60932908279217
0.841287736439935,4.38,1.7737835357876,1.94515578119294
0.908513925424861,4.73,1.60103424247237,2.12881100688086
0.799031274792267,4.16,1.51555398630185,1.82971535361767
0.777903043968433,4.05,1.47968022566756,1.77199513983004
0.635767672971732,3.31,1.49080776951667,1.38369551980415
0.85473297423692,4.45,1.96004503553845,1.98188682633052
0.9776608626665,5.09,1.87563157122257,2.31771352473129
0.802872771305691,4.18,1.9124589396899,1.8402099379427
0.950770387072529,4.95,1.80176630945497,2.24425143445612
0.829763246899662,4.32,1.54889074048624,1.91367202821786
0.83744623992651,4.36,0.964285003400011,1.93466119686791
0.595431959580776,3.1,1.13453096720336,1.2735023843914
0.591590463067351,3.08,1.16818660463089,1.26300780006637
0.595431959580776,3.1,1.21609114011269,1.2735023843914
0.645371414255292,3.36,1.15547889417984,1.40993198061671
0.5992734560942,3.12,0.948170985930033,1.28399696871642
0.781744540481857,4.07,2.23222682356697,1.78248972415506
0.875861205060754,4.56,2.18024903711367,2.03960704011815
0.797110526535555,4.15,1.56670121497133,1.82446806145516
0.710676854983507,3.7,1.72763950143129,1.58833991414212
0.710676854983507,3.7,1.66956293111867,1.58833991414212
0.762537057914735,3.97,2.27543693599986,1.73001680252994
0.610797945634473,3.18,2.10236039422648,1.31548072169149
