FD.arg,FD.vd,value,se,x,z,,
0.645833333,2,-0.450717374,1.053398339,1.291666667,-0.089346619,,
0.666666667,2,-0.239615625,1.080926501,1.333333333,0.12175513,,
0.6875,2,-0.013257435,1.121108473,1.375,0.348113319,,
0.708333333,2,0.228443297,1.175181439,1.416666667,0.589814052,,
0.729166667,2,0.485564101,1.243973136,1.458333333,0.846934856,,
0.75,2,0.758173934,1.328011159,1.5,1.119544689,,
0.770833333,2,1.046324469,1.427772107,1.541666667,1.407695224,,
0.791666667,2,1.350027694,1.544012471,1.583333333,1.711398449,,
0.8125,2,1.669288626,1.677409325,1.625,2.030659381,,
0.833333333,2,2.004114964,1.82840688,1.666666667,2.365485719,,
0.854166667,2,2.354517089,1.997201991,1.708333333,2.715887844,,
0.875,2,2.720508059,2.183760233,1.75,3.081878814,,
0.895833333,2,3.102103615,2.387846577,1.791666667,3.46347437,,
0.916666667,2,3.499322175,2.60905943,1.833333333,3.86069293,,
0.9375,2,3.912184836,2.846861635,1.875,4.273555591,,
0.958333333,2,4.340715373,3.100605906,1.916666667,4.702086128,,
0.979166667,2,4.784940237,3.369554442,1.958333333,5.146310992,,
1,2,5.244888558,3.652893653,2,5.606259313,,
0,3,-0.957550046,0.662046422,0,-0.596179291,,
0.020833333,3,-1.023682549,0.646724647,0.0625,-0.662311794,,
0.041666667,3,-1.082165459,0.648722585,0.125,-0.720794704,,
0.0625,3,-1.133736335,0.665746318,0.1875,-0.77236558,,
0.083333333,3,-1.179105841,0.694223048,0.25,-0.817735087,,
0.104166667,3,-1.218957745,0.730164553,0.3125,-0.85758699,,
0.125,3,-1.253948914,0.769832093,0.375,-0.892578159,,
0.145833333,3,-1.284709321,0.810060852,0.4375,-0.923338566,,
0.166666667,3,-1.311842035,0.848336624,0.5,-0.950471281,,
0.1875,3,-1.335923227,0.882760115,0.5625,-0.974552472,,
0.208333333,3,-1.35750216,0.911989116,0.625,-0.996131405,,
0.229166667,3,-1.377101191,0.935202341,0.6875,-1.015730436,,
0.25,3,-1.395215769,0.952103053,0.75,-1.033845015,,
0.270833333,3,-1.412108544,0.963126967,0.8125,-1.050737789,,
0.291666667,3,-1.427208349,0.96979332,0.875,-1.065837594,,
0.3125,3,-1.439756937,0.973826549,0.9375,-1.078386182,,
0.333333333,3,-1.449019021,0.976780777,1,-1.087648266,,
0.354166667,3,-1.454282272,0.979903228,1.0625,-1.092911517,,
0.375,3,-1.454857328,0.984041229,1.125,-1.093486573,,
0.395833333,3,-1.450077791,0.989597646,1.1875,-1.088707037,,
0.416666667,3,-1.439300232,0.996539518,1.25,-1.077929477,,
0.4375,3,-1.42190419,1.004459039,1.3125,-1.060533435,,
0.458333333,3,-1.397292176,1.01267929,1.375,-1.035921422,,
0.479166667,3,-1.364889674,1.020393681,1.4375,-1.003518919,,
0.5,3,-1.324145139,1.026829958,1.5,-0.962774384,,
0.520833333,3,-1.274589039,1.031601801,1.5625,-0.913218284,,
0.541666667,3,-1.216005209,1.035314952,1.625,-0.854634454,,
0.5625,3,-1.148243685,1.038949136,1.6875,-0.78687293,,
0.583333333,3,-1.071160234,1.043558586,1.75,-0.709789479,,
0.604166667,3,-0.984616351,1.050175496,1.8125,-0.623245597,,
0.625,3,-0.888479258,1.05974061,1.875,-0.527108503,,
0.645833333,3,-0.782621902,1.073060899,1.9375,-0.421251147,,
0.666666667,3,-0.666922956,1.090796372,2,-0.305552201,,
0.6875,3,-0.541266815,1.113477431,2.0625,-0.17989606,,
0.708333333,3,-0.405543599,1.141551544,2.125,-0.044172844,,
0.729166667,3,-0.259649149,1.175454621,2.1875,0.101721606,,
0.75,3,-0.103485025,1.215699555,2.25,0.25788573,,
0.770833333,3,0.06302699,1.263058264,2.3125,0.424397745,,
0.791666667,3,0.239903896,1.318815276,2.375,0.60127465,,
0.8125,3,0.427149354,1.384308202,2.4375,0.788520108,,
0.833333333,3,0.624768816,1.460676731,2.5,0.986139571,,
0.854166667,3,0.832769524,1.548760146,2.5625,1.194140279,,
0.875,3,1.051160508,1.649050606,2.625,1.412531262,,
0.895833333,3,1.279952585,1.761695423,2.6875,1.64132334,,
0.916666667,3,1.519158362,1.886534355,2.75,1.880529117,,
0.9375,3,1.768792234,2.023155513,2.8125,2.130162989,,
0.958333333,3,2.028870382,2.170955761,2.875,2.390241137,,
0.979166667,3,2.299410775,2.329196118,2.9375,2.66078153,,
1,3,2.580433168,2.497047523,3,2.941803923,,
0,4,-0.957550046,0.662046422,0,-0.596179291,,
0.020833333,4,-0.992644639,0.6452744,0.083333333,-0.631273884,,
0.041666667,4,-1.022196514,0.645402602,0.166666667,-0.660825759,,
0.0625,4,-1.046953315,0.660782045,0.25,-0.68558256,,
0.083333333,4,-1.067642514,0.688238913,0.333333333,-0.70627176,,
0.104166667,4,-1.084971413,0.723902974,0.416666667,-0.723600658,,
0.125,4,-1.099627134,0.763946223,0.5,-0.73825638,,
0.145833333,4,-1.112276632,0.805003231,0.583333333,-0.750905877,,
0.166666667,4,-1.123566682,0.844316881,0.666666667,-0.762195927,,
0.1875,4,-1.134123887,0.879740667,0.75,-0.772753132,,
0.208333333,4,-1.144554673,0.909699939,0.833333333,-0.783183919,,
0.229166667,4,-1.15544529,0.933167491,0.916666667,-0.794074535,,
0.25,4,-1.167361809,0.94967952,1,-0.805991054,,
0.270833333,4,-1.180637488,0.959596863,1.083333333,-0.819266733,,
0.291666667,4,-1.194747338,0.964574025,1.166666667,-0.833376583,,
0.3125,4,-1.208967834,0.966565642,1.25,-0.847597079,,
0.333333333,4,-1.222592666,0.967402278,1.333333333,-0.861221911,,
0.354166667,4,-1.234932737,0.9686329,1.416666667,-0.873561983,,
0.375,4,-1.245316172,0.971403441,1.5,-0.883945417,,
0.395833333,4,-1.253088312,0.976381331,1.583333333,-0.891717558,,
0.416666667,4,-1.257611726,0.983738149,1.666666667,-0.896240972,,
0.4375,4,-1.258266203,0.993195935,1.75,-0.896895448,,
0.458333333,4,-1.254448757,1.004131959,1.833333333,-0.893078002,,
0.479166667,4,-1.245573627,1.015728231,1.916666667,-0.884202872,,
0.5,4,-1.231072279,1.027150289,2,-0.869701524,,
0.520833333,4,-1.210456932,1.037924767,2.083333333,-0.849086177,,
0.541666667,4,-1.183506821,1.048589505,2.166666667,-0.822136066,,
0.5625,4,-1.150070085,1.060016339,2.25,-0.78869933,,
0.583333333,4,-1.10999916,1.073074213,2.333333333,-0.748628405,,
0.604166667,4,-1.063150784,1.088520293,2.416666667,-0.701780029,,
0.625,4,-1.009385991,1.106932365,2.5,-0.648015236,,
0.645833333,4,-0.948570113,1.128681742,2.583333333,-0.587199359,,
0.666666667,4,-0.880572779,1.153944991,2.666666667,-0.519202024,,
0.6875,4,-0.805267912,1.18274999,2.75,-0.443897158,,
0.708333333,4,-0.722533733,1.215049066,2.833333333,-0.361162978,,
0.729166667,4,-0.632252754,1.250810599,2.916666667,-0.270881999,,
0.75,4,-0.534311782,1.290120684,3,-0.172941027,,
0.770833333,4,-0.428619312,1.333378089,3.083333333,-0.067248557,,
0.791666667,4,-0.315155836,1.381571288,3.166666667,0.046214919,,
0.8125,4,-0.193918368,1.435823934,3.25,0.167452387,,
0.833333333,4,-0.06490258,1.497157458,3.333333333,0.296468175,,
0.854166667,4,0.071897201,1.566391149,3.416666667,0.433267955,,
0.875,4,0.216487987,1.644080643,3.5,0.577858742,,
0.895833333,4,0.368878136,1.730493395,3.583333333,0.73024889,,
0.916666667,4,0.529077344,1.825615605,3.666666667,0.890448099,,
0.9375,4,0.697096653,1.929181894,3.75,1.058467408,,
0.958333333,4,0.872948444,2.040717947,3.833333333,1.234319198,,
0.979166667,4,1.056646438,2.159587441,3.916666667,1.418017193,,
1,4,1.248205702,2.28503693,4,1.609576456,,
0,5,-0.957550046,0.662046422,0,-0.596179291,,
0.020833333,5,-0.974021893,0.644578476,0.104166667,-0.612651138,,
0.041666667,5,-0.986215146,0.644046889,0.208333333,-0.624844392,,
0.0625,5,-0.994883503,0.659081311,0.3125,-0.633512748,,
0.083333333,5,-1.00076452,0.686642123,0.416666667,-0.639393765,,
0.104166667,5,-1.004579619,0.722850696,0.520833333,-0.643208864,,
0.125,5,-1.007034079,0.763777759,0.625,-0.645663324,,
0.145833333,5,-1.008817042,0.805915051,0.729166667,-0.647446287,,
0.166666667,5,-1.01060151,0.846352912,0.833333333,-0.649230755,,
0.1875,5,-1.013044345,0.882797187,0.9375,-0.651673591,,
0.208333333,5,-1.016786271,0.91353623,1.041666667,-0.655415516,,
0.229166667,5,-1.022451867,0.937419922,1.145833333,-0.661081113,,
0.25,5,-1.030649576,0.953880742,1.25,-0.669278821,,
0.270833333,5,-1.041755012,0.963226093,1.354166667,-0.680384257,,
0.291666667,5,-1.055270881,0.96718159,1.458333333,-0.693900126,,
0.3125,5,-1.070494485,0.967834704,1.5625,-0.70912373,,
0.333333333,5,-1.086736898,0.967185788,1.666666667,-0.725366143,,
0.354166667,5,-1.103322967,0.966981047,1.770833333,-0.741952212,,
0.375,5,-1.119591311,0.968574586,1.875,-0.758220557,,
0.395833333,5,-1.134894324,0.972831737,1.979166667,-0.773523569,,
0.416666667,5,-1.148598174,0.980090791,2.083333333,-0.787227419,,
