"flw.size.arg","flw.size.vd","value","se","x"
"1",0,1,-0.0398936693099402,0.0472272442479411,0
"2",0.0208333333333333,1,-0.0838065036215915,0.0416489812098077,0.0208333333333333
"3",0.0416666666666667,1,-0.124180120836824,0.0492434588681902,0.0416666666666667
"4",0.0625,1,-0.161120838247064,0.0628293006006941,0.0625
"5",0.0833333333333333,1,-0.194721575129975,0.0774889497106462,0.0833333333333333
"6",0.104166666666667,1,-0.225061801127486,0.0913961702626382,0.104166666666667
"7",0.125,1,-0.252207516556858,0.103941040915586,0.125
"8",0.145833333333333,1,-0.27621126672866,0.114953629750994,0.145833333333333
"9",0.166666666666667,1,-0.297112144211668,0.12444146890298,0.166666666666667
"10",0.1875,1,-0.314935802583827,0.132489845787236,0.1875
"11",0.208333333333333,1,-0.329694469803468,0.139217472401036,0.208333333333333
"12",0.229166666666667,1,-0.341386941173515,0.144753889227681,0.229166666666667
"13",0.25,1,-0.349998578399369,0.149228376600299,0.25
"14",0.270833333333333,1,-0.355475544869625,0.152764432563201,0.270833333333333
"15",0.291666666666667,1,-0.357655617026658,0.155469592253322,0.291666666666667
"16",0.3125,1,-0.356359662458845,0.15744156533695,0.3125
"17",0.333333333333333,1,-0.351419433610013,0.158772079570446,0.333333333333333
"18",0.354166666666667,1,-0.342677570826072,0.159551242416544,0.354166666666667
"19",0.375,1,-0.329987605163678,0.159873420048667,0.375
"20",0.395833333333333,1,-0.313213960960923,0.159843892410701,0.395833333333333
"21",0.416666666666667,1,-0.292231958170058,0.159586849970424,0.416666666666667
"22",0.4375,1,-0.266927814452247,0.159256474700735,0.4375
"23",0.458333333333333,1,-0.23719864703435,0.159053889242003,0.458333333333333
"24",0.479166666666667,1,-0.202952474327732,0.159253374740226,0.479166666666667
"25",0.5,1,-0.164108217309108,0.160240683924562,0.5
"26",0.520833333333333,1,-0.12060224420596,0.162608603049963,0.520833333333333
"27",0.541666666666667,1,-0.072405410646156,0.167318692125213,0.541666666666667
"28",0.5625,1,-0.0194988929190396,0.175464972872377,0.5625
"29",0.583333333333333,1,0.0381330066129081,0.188037698253944,0.583333333333333
"30",0.604166666666667,1,0.100502862626362,0.205743383045347,0.604166666666667
"31",0.625,1,0.167620129636867,0.228924210288464,0.625
"32",0.645833333333333,1,0.239491144485975,0.257600801700513,0.645833333333333
"33",0.666666666666667,1,0.316119128515807,0.29158531724125,0.666666666666667
"34",0.6875,1,0.397504189431033,0.330596625185941,0.6875
"35",0.708333333333333,1,0.483643322848278,0.3743432373989,0.708333333333333
"36",0.729166666666667,1,0.574530413532952,0.422572908471929,0.729166666666667
"37",0.75,1,0.670156236323492,0.475100711245299,0.75
"38",0.770833333333333,1,0.770510906819663,0.531850092122445,0.770833333333333
"39",0.791666666666667,1,0.875592461164275,0.592917820109149,0.791666666666667
"40",0.8125,1,0.985401656709339,0.65846205347269,0.8125
"41",0.833333333333333,1,1.09993982855295,0.728646304797442,0.833333333333333
"42",0.854166666666667,1,1.21920888890064,0.803618442002139,0.854166666666667
"43",0.875,1,1.34321132662616,0.883496855387971,0.875
"44",0.895833333333333,1,1.47195020693843,0.968361734436222,0.895833333333333
"45",0.916666666666667,1,1.60542917057744,1.05825001954984,0.916666666666667
"46",0.9375,1,1.743652433658,1.15315300004139,0.9375
"47",0.958333333333333,1,1.88662478766965,1.25301581031108,0.958333333333333
"48",0.979166666666667,1,2.03435159947672,1.3577382789656,0.979166666666667
"49",1,1,2.1868388113183,1.46717674173222,1
"50",0,2,-0.0398936693099402,0.0472272442479411,0
"51",0.0208333333333333,2,-0.0568940112460985,0.0379119072469345,0.0416666666666667
"52",0.0416666666666667,2,-0.0721879730447979,0.034439664810767,0.0833333333333333
"53",0.0625,2,-0.0858919293541688,0.037005717973375,0.125
"54",0.0833333333333333,2,-0.0981155421545637,0.0433708738576786,0.166666666666667
"55",0.104166666666667,2,-0.108961762343421,0.0511717088183878,0.208333333333333
"56",0.125,2,-0.118526827691758,0.059045749473484,0.25
"57",0.145833333333333,2,-0.126900259510707,0.0663229881066559,0.291666666666667
"58",0.166666666666667,2,-0.134164861531743,0.0726785041817159,0.333333333333333
"59",0.1875,2,-0.140396715794093,0.0779643218864328,0.375
"60",0.208333333333333,2,-0.145665183308228,0.082140358093304,0.416666666666667
"61",0.229166666666667,2,-0.150032905736735,0.0852510471256079,0.458333333333333
"62",0.25,2,-0.153555805425799,0.0874255619414945,0.5
"63",0.270833333333333,2,-0.156250737529903,0.0889081858429652,0.541666666666667
"64",0.291666666666667,2,-0.158002496836455,0.0900727756500482,0.583333333333333
"65",0.3125,2,-0.158667950890852,0.0912753371408204,0.625
"66",0.333333333333333,2,-0.158109402700058,0.0927891147771581,0.666666666666667
"67",0.354166666666667,2,-0.156194595874377,0.0947766534959029,0.708333333333333
"68",0.375,2,-0.152796713732888,0.0972791239023754,0.75
"69",0.395833333333333,2,-0.14779437886215,0.100225606038471,0.791666666666667
"70",0.416666666666667,2,-0.141071654015598,0.103458988940135,0.833333333333333
"71",0.4375,2,-0.132518042985182,0.106770873603174,0.875
"72",0.458333333333333,2,-0.12202849144326,0.109938307450759,0.916666666666667
"73",0.479166666666667,2,-0.109503387754755,0.112759088221975,0.958333333333333
"74",0.5,2,-0.0948485637595525,0.115086918664523,1
"75",0.520833333333333,2,-0.0779858804259582,0.116911390173891,1.04166666666667
"76",0.541666666666667,2,-0.0588836927023456,0.1184985107948,1.08333333333333
"77",0.5625,2,-0.0375228361369026,0.120236236644311,1.125
