"FL.arg","FL.vd","value","se","x"
"1",0,1,-0.268202069586484,0.329013504433671,0
"2",0.0208333333333333,1,-0.361404789650445,0.327496279578898,0.0208333333333333
"3",0.0416666666666667,1,-0.447268258601888,0.335256270835328,0.0416666666666667
"4",0.0625,1,-0.525939899999056,0.349335397324902,0.0625
"5",0.0833333333333333,1,-0.597548906413968,0.367056106845072,0.0833333333333333
"6",0.104166666666667,1,-0.662206173881391,0.386329217831315,0.104166666666667
"7",0.125,1,-0.720004209065095,0.40567135887738,0.125
"8",0.145833333333333,1,-0.771017167214404,0.424095200673625,0.145833333333333
"9",0.166666666666667,1,-0.815300879796527,0.440979456716245,0.166666666666667
"10",0.1875,1,-0.852892966470569,0.455959181633578,0.1875
"11",0.208333333333333,1,-0.88381291097566,0.468844156639868,0.208333333333333
"12",0.229166666666667,1,-0.908062001661857,0.479561236135505,0.229166666666667
"13",0.25,1,-0.925623331607978,0.488115901339702,0.25
"14",0.270833333333333,1,-0.936428608939222,0.494560761090645,0.270833333333333
"15",0.291666666666667,1,-0.940269958134211,0.498955739402481,0.291666666666667
"16",0.3125,1,-0.936919414044262,0.5013830713417,0.3125
"17",0.333333333333333,1,-0.926164951448499,0.501948017827801,0.333333333333333
"18",0.354166666666667,1,-0.907810475449475,0.500778593405303,0.354166666666667
"19",0.375,1,-0.881675812448031,0.498030403561073,0.375
"20",0.395833333333333,1,-0.847596701697405,0.493894719628942,0.395833333333333
"21",0.416666666666667,1,-0.805424787436582,0.488609556725214,0.416666666666667
"22",0.4375,1,-0.755027611602879,0.482474971089003,0.4375
"23",0.458333333333333,1,-0.69628860712378,0.475875169937485,0.458333333333333
"24",0.479166666666667,1,-0.629107091788006,0.469311241534485,0.479166666666667
"25",0.5,1,-0.553398262695832,0.463448916682394,0.5
"26",0.520833333333333,1,-0.469096412601755,0.459242879623345,0.520833333333333
"27",0.541666666666667,1,-0.376160461609073,0.458184814161581,0.541666666666667
"28",0.5625,1,-0.274557068292202,0.462107059591856,0.5625
"29",0.583333333333333,1,-0.164256378299381,0.472955006188722,0.583333333333333
"30",0.604166666666667,1,-0.0452320263522787,0.492525620291446,0.604166666666667
"31",0.625,1,0.0825388619506789,0.522194108462079,0.625
"32",0.645833333333333,1,0.219075668527244,0.56274127669859,0.645833333333333
"33",0.666666666666667,1,0.364394281400562,0.614351021875711,0.666666666666667
"34",0.6875,1,0.518507093484649,0.676751973512905,0.6875
"35",0.708333333333333,1,0.681423001566149,0.749416429354177,0.708333333333333
"36",0.729166666666667,1,0.853147405482362,0.831740326378176,0.729166666666667
"37",0.75,1,1.03368220749554,0.923172851910145,0.75
"38",0.770833333333333,1,1.22302666131646,1.02333039533056,0.770833333333333
"39",0.791666666666667,1,1.42118147476206,1.13212042171988,0.791666666666667
"40",0.8125,1,1.62814898196254,1.24960135764019,0.8125
"41",0.833333333333333,1,1.84393268292853,1.37589309474226,0.833333333333333
"42",0.854166666666667,1,2.06853724390673,1.51113341197465,0.854166666666667
"43",0.875,1,2.30196849823158,1.65544659883974,0.875
"44",0.895833333333333,1,2.54423344759074,1.80892165138905,0.895833333333333
"45",0.916666666666667,1,2.79534025935479,1.9715978203438,0.916666666666667
"46",0.9375,1,3.055298265872,2.14345573871523,0.9375
"47",0.958333333333333,1,3.32411796446831,2.32441276018969,0.958333333333333
"48",0.979166666666667,1,3.60181101744735,2.51432146297849,0.979166666666667
"49",1,1,3.88839025209043,2.71297053924819,1
"50",0,2,-0.268202069586484,0.329013504433671,0
"51",0.0208333333333333,2,-0.307585115224523,0.32170196982293,0.0416666666666667
"52",0.0416666666666667,2,-0.34338585467333,0.319145046494812,0.0833333333333333
"53",0.0625,2,-0.375765306603101,0.320707691527654,0.125
"54",0.0833333333333333,2,-0.404875375356999,0.32554792720444,0.166666666666667
"55",0.104166666666667,2,-0.430858846157539,0.332736341860082,0.208333333333333
"56",0.125,2,-0.453849380980359,0.341362497202392,0.25
"57",0.145833333333333,2,-0.473971517677994,0.350607300445274,0.291666666666667
"58",0.166666666666667,2,-0.491340665303528,0.359780900837589,0.333333333333333
"59",0.1875,2,-0.50606308440326,0.368336365896757,0.375
"60",0.208333333333333,2,-0.518235888923004,0.375870695119101,0.416666666666667
"61",0.229166666666667,2,-0.527947056207408,0.382122177387838,0.458333333333333
"62",0.25,2,-0.535275430866693,0.386969974972048,0.5
"63",0.270833333333333,2,-0.540248283347734,0.390461508140506,0.541666666666667
"64",0.291666666666667,2,-0.542719673735559,0.392850671221263,0.583333333333333
"65",0.3125,2,-0.542507765102612,0.394443935940922,0.625
"66",0.333333333333333,2,-0.539438700076171,0.395525737351239,0.666666666666667
"67",0.354166666666667,2,-0.533346612465243,0.396327737601426,0.708333333333333
"68",0.375,2,-0.524073612722906,0.397010487752543,0.75
"69",0.395833333333333,2,-0.511469779489394,0.397655716240284,0.791666666666667
"70",0.416666666666667,2,-0.495393157116746,0.39826829551861,0.833333333333333
"71",0.4375,2,-0.475709753273573,0.398787115489701,0.875
"72",0.458333333333333,2,-0.452293536622228,0.399104149144486,0.916666666666667
"73",0.479166666666667,2,-0.425026434568383,0.399091234592557,0.958333333333333
"74",0.5,2,-0.393798331083015,0.398634711202578,1
"75",0.520833333333333,2,-0.358516746495871,0.397718632146019,1.04166666666667
"76",0.541666666666667,2,-0.31913381002369,0.396578986343256,1.08333333333333
"77",0.5625,2,-0.275613588845886,0.395575815081118,1.125
"78",0.583333333333333,2,-0.227921889059999,0.395133311195732,1.16666666666667
