B.1.arg,B.1.vd,value,se,x
1,0,2.04,-0.594490961682086,0.668118177754111,0
2,0.111111111111111,2.04,-0.183537674264148,1.23650299922079,0.226666666666667
3,0.222222222222222,2.04,0.0347073480462629,1.77853206294199,0.453333333333333
4,0.333333333333333,2.04,0.0602625933493736,2.1923441066589,0.68
5,0.444444444444444,2.04,-0.106882929488835,2.50184040136557,0.906666666666667
6,0.555555555555556,2.04,-0.466740926849194,2.76855246450901,1.13333333333333
7,0.666666666666667,2.04,-1.01931673519272,3.08370178238816,1.36
8,0.777777777777778,2.04,-1.76461227350974,3.55251504858458,1.58666666666667
9,0.888888888888889,2.04,-2.70262668114905,4.26249350922991,1.81333333333333
10,1,2.04,-3.83335781002605,5.26000932483083,2.04
11,0,2.0863,-0.594490961682086,0.668118177754111,0
12,0.111111111111111,2.0863,-0.210827227661263,1.19500182491681,0.231811111111111
13,0.222222222222222,2.0863,-0.0155955419474971,1.69465492457083,0.463622222222222
14,0.333333333333333,2.0863,-0.00877754721604129,2.06822787575047,0.695433333333333
15,0.444444444444444,2.0863,-0.190383128010302,2.33949420882514,0.927244444444444
16,0.555555555555556,2.0863,-0.560424041045925,2.57184680275218,1.15905555555556
17,0.666666666666667,2.0863,-1.11890565632272,2.86079707702438,1.39086666666667
18,0.777777777777778,2.0863,-1.86583004841387,3.31556214660902,1.62267777777778
19,0.888888888888889,2.0863,-2.80119658006675,4.02225584396595,1.85448888888889
20,1,2.0863,-3.92500320681547,5.02057477763123,2.0863
21,0,2.1326,-0.594490961682086,0.668118177754111,0
22,0.111111111111111,2.1326,-0.236931839259773,1.15570798467127,0.236955555555556
23,0.222222222222222,2.1326,-0.0637141960374818,1.61517962031528,0.473911111111111
24,0.333333333333333,2.1326,-0.074819872065254,1.95059345037702,0.710866666666667
25,0.444444444444444,2.1326,-0.270257662639196,2.18563179446771,0.947822222222222
26,0.555555555555556,2.1326,-0.650039357025649,2.38579187961211,1.18477777777778
27,0.666666666666667,2.1326,-1.21417035701387,2.65142168450699,1.42173333333333
28,0.777777777777778,2.1326,-1.96265287476427,3.09588913968475,1.65868888888889
29,0.888888888888889,2.1326,-2.89548647690415,3.80291964109937,1.89564444444444
30,1,2.1326,-4.01266925269862,4.80449614923288,2.1326
31,0,2.1789,-0.594490961682086,0.668118177754111,0
32,0.111111111111111,2.1789,-0.261927046531401,1.11849466912486,0.2421
33,0.222222222222222,2.1789,-0.109787855344311,1.53988606587091,0.4842
34,0.333333333333333,2.1789,-0.138055483187059,1.83915184373254,0.7263
35,0.444444444444444,2.1789,-0.34673766076525,2.03992067867821,0.9684
36,0.555555555555556,2.1789,-0.735846186743855,2.21006594160658,1.2105
37,0.666666666666667,2.1789,-1.3053864960631,2.4553768303292,1.4526
38,0.777777777777778,2.1789,-2.05536092248442,2.89342007207793,1.6947
39,0.888888888888889,2.1789,-2.98576921894868,3.60425469703244,1.9368
40,1,2.1789,-4.09660962239251,4.61114949176155,2.1789
41,0,2.2252,-0.594490961682086,0.668118177754111,0
42,0.111111111111111,2.2252,-0.285882100052501,1.08324580815534,0.247244444444444
43,0.222222222222222,2.2252,-0.153944172132175,1.46857776566677,0.494488888888889
44,0.333333333333333,2.2252,-0.198659577832841,1.733655137622,0.741733333333333
45,0.444444444444444,2.2252,-0.420035013426105,1.90209414377276,0.988977777777778
46,0.555555555555556,2.2252,-0.818082260028684,2.0444503051403,1.23622222222222
47,0.666666666666667,2.2252,-1.39280678946292,2.27261420202712,1.48346666666667
48,0.777777777777778,2.2252,-2.14421104286416,2.70822342101178,1.73071111111111
49,0.888888888888889,2.2252,-3.07229494364497,3.42609386430822,1.97795555555556
50,1,2.2252,-4.17705687765459,4.43991693790602,2.2252
51,0,2.2715,-0.594490961682086,0.668118177754111,0
52,0.111111111111111,2.2715,-0.30886060423786,1.0498549353135,0.252388888888889
53,0.222222222222222,2.2715,-0.196300390885832,1.40107976964083,0.504777777777778
54,0.333333333333333,2.2715,-0.256793069387844,1.63389470814591,0.757166666666667
55,0.444444444444444,2.2715,-0.490344335779845,1.77195230335921,1.00955555555556
56,0.555555555555556,2.2715,-0.896965924130622,1.88883690095546,1.26194444444444
57,0.666666666666667,2.2715,-1.47666334865112,2.10324524607265,1.51433333333333
58,0.777777777777778,2.2715,-2.22943914516725,2.54049628273152,1.76672222222222
59,0.888888888888889,2.2715,-3.15529339324864,3.26829549366804,2.01911111111111
60,1,2.2715,-4.25422461947106,4.29015705315276,2.2715
61,0,2.3178,-0.594490961682086,0.668118177754111,0
62,0.111111111111111,2.3178,-0.330921081278562,1.01822418303351,0.257533333333333
63,0.222222222222222,2.3178,-0.236964387830326,1.33723685408775,0.515066666666667
64,0.333333333333333,2.3178,-0.312604013982469,1.53969990013422,0.7726
65,0.444444444444444,2.3178,-0.557844692604934,1.64936449136929,1.03013333333333
66,0.555555555555556,2.3178,-0.972698079643445,1.74323862921797,1.28766666666667
67,0.666666666666667,2.3178,-1.55716973850341,1.94754944884416,1.5452
68,0.777777777777778,2.3178,-2.31126228837604,2.39053740650913,1.80273333333333
69,0.888888888888889,2.3178,-3.23497595202913,3.13069991642675,2.06026666666667
70,1,2.3178,-4.32830938611544,4.16117779692641,2.3178
71,0,2.3641,-0.594490961682086,0.668118177754111,0
72,0.111111111111111,2.3641,-0.352117468812169,0.988263390601036,0.262677777777778
73,0.222222222222222,2.3641,-0.276035588299677,1.27691187732388,0.525355555555556
74,0.333333333333333,2.3641,-0.366228869473546,1.45093703963889,0.788033333333333
