FL.arg,FL.vd,value,se,x
0,5,0.134893509097313,0.172513585941358,0
0.0208333333333333,5,-0.0933648695816679,0.131459173523496,0.104166666666667
0.0416666666666667,5,-0.255396527716814,0.132634823591874,0.208333333333333
0.0625,5,-0.353716944664769,0.145345754590689,0.3125
0.0833333333333333,5,-0.398784299377922,0.157860044289194,0.416666666666667
0.104166666666667,5,-0.403968113545933,0.16667563367864,0.520833333333333
0.125,5,-0.381238803627446,0.173913079335856,0.625
0.145833333333333,5,-0.340839949597623,0.182567319532746,0.729166666666667
0.166666666666667,5,-0.29118358304452,0.195232053445328,0.833333333333333
0.1875,5,-0.239240655144656,0.212093509771085,0.9375
0.208333333333333,5,-0.191453779369959,0.231789789022644,1.04166666666667
0.229166666666667,5,-0.153097336162303,0.252498019460952,1.14583333333333
0.25,5,-0.128024658696099,0.273128037297915,1.25
0.270833333333333,5,-0.117812019894717,0.294325824927164,1.35416666666667
0.291666666666667,5,-0.119549139871093,0.318795187701315,1.45833333333333
0.3125,5,-0.128620878759965,0.348992820409878,1.5625
0.333333333333333,5,-0.13994869402258,0.38562189585983,1.66666666666667
0.354166666666667,5,-0.148402590632071,0.427581910307126,1.77083333333333
0.375,5,-0.149165825435913,0.472789054576795,1.875
0.395833333333333,5,-0.13805236569548,0.519093599355244,1.97916666666667
0.416666666666667,5,-0.111777101802675,0.564816043843731,2.08333333333333
0.4375,5,-0.0681788141736674,0.608814149307446,2.1875
0.458333333333333,5,-0.00639589431970043,0.650175836934211,2.29166666666667
0.479166666666667,5,0.0730051799050004,0.687699871408423,2.39583333333333
0.5,5,0.167948614878235,0.719377659775936,2.5
0.520833333333333,5,0.274896498636675,0.742483529691974,2.60416666666667
0.541666666666667,5,0.38956997508852,0.755287987288769,2.70833333333333
0.5625,5,0.507605348925672,0.757544176655056,2.8125
0.583333333333333,5,0.625044544761108,0.751511628323492,2.91666666666667
0.604166666666667,5,0.738425741886483,0.743006868333752,3.02083333333333
0.625,5,0.844536368344879,0.741965167076677,3.125
0.645833333333333,5,0.940404573764838,0.761756809993806,3.22916666666667
0.666666666666667,5,1.02329922936036,0.815755385651909,3.33333333333333
0.6875,5,1.09072992793089,0.912140686677414,3.4375
0.708333333333333,5,1.14044698386134,1.05125131889436,3.54166666666667
0.729166666666667,5,1.17044143312207,1.22757659042191,3.64583333333333
0.75,5,1.17894503326891,1.43346741468546,3.75
0.770833333333333,5,1.16440626967613,1.66252745357812,3.85416666666667
0.791666666666667,5,1.12543437191675,1.91322804235097,3.95833333333333
0.8125,5,1.06089929100574,2.18672455354416,4.0625
0.833333333333333,5,0.969959692587374,2.48537358176949,4.16666666666667
0.854166666666667,5,0.852062956935186,2.81209909955233,4.27083333333333
0.875,5,0.706945178951997,3.16989967054862,4.375
0.895833333333333,5,0.534631168169913,3.56147177171436,4.47916666666667
0.916666666666667,5,0.335434448750313,3.98893891009438,4.58333333333333
0.9375,5,0.109957259483863,4.45367708129388,4.6875
0.958333333333333,5,-0.140909446209493,4.95622263124975,4.79166666666667
0.979166666666667,5,-0.415986000280532,5.49624487849897,4.89583333333333
1,5,-0.713804020050748,6.07256537349032,5
0,5.44,0.134893509097313,0.172513585941358,0
0.0208333333333333,5.44,-0.0762503268119358,0.132038332676605,0.113333333333333
0.0416666666666667,5.44,-0.227054199701711,0.130348244050962,0.226666666666667
0.0625,5.44,-0.31927414515905,0.139786818777853,0.34
0.0833333333333333,5.44,-0.361296811080396,0.150287135941309,0.453333333333333
0.104166666666667,5.44,-0.364969845989799,0.157482936350942,0.566666666666667
0.125,5.44,-0.341364777903043,0.162717992471512,0.68
0.145833333333333,5.44,-0.300210854204802,0.168942459519285,0.793333333333333
0.166666666666667,5.44,-0.249809414841752,0.179347687129656,0.906666666666667
0.1875,5.44,-0.196999986798604,0.19482396461792,1.02
0.208333333333333,5.44,-0.147771381644519,0.213167132274657,1.13333333333333
0.229166666666667,5.44,-0.107564773141487,0.231460687309069,1.24666666666667
0.25,5.44,-0.0806891415417413,0.247481947767612,1.36
0.270833333333333,5.44,-0.0694137425754811,0.260966872114302,1.47333333333333
0.291666666666667,5.44,-0.0716257556289341,0.274643612903275,1.58666666666667
0.3125,5.44,-0.0834578788845359,0.292137085566645,1.7
0.333333333333333,5.44,-0.100462353336921,0.315920497041168,1.81333333333333
0.354166666666667,5.44,-0.117973479637545,0.346324555902656,1.92666666666667
0.375,5.44,-0.131433450935342,0.381812268727203,2.04
0.395833333333333,5.44,-0.136681501713422,0.419998421605584,2.15333333333333
0.416666666666667,5.44,-0.130206372621804,0.458576497257571,2.26666666666667
0.4375,5.44,-0.109362091306178,0.495763757384081,2.38
0.458333333333333,5.44,-0.0725470692327178,0.530284659541445,2.49333333333333
0.479166666666667,5.44,-0.0193465145089172,0.561043014074103,2.60666666666667
0.5,5.44,0.0493618392995309,0.586660302947362,2.72
0.520833333333333,5.44,0.131304780580818,0.605376693683317,2.83333333333333
0.541666666666667,5.44,0.223093808414925,0.616084170206404,2.94666666666667
0.5625,5.44,0.321080551353733,0.618418846226486,3.06
0.583333333333333,5.44,0.421565756215136,0.613533001487465,3.17333333333333
0.604166666666667,5.44,0.520873597890584,0.605282667764979,3.28666666666667
0.625,5.44,0.615608801315321,0.601363241548353,3.4
0.645833333333333,5.44,0.702920431424907,0.613423396020757,3.51333333333333
0.666666666666667,5.44,0.780219381251417,0.654371084383749,3.62666666666667
0.6875,5.44,0.845137795284147,0.733316048384804,3.74
0.708333333333333,5.44,0.895529069469614,0.852103377637532,3.85333333333333
