B.1.arg,B.1.vd,value,se,x,z,z,,,
0.5,20,1.465286567,1.311486699,10,2.023922716,3.273922716,,,
0.666666667,20,0.06133684,1.47037364,13.33333333,0.61997299,1.86997299,,,
0.833333333,20,-2.875322852,2.69700629,16.66666667,-2.316686703,-1.066686703,,,
1,20,-7.356110554,8.171036839,20,-6.797474404,-5.547474404,,,
0,21,-3.065513306,3.280301194,0,-2.506877157,-1.256877157,,,
0.166666667,21,-0.109871745,1.15674823,3.5,0.448764404,1.698764404,,,
0.333333333,21,1.422772084,1.393491547,7,1.981408233,3.231408233,,,
0.5,21,1.605982955,1.388380103,10.5,2.164619105,3.414619105,,,
0.666666667,21,0.393234897,1.573134161,14,0.951871047,2.201871047,,,
0.833333333,21,-2.274358806,2.250139546,17.5,-1.715722656,-0.465722656,,,
1,21,-6.411403487,6.857028766,21,-5.852767338,-4.602767338,,,
0,22,-3.065513306,3.280301194,0,-2.506877157,-1.256877157,,,
0.166666667,22,-0.127571244,1.226116197,3.666666667,0.431064906,1.681064906,,,
0.333333333,22,1.448874889,1.386022344,7.333333333,2.007511039,3.257511039,,,
0.5,22,1.734628533,1.473610446,11,2.293264683,3.543264683,,,
0.666666667,22,0.694789997,1.694674088,14.66666667,1.253426147,2.503426147,,,
0.833333333,22,-1.728566161,1.986854563,18.33333333,-1.169930012,0.080069988,,,
1,22,-5.553280815,5.731598877,22,-4.994644665,-3.744644665,,,
0,23,-3.065513306,3.280301194,0,-2.506877157,-1.256877157,,,
0.166666667,23,-0.143684888,1.296898948,3.833333333,0.414951261,1.664951261,,,
0.333333333,23,1.473158036,1.393330153,7.666666667,2.031794185,3.281794185,,,
0.5,23,1.852796533,1.56317567,11.5,2.411432683,3.661432683,,,
0.666666667,23,0.970129916,1.830158235,15.33333333,1.528766066,2.778766066,,,
0.833333333,23,-1.230712458,1.902391157,19.16666667,-0.672076308,0.577923692,,,
1,23,-4.770430917,4.784652638,23,-4.211794768,-2.961794768,,,
