"FL","FD","B"
"1",0.114949265218412,0.321231601513952,0.216751396566916
"2",0.129266498069235,0.507153287567083,0.270785600638554
"3",0.121589092258319,0.368336001824167,0.243563264254534
"4",0.111083434889283,0.255377545357636,0.139121950538489
"5",0.15232258860501,0.31219862825875,0.230225420952438
"6",0.0532062985309832,0.165958463301702,0.198291194641065
"7",0.131037727339223,0.237072740634103,0.277929346614002
"8",0.189082492657958,0.241257874256318,0.242135774212276
"9",0.0556466655730814,0.164631547146419,0.170652054826756
"10",0.127057528417168,0.0795335934648288,0.21696487873401
"11",0.154238112319788,0.161688033340565,0.191948845214196
"12",0.0659680043321239,0.0998529649690329,0.1357136371523
"13",0.111537552374493,0.101320248102441,0.232820921364381
"14",0.131665058058576,0.177331356475932,0.281049929396033
"15",0.132527304937443,0.1416382399225,0.278687367611787
"16",0.23760448526558,0.234698704742786,0.267159565792566
"17",0.150551533923458,0.196845866754558,0.38817886800427
"18",0.166492752571892,0.126390642990598,0.391957204884333
"19",0.110978632050717,0.180791444246297,0.293396440974157
"20",0.0833778170498793,0.0462212980123256,0.24696155669784
"21",0.0946727818848048,0.0695446874156726,0.285398707793304
"22",0.175637941042925,0.136219750344576,0.27056014373633
"23",0.116453541798177,0.117359322361103,0.258838242435202
"24",0.121361568363358,0.14163316491311,0.239277470812425
"25",0.171299587015227,0.1197633076748,0.276474670670265
"26",0.158940074252717,0.0962320037238279,0.279936299430528
"27",0.109778728095484,0.126317826080745,0.185875772697063
"28",0.11190248692297,0.157362482234158,0.321047853468183
"29",0.165719953849994,0.14692366616656,0.197393698092019
"30",0.0784444429321119,0.154777818259224,0.129381376041501
"31",0.115138401105985,0.14690558192254,0.100886153050716
"32",0.0641214345964579,0.123938236693428,0.210057910397382
"33",0.0855086537357518,0.128049362288976,0.164801203835795
"34",0.112839598582159,0.126278037093434,0.187544701012605
"35",0.067372503638302,0.1321869031633,0.149634921392946
"36",0.103317206318838,0.109508309305973,0.27887040855272
"37",0.109776993230561,0.100485015409968,0.193964242505857
"38",0.0844357990701095,0.11318608055595,0.158236744474081
"39",0.0527304854120596,0.116515013182925,0.106058207639954
"40",0.0443330926748773,0.0875752481116112,0.104485834753687
