"Branch","Tot.Seeds","Prop"
1,164,36.2030905077263
2,137,30.242825607064
3,63,13.9072847682119
4,15,3.3112582781457
5,43,9.49227373068433
6,7,1.54525386313466
7,24,5.29801324503311
8,0,0
9,0,0
10,0,0
