FD.arg,FD.vd,value,se,x
0,5,-0.0520541692364808,0.38125226373883,0
0.0208333333333333,5,-0.589076404268764,0.272982453459755,0.104166666666667
0.0416666666666667,5,-0.962743263189036,0.342886272445494,0.208333333333333
0.0625,5,-1.18279059695425,0.426470245031711,0.3125
0.0833333333333333,5,-1.27904662940036,0.483834068771268,0.416666666666667
0.104166666666667,5,-1.28773494145921,0.508193361381694,0.520833333333333
0.125,5,-1.23946630024646,0.512607819603894,0.625
0.145833333333333,5,-1.1584820098054,0.517408761372475,0.729166666666667
0.166666666666667,5,-1.06263499964111,0.542181416156963,0.833333333333333
0.1875,5,-0.965470658076018,0.591297677824813,0.9375
0.208333333333333,5,-0.880579128847785,0.656767843669012,1.04166666666667
0.229166666666667,5,-0.819093772005313,0.727761802786483,1.14583333333333
0.25,5,-0.788829246264364,0.797540504558239,1.25
0.270833333333333,5,-0.792347483254973,0.867243814999401,1.35416666666667
0.291666666666667,5,-0.822021091626203,0.94607928000016,1.45833333333333
0.3125,5,-0.866404483465888,1.04277131929026,1.5625
0.333333333333333,5,-0.913031085485322,1.15984171871907,1.66666666666667
0.354166666666667,5,-0.949325031766195,1.29305920312593,1.77083333333333
0.375,5,-0.963410110484127,1.43424315922977,1.875
0.395833333333333,5,-0.944815964608796,1.57465509290589,1.97916666666667
0.416666666666667,5,-0.885081546580673,1.70727185948654,2.08333333333333
0.4375,5,-0.778255826964348,1.82765312102327,2.1875
0.458333333333333,5,-0.621295757078458,1.93366180871468,2.29166666666667
0.479166666666667,5,-0.414361485602214,2.02437032569975,2.39583333333333
0.5,5,-0.161008829158525,2.09856898586097,2.5
0.520833333333333,5,0.131846056520193,2.1543101298573,2.60416666666667
0.541666666666667,5,0.455274243667698,2.19181139201559,2.70833333333333
0.5625,5,0.799819352443795,2.21366131221671,2.8125
0.583333333333333,5,1.15675451352508,2.22705279289654,2.91666666666667
0.604166666666667,5,1.5183072683824,2.24564838685934,3.02083333333333
0.625,5,1.87701703750513,2.28959438362068,3.125
0.645833333333333,5,2.22571293313042,2.38333489989724,3.22916666666667
0.666666666666667,5,2.55751375924318,2.550039721636,3.33333333333333
0.6875,5,2.86582801157613,2.80474161285936,3.4375
0.708333333333333,5,3.14435387760972,3.15063956628831,3.54166666666667
0.729166666666667,5,3.38707923657222,3.58075327263262,3.64583333333333
0.75,5,3.58828165943965,4.08272101274574,3.75
0.770833333333333,5,3.74269438534029,4.64528674353766,3.85416666666667
0.791666666666667,5,3.84616553965664,5.26702423353992,3.95833333333333
0.8125,5,3.89544246036694,5.95244727319409,4.0625
0.833333333333333,5,3.88804604386287,6.70891864987215,4.16666666666667
0.854166666666667,5,3.82227074494946,7.54513064212047,4.27083333333333
0.875,5,3.6971845768452,8.46981667870032,4.375
0.895833333333333,5,3.51262911118195,9.49072971162834,4.47916666666667
0.916666666666667,5,3.269219478005,10.6139074005428,4.58333333333333
0.9375,5,2.96834436577303,11.843214546997,4.6875
0.958333333333333,5,2.61216602135813,13.1801236761768,4.79166666666667
0.979166666666667,5,2.20362025004579,14.6236775608255,4.89583333333333
1,5,1.74641641553492,16.1705757896387,5
0,5.44,-0.0520541692364808,0.38125226373883,0
0.0208333333333333,5.44,-0.550107443478127,0.271164722049752,0.113333333333333
0.0416666666666667,5.44,-0.899138891497258,0.325530414752883,0.226666666666667
0.0625,5.44,-1.10642301073748,0.397849447203116,0.34
0.0833333333333333,5.44,-1.19603905812587,0.451127521968933,0.453333333333333
0.104166666666667,5.44,-1.20028805629786,0.474533476224328,0.566666666666667
0.125,5.44,-1.14790758154643,0.476524566969835,0.68
0.145833333333333,5.44,-1.06258411450575,0.474780203029046,0.793333333333333
0.166666666666667,5.44,-0.962915104533437,0.490647707042033,0.906666666666667
0.1875,5.44,-0.862605287109625,0.533619646318864,1.02
0.208333333333333,5.44,-0.773449714825696,0.594214574877178,1.13333333333333
0.229166666666667,5.44,-0.706968547433219,0.657857914832181,1.24666666666667
0.25,5.44,-0.672090581159937,0.713768957366004,1.36
0.270833333333333,5.44,-0.67302787539287,0.75966315442254,1.47333333333333
0.291666666666667,5.44,-0.704014744989978,0.804442828553367,1.58666666666667
0.3125,5.44,-0.75535350698674,0.860651108834484,1.7
0.333333333333333,5.44,-0.81606832947453,0.937026915824782,1.81333333333333
0.354166666666667,5.44,-0.874705884530003,1.03456355393251,1.92666666666667
0.375,5.44,-0.920056224027737,1.14727450029898,2.04
0.395833333333333,5.44,-0.941793878336145,1.26588056927316,2.15333333333333
0.416666666666667,5.44,-0.931039177896648,1.38130170463234,2.26666666666667
0.4375,5.44,-0.880839797686114,1.48659321529754,2.38
0.458333333333333,5.44,-0.786572524562561,1.57746067141673,2.49333333333333
0.479166666666667,5.44,-0.646265247494122,1.65180446268869,2.60666666666667
0.5,5.44,-0.460839170671279,1.70867382997758,2.72
0.520833333333333,5.44,-0.234384282611666,1.74779204135791,2.83333333333333
0.541666666666667,5.44,0.0262764920717964,1.7712596673891,2.94666666666667
0.5625,5.44,0.313471375415714,1.78240434949588,3.06
0.583333333333333,5.44,0.619142907070834,1.78701477572757,3.17333333333333
0.604166666666667,5.44,0.934999118942724,1.79552389541595,3.28666666666667
0.625,5.44,1.25316007223331,1.82464239016368,3.4
0.645833333333333,5.44,1.56685312698501,1.8966230586469,3.51333333333333
0.666666666666667,5.44,1.86967818387863,2.03395116323913,3.62666666666667
0.6875,5.44,2.15550140439255,2.25235452354569,3.74
0.708333333333333,5.44,2.41845521080272,2.55652224836237,3.85333333333333
