FD.1.arg,FD.1.vd,value,se,x,z,,,,
0.777777778,8,-3.159268975,1.211537713,6.222222222,-1.17537036,,,,
0.888888889,8,-3.389951191,1.393484371,7.111111111,-1.492591001,,,,
1,8,-3.607245591,1.605354574,8,-1.791401504,,,,
0,9,-1.169594583,0.459429913,0,1.560713062,,,,
0.111111111,9,-1.493054772,0.499796768,1,1.115909598,,,,
0.222222222,9,-1.804612326,0.582425317,2,0.68747394,,,,
0.333333333,9,-2.104267996,0.685579359,3,0.275405053,,,,
0.444444444,9,-2.392022663,0.800002919,4,-0.120298272,,,,
0.555555556,9,-2.66787621,0.924146405,5,-0.499635876,,,,
0.666666667,9,-2.931827976,1.060211333,6,-0.86260685,,,,
0.777777778,9,-3.183877711,1.211995806,7,-1.209210849,,,,
0.888888889,9,-3.424025787,1.383707862,8,-1.539448385,,,,
1,9,-3.652273179,1.579301842,9,-1.8533208,,,,
0,10,-1.169594583,0.459429913,0,1.560713062,,,,
0.111111111,10,-1.492296846,0.499786144,1.111111111,1.116951854,,,,
0.222222222,10,-1.804286669,0.582800901,2.222222222,0.687921764,,,,
0.333333333,10,-2.105564715,0.6874364,3.333333333,0.273621882,,,,
0.444444444,10,-2.396131766,0.803860186,4.444444444,-0.125948869,,,,
0.555555556,10,-2.675987721,0.929472032,5.555555556,-0.51079035,,,,
0.666666667,10,-2.945132097,1.065291509,6.666666667,-0.880901896,,,,
0.777777778,10,-3.203564683,1.213984078,7.777777778,-1.236283217,,,,
0.888888889,10,-3.451285564,1.378808992,8.888888889,-1.576934431,,,,
1,10,-3.688295511,1.563043631,10,-1.902856596,,,,
