banner.arg,banner.vd,value,se,x
0.083333333,50,-0.263501074,0.234128705,4.083333333
0.104166667,50,-0.248603165,0.202477369,5.104166667
0.125,50,-0.190848515,0.199174213,6.125
0.145833333,50,-0.146755118,0.209575525,7.145833333
0.166666667,50,-0.112919157,0.216936816,8.166666667
0.1875,50,-0.063158747,0.241761504,9.1875
0.208333333,50,0.007579995,0.265275627,10.20833333
0.229166667,50,0.093668973,0.279521528,11.22916667
0.25,50,0.194184163,0.273162234,12.25
0.270833333,50,0.295875996,0.265827713,13.27083333
0.291666667,50,0.355250666,0.291773228,14.29166667
0.3125,50,0.329537919,0.334584022,15.3125
0.333333333,50,0.216235259,0.361190192,16.33333333
0.354166667,50,0.048025457,0.369383755,17.35416667
0.375,50,-0.141351302,0.376578204,18.375
0.395833333,50,-0.332586432,0.410343111,19.39583333
0.416666667,50,-0.510687522,0.468392326,20.41666667
0.4375,50,-0.66224921,0.539443473,21.4375
0.458333333,50,-0.781623827,0.617333255,22.45833333
0.479166667,50,-0.868141092,0.689786302,23.47916667
0.5,50,-0.925096749,0.752946779,24.5
0.520833333,50,-0.954150106,0.801669371,25.52083333
0.541666667,50,-0.953339558,0.831139062,26.54166667
0.5625,50,-0.919775341,0.838508935,27.5625
0.583333333,50,-0.854081892,0.827068964,28.58333333
0.604166667,50,-0.763407957,0.804288983,29.60416667
0.625,50,-0.660241685,0.776641313,30.625
0.645833333,50,-0.557134131,0.748884951,31.64583333
0.666666667,50,-0.460792705,0.724932044,32.66666667
0.6875,50,-0.369850344,0.705233905,33.6875
0.708333333,50,-0.277909492,0.690420522,34.70833333
0.729166667,50,-0.17941686,0.687318013,35.72916667
0.75,50,-0.073931294,0.701195171,36.75
0.770833333,50,0.034145186,0.728517305,37.77083333
0.791666667,50,0.139661425,0.764845802,38.79166667
0.8125,50,0.241020903,0.807731342,39.8125
0.833333333,50,0.341094436,0.85495057,40.83333333
0.854166667,50,0.444186289,0.912361854,41.85416667
0.875,50,0.552089884,0.992737407,42.875
0.895833333,50,0.662247409,1.104584437,43.89583333
0.916666667,50,0.768539152,1.243405612,44.91666667
0.9375,50,0.864166873,1.401291608,45.9375
0.958333333,50,0.945231917,1.579601072,46.95833333
0.979166667,50,1.013076204,1.78076885,47.97916667
1,50,1.07383294,1.991252168,49
