banner.arg,abs,banner.vd,value,se,x
0.916666667,18.33333333,20,6.260861759,3.764438035,18.29666667
0.9375,18.75,20,7.596551953,4.429250512,18.7125
0.958333333,19.16666667,20,8.227067809,5.661468864,19.12833333
0.979166667,19.58333333,20,8.404758269,7.454542396,19.54416667
1,20,20,8.460052133,9.435799127,19.96
0,0,30,1.741202333,0.820819898,0
0.020833333,0.625,30,0.699133831,0.38524268,0.626666667
0.041666667,1.25,30,-0.696878905,0.529267385,1.253333333
0.0625,1.875,30,-1.681401891,0.616365477,1.88
0.083333333,2.5,30,-1.712860453,0.669891834,2.506666667
0.104166667,3.125,30,-0.100999522,0.307316897,3.133333333
0.125,3.75,30,1.451395706,0.5911785,3.76
0.145833333,4.375,30,0.543372411,0.488840239,4.386666667
0.166666667,5,30,-1.279352962,0.677330118,5.013333333
0.1875,5.625,30,-1.35741597,0.697805369,5.64
0.208333333,6.25,30,-0.508826241,0.590360068,6.266666667
0.229166667,6.875,30,-0.783368096,0.58200103,6.893333333
0.25,7.5,30,-1.034070152,0.9174638,7.52
0.270833333,8.125,30,0.646598357,0.754058179,8.146666667
0.291666667,8.75,30,2.605970512,1.139748005,8.773333333
0.3125,9.375,30,1.760392487,1.299672636,9.4
0.333333333,10,30,-1.443849941,1.155310417,10.02666667
0.354166667,10.625,30,-3.568009392,1.337945904,10.65333333
0.375,11.25,30,-3.049901644,0.759237152,11.28
0.395833333,11.875,30,-1.434186672,1.383278044,11.90666667
0.416666667,12.5,30,-0.398707334,1.580388472,12.53333333
0.4375,13.125,30,0.158539773,1.21104815,13.16
0.458333333,13.75,30,1.09400411,1.055240644,13.78666667
0.479166667,14.375,30,2.223451762,1.274864388,14.41333333
0.5,15,30,2.378863278,1.436537913,15.04
0.520833333,15.625,30,1.071530628,1.260519422,15.66666667
0.541666667,16.25,30,-0.603477773,1.967440032,16.29333333
0.5625,16.875,30,-1.156349116,2.496507916,16.92
0.583333333,17.5,30,-0.1995074,2.20522402,17.54666667
0.604166667,18.125,30,1.181120362,2.123202043,18.17333333
0.625,18.75,30,1.671103074,2.331529116,18.8
0.645833333,19.375,30,0.763029613,2.23098012,19.42666667
0.666666667,20,30,-0.979757815,2.29375463,20.05333333
0.6875,20.625,30,-2.588979972,2.546131805,20.68
0.708333333,21.25,30,-3.59074252,2.518050595,21.30666667
0.729166667,21.875,30,-4.273706258,2.234499281,21.93333333
0.75,22.5,30,-5.129508786,1.794706404,22.56
0.770833333,23.125,30,-6.114711928,1.951820452,23.18666667
0.791666667,23.75,30,-6.676540897,2.969437778,23.81333333
0.8125,24.375,30,-6.179491003,3.748380869,24.44
0.833333333,25,30,-4.486187882,3.854724834,25.06666667
0.854166667,25.625,30,-1.915276538,3.528732138,25.69333333
0.875,26.25,30,1.043891652,3.258853967,26.32
0.895833333,26.875,30,3.857096928,3.344635901,26.94666667
0.916666667,27.5,30,6.067119409,3.643437752,27.57333333
0.9375,28.125,30,7.424909305,4.168732212,28.2
0.958333333,28.75,30,7.965503748,5.341616391,28.82666667
0.979166667,29.375,30,7.988642828,7.233012074,29.45333333
1,30,30,7.925101248,9.340579902,30.08
0,0,40,1.741202333,0.820819898,0
0.020833333,0.833333333,40,0.703578057,0.384753251,0.8375
0.041666667,1.666666667,40,-0.685267217,0.528292271,1.675
0.0625,2.5,40,-1.660817858,0.619492551,2.5125
0.083333333,3.333333333,40,-1.682103288,0.668216025,3.35
0.104166667,4.166666667,40,-0.07686255,0.304375404,4.1875
0.125,5,40,1.453743895,0.594505242,5.025
0.145833333,5.833333333,40,0.540063432,0.487184524,5.8625
0.166666667,6.666666667,40,-1.294367174,0.68267175,6.7
0.1875,7.5,40,-1.42765488,0.726980488,7.5375
0.208333333,8.333333333,40,-0.637140291,0.586786024,8.375
0.229166667,9.166666667,40,-0.893808261,0.589368344,9.2125
0.25,10,40,-1.0660583,0.922738593,10.05
0.270833333,10.83333333,40,0.692439229,0.747609312,10.8875
0.291666667,11.66666667,40,2.740317443,1.187776903,11.725
0.3125,12.5,40,2.026695776,1.387820077,12.5625
0.333333333,13.33333333,40,-1.052028733,1.162620616,13.4
0.354166667,14.16666667,40,-3.141677131,1.242026073,14.2375
0.375,15,40,-2.68026761,0.712219496,15.075
0.395833333,15.83333333,40,-1.121603671,1.429886587,15.9125
0.416666667,16.66666667,40,-0.106732857,1.639158776,16.75
0.4375,17.5,40,0.440636667,1.262942161,17.5875
0.458333333,18.33333333,40,1.32827275,1.094787007,18.425
0.479166667,19.16666667,40,2.360677245,1.258379754,19.2625
0.5,20,40,2.405839096,1.366799256,20.1
0.520833333,20.83333333,40,1.009749427,1.288300969,20.9375
0.541666667,21.66666667,40,-0.737726445,2.087912334,21.775
0.5625,22.5,40,-1.348444738,2.607488652,22.6125
0.583333333,23.33333333,40,-0.438502329,2.276434129,23.45
0.604166667,24.16666667,40,0.91439895,2.120220093,24.2875
0.625,25,40,1.374021605,2.299647393,25.125
0.645833333,25.83333333,40,0.420175873,2.224055905,25.9625
0.666666667,26.66666667,40,-1.378348341,2.338807799,26.8
0.6875,27.5,40,-3.030559761,2.618608297,27.6375
0.708333333,28.33333333,40,-4.03882839,2.587522754,28.475
0.729166667,29.16666667,40,-4.686773727,2.285401585,29.3125
0.75,30,40,-5.486085861,1.824777751,30.15
0.770833333,30.83333333,40,-6.41727405,1.981482086,30.9875
0.791666667,31.66666667,40,-6.948183561,3.032623678,31.825
0.8125,32.5,40,-6.44243232,3.850929487,32.6625
0.833333333,33.33333333,40,-4.765253921,3.995281378,33.5
0.854166667,34.16666667,40,-2.188517563,3.655978231,34.3375
0.875,35,40,0.803467979,3.328039398,35.175
0.895833333,35.83333333,40,3.66098612,3.354641544,36.0125
0.916666667,36.66666667,40,5.905476287,3.602254905,36.85
0.9375,37.5,40,7.270065375,4.066795679,37.6875
0.958333333,38.33333333,40,7.783557659,5.211722557,38.525
0.979166667,39.16666667,40,7.756209086,7.137455986,39.3625
1,40,40,7.65019637,9.293088948,40.2
0,0,50,1.741202333,0.820819898,0
0.020833333,1.041666667,50,0.705924334,0.384490196,1.020833333
0.041666667,2.083333333,50,-0.679047784,0.527624117,2.041666667
0.0625,3.125,50,-1.649774089,0.620924003,3.0625
0.083333333,4.166666667,50,-1.665213945,0.667077073,4.083333333
0.104166667,5.208333333,50,-0.064507981,0.303140366,5.104166667
0.125,6.25,50,1.451756492,0.595132741,6.125
0.145833333,7.291666667,50,0.536740038,0.485367805,7.145833333
0.166666667,8.333333333,50,-1.29841013,0.683776067,8.166666667
0.1875,9.375,50,-1.460043535,0.739995568,9.1875
0.208333333,10.41666667,50,-0.702897419,0.586833027,10.20833333
0.229166667,11.45833333,50,-0.945819332,0.594727352,11.22916667
0.25,12.5,50,-1.070831984,0.920820565,12.25
0.270833333,13.54166667,50,0.718938494,0.741229657,13.27083333
0.291666667,14.58333333,50,2.792738449,1.205811424,14.29166667
0.3125,15.625,50,2.144068177,1.425258108,15.3125
0.333333333,16.66666667,50,-0.850356432,1.171220187,16.33333333
0.354166667,17.70833333,50,-2.908731381,1.195502909,17.35416667
0.375,18.75,50,-2.482435899,0.7069463,18.375
0.395833333,19.79166667,50,-0.965228064,1.452491941,19.39583333
0.416666667,20.83333333,50,0.038755914,1.666295766,20.41666667
0.4375,21.875,50,0.586614546,1.294110487,21.4375
0.458333333,22.91666667,50,1.445996764,1.118726864,22.45833333
0.479166667,23.95833333,50,2.41662989,1.250282113,23.47916667
0.5,25,50,2.402634028,1.329193524,24.5
0.520833333,26.04166667,50,0.979038229,1.30486445,25.52083333
0.541666667,27.08333333,50,-0.780716537,2.132765292,26.54166667
0.5625,28.125,50,-1.414609237,2.640464381,27.5625
0.583333333,29.16666667,50,-0.549308718,2.298581696,28.58333333
0.604166667,30.20833333,50,0.760342,2.103495935,29.60416667
0.625,31.25,50,1.191610624,2.259291469,30.625
0.645833333,32.29166667,50,0.227594662,2.200194078,31.64583333
0.666666667,33.33333333,50,-1.573178927,2.34034693,32.66666667
0.6875,34.375,50,-3.231712018,2.628637846,33.6875
0.708333333,35.41666667,50,-4.249634666,2.598033364,34.70833333
0.729166667,36.45833333,50,-4.896194533,2.28802841,35.72916667
0.75,37.5,50,-5.669554057,1.828351337,36.75
0.770833333,38.54166667,50,-6.562844529,1.99468871,37.77083333
0.791666667,39.58333333,50,-7.061704314,3.048767346,38.79166667
0.8125,40.625,50,-6.549858764,3.881713843,39.8125
0.833333333,41.66666667,50,-4.88374997,4.045077389,40.83333333
0.854166667,42.70833333,50,-2.316794579,3.707489451,41.85416667
0.875,43.75,50,0.673597696,3.355653112,42.875
0.895833333,44.79166667,50,3.535611648,3.346542765,43.89583333
0.916666667,45.83333333,50,5.786020411,3.563519788,44.91666667
0.9375,46.875,50,7.153264521,4.004980017,45.9375
0.958333333,47.91666667,50,7.663418119,5.144738275,46.95833333
0.979166667,48.95833333,50,7.627228929,7.083586565,47.97916667
1,50,50,7.511664231,9.255428573,49
