FL.arg,ab_flw,FL.vd,value,se,x
0.916666667,18.33333333,20,7.130699217,2.92144964,18.29666667
0.9375,18.75,20,8.147836356,3.976178734,18.7125
0.958333333,19.16666667,20,7.719676649,6.281271228,19.12833333
0.979166667,19.58333333,20,6.376906321,9.132132975,19.54416667
1,20,20,4.875320727,11.95256187,19.96
0,0,30,2.6583651,0.650308625,0
0.020833333,0.625,30,0.781095476,0.310330238,0.626666667
0.041666667,1.25,30,-1.195260505,0.660086354,1.253333333
0.0625,1.875,30,-0.84712712,0.368368816,1.88
0.083333333,2.5,30,-1.011643422,0.538481468,2.506666667
0.104166667,3.125,30,-0.320588845,0.271951767,3.133333333
0.125,3.75,30,2.252696629,0.45377854,3.76
0.145833333,4.375,30,1.780485007,0.432893194,4.386666667
0.166666667,5,30,-1.872772979,0.514862231,5.013333333
0.1875,5.625,30,-2.729338765,0.768967965,5.64
0.208333333,6.25,30,0.047724294,0.52918257,6.266666667
0.229166667,6.875,30,0.885077818,0.58683218,6.893333333
0.25,7.5,30,-1.154978684,0.509021879,7.52
0.270833333,8.125,30,-1.147950317,0.728469677,8.146666667
0.291666667,8.75,30,2.113909089,0.46181612,8.773333333
0.3125,9.375,30,3.731282107,0.792483997,9.4
0.333333333,10,30,1.115474644,1.075482751,10.02666667
0.354166667,10.625,30,-2.215003957,0.729352427,10.65333333
0.375,11.25,30,-2.719649868,0.556337362,11.28
0.395833333,11.875,30,-1.29530602,0.949643002,11.90666667
0.416666667,12.5,30,-0.237790787,0.987526513,12.53333333
0.4375,13.125,30,0.235343165,0.924438602,13.16
0.458333333,13.75,30,1.350614927,0.860442235,13.78666667
0.479166667,14.375,30,2.917809145,1.003567248,14.41333333
0.5,15,30,3.061290513,1.182448409,15.04
0.520833333,15.625,30,0.862409219,0.928079951,15.66666667
0.541666667,16.25,30,-1.88088031,1.208428542,16.29333333
0.5625,16.875,30,-2.536874163,2.206620405,16.92
0.583333333,17.5,30,-0.419607945,2.912119326,17.54666667
0.604166667,18.125,30,2.388939792,2.841678526,18.17333333
0.625,18.75,30,3.388576077,1.975612022,18.8
0.645833333,19.375,30,1.793808258,1.727074454,19.42666667
0.666666667,20,30,-0.907415661,2.79140986,20.05333333
0.6875,20.625,30,-2.483949013,3.404255506,20.68
0.708333333,21.25,30,-2.097396904,3.220153988,21.30666667
0.729166667,21.875,30,-0.986356086,2.474417028,21.93333333
0.75,22.5,30,-1.045525877,1.317455859,22.56
0.770833333,23.125,30,-2.74716924,1.581269248,23.18666667
0.791666667,23.75,30,-5.050527129,3.254593413,23.81333333
0.8125,24.375,30,-6.237242923,4.438777466,24.44
0.833333333,25,30,-5.400222317,4.848135718,25.06666667
0.854166667,25.625,30,-2.729003539,4.674920039,25.69333333
0.875,26.25,30,1.024189851,4.151748852,26.32
0.895833333,26.875,30,4.809532907,3.442558359,26.94666667
0.916666667,27.5,30,7.582354306,2.880905624,27.57333333
0.9375,28.125,30,8.673518254,3.555467419,28.2
0.958333333,28.75,30,8.051754764,5.854506376,28.82666667
0.979166667,29.375,30,6.347051822,8.878871956,29.45333333
