FD.arg,absflwno,FD.vd,value,se,x
0.333333333,16.66666667,50,-0.908209693,3.642146968,16.33333333
0.354166667,17.70833333,50,-9.322792006,2.619023521,17.35416667
0.375,18.75,50,-3.639852683,1.476525063,18.375
0.395833333,19.79166667,50,6.222715434,2.898204183,19.39583333
0.416666667,20.83333333,50,7.878288899,3.482481375,20.41666667
0.4375,21.875,50,3.896000332,4.163544828,21.4375
0.458333333,22.91666667,50,4.456492418,4.169378294,22.45833333
0.479166667,23.95833333,50,9.752465175,3.774800905,23.47916667
0.5,25,50,9.03490585,4.374296907,24.5
0.520833333,26.04166667,50,-3.654296527,3.921278668,25.52083333
0.541666667,27.08333333,50,-18.79695343,5.728484262,26.54166667
0.5625,28.125,50,-21.28985739,11.04691369,27.5625
0.583333333,29.16666667,50,-6.975067014,14.70091658,28.58333333
0.604166667,30.20833333,50,12.15855934,13.80936466,29.60416667
0.625,31.25,50,20.68581177,9.015471289,30.625
0.645833333,32.29166667,50,13.1339424,8.761100805,31.64583333
0.666666667,33.33333333,50,-2.224979881,14.33724919,32.66666667
0.6875,34.375,50,-12.16930028,17.04926873,33.6875
0.708333333,35.41666667,50,-11.23331313,15.70959753,34.70833333
0.729166667,36.45833333,50,-6.029748106,11.55262102,35.72916667
0.75,37.5,50,-7.138871493,5.7237097,36.75
0.770833333,38.54166667,50,-17.05110516,7.433256924,37.77083333
0.791666667,39.58333333,50,-29.48588043,15.24080809,38.79166667
0.8125,40.625,50,-34.48261066,21.00649045,39.8125
0.833333333,41.66666667,50,-27.46470922,23.90381633,40.83333333
0.854166667,42.70833333,50,-9.705916695,24.48238837,41.85416667
0.875,43.75,50,13.49558483,23.12044446,42.875
0.895833333,44.79166667,50,34.83266814,19.59038997,43.89583333
0.916666667,45.83333333,50,47.32441192,14.38342448,44.91666667
0.9375,46.875,50,46.9072098,14.22246587,45.9375
0.958333333,47.91666667,50,34.16851139,25.91917934,46.95833333
0.979166667,48.95833333,50,14.3504409,42.35436076,47.97916667
1,50,50,-4.75240787,58.22973615,49
