"PlantID","pos_scaled","total_flw","B_pred"
1,0,39,7.94237681089909
1,0.0101010101010101,39,7.87243873171363
1,0.0202020202020202,39,7.80311640720425
1,0.0303030303030303,39,7.73440435182827
1,0.0404040404040404,39,7.66629764393751
1,0.0505050505050505,39,7.59879235411378
1,0.0606060606060606,39,7.53188566223269
1,0.0707070707070707,39,7.46557665257536
1,0.0808080808080808,39,7.3998658298064
1,0.0909090909090909,39,7.33475513203181
1,0.101010101010101,39,7.2702489382522
1,0.111111111111111,39,7.20635289934082
1,0.121212121212121,39,7.14307434908448
1,0.131313131313131,39,7.08042206638083
1,0.141414141414141,39,7.01840573794288
1,0.151515151515152,39,6.95703531007163
1,0.161616161616162,39,6.89632049503161
1,0.171717171717172,39,6.83627043706618
1,0.181818181818182,39,6.77689324237191
1,0.191919191919192,39,6.71819552651808
1,0.202020202020202,39,6.66018168826119
1,0.212121212121212,39,6.60285423241799
1,0.222222222222222,39,6.54621389853955
1,0.232323232323232,39,6.49025939875957
1,0.242424242424242,39,6.43498725431165
1,0.252525252525253,39,6.38039146596102
1,0.262626262626263,39,6.32646431584323
1,0.272727272727273,39,6.27319668365746
1,0.282828282828283,39,6.22057763808203
1,0.292929292929293,39,6.16859487887543
1,0.303030303030303,39,6.11723545180684
1,0.313131313131313,39,6.06648586040761
1,0.323232323232323,39,6.0163326501472
1,0.333333333333333,39,5.96676284465871
1,0.343434343434343,39,5.91776401465797
1,0.353535353535354,39,5.86932437811093
1,0.363636363636364,39,5.82143328515622
1,0.373737373737374,39,5.77408157454967
1,0.383838383838384,39,5.7272618432823
1,0.393939393939394,39,5.68096810624048
1,0.404040404040404,39,5.63519514041722
1,0.414141414141414,39,5.5899385624055
1,0.424242424242424,39,5.54519484592795
1,0.434343434343434,39,5.50096124761787
1,0.444444444444444,39,5.45723541633866
1,0.454545454545455,39,5.41401548449662
1,0.464646464646465,39,5.37129988048684
1,0.474747474747475,39,5.32908714589476
1,0.484848484848485,39,5.28737582241341
1,0.494949494949495,39,5.24616431060787
1,0.505050505050505,39,5.20545075896247
1,0.515151515151515,39,5.1652331611582
1,0.525252525252525,39,5.12550927387568
1,0.535353535353535,39,5.0862762596465
1,0.545454545454546,39,5.04753072854651
1,0.555555555555556,39,5.00926849119606
1,0.565656565656566,39,4.97148445401873
1,0.575757575757576,39,4.9341726557662
1,0.585858585858586,39,4.89732603083552
1,0.595959595959596,39,4.86093676818416
1,0.606060606060606,39,4.82499579560475
1,0.616161616161616,39,4.78949285231665
1,0.626262626262626,39,4.75441671099575
1,0.636363636363636,39,4.71975563417387
1,0.646464646464647,39,4.68549669069642
1,0.656565656565657,39,4.65162549408658
1,0.666666666666667,39,4.61812662695523
1,0.676767676767677,39,4.58498402343499
1,0.686868686868687,39,4.55218158314051
1,0.696969696969697,39,4.51970330572133
1,0.707070707070707,39,4.48753337180887
1,0.717171717171717,39,4.45565657385152
1,0.727272727272727,39,4.42405881271365
1,0.737373737373737,39,4.39272713531544
1,0.747474747474748,39,4.36165025515546
1,0.757575757575758,39,4.33081878674859
1,0.767676767676768,39,4.3002248788377
1,0.777777777777778,39,4.26986265560465
1,0.787878787878788,39,4.23972858845286
1,0.797979797979798,39,4.20982071433833
1,0.808080808080808,39,4.1801382801318
1,0.818181818181818,39,4.15068142415812
1,0.828282828282828,39,4.12145105100322
1,0.838383838383838,39,4.09244880131322
1,0.848484848484849,39,4.06367652327583
1,0.858585858585859,39,4.03513589241364
1,0.868686868686869,39,4.00682799809356
1,0.878787878787879,39,3.97875318649092
1,0.888888888888889,39,3.95091076531435
1,0.898989898989899,39,3.92329878063502
1,0.909090909090909,39,3.89591389921315
1,0.919191919191919,39,3.86875148900444
1,0.929292929292929,39,3.84180619808111
1,0.939393939393939,39,3.81507180765733
1,0.94949494949495,39,3.78854167446739
1,0.95959595959596,39,3.76220920439439
1,0.96969696969697,39,3.73606820543704
1,0.97979797979798,39,3.71011319633318
1,0.98989898989899,39,3.68434046874804
1,1,39,3.65874769846952
2,0,28,8.70196853799532
2,0.0101010101010101,28,8.625129009083
2,0.0202020202020202,28,8.54896831585704
2,0.0303030303030303,28,8.4734808872281
2,0.0404040404040404,28,8.3986625741072
2,0.0505050505050505,28,8.32451141005055
2,0.0606060606060606,28,8.25102725788171
2,0.0707070707070707,28,8.17821269361142
2,0.0808080808080808,28,8.1060721595741
2,0.0909090909090909,28,8.03461173971674
2,0.101010101010101,28,7.96384029004424
2,0.111111111111111,28,7.89376796772068
2,0.121212121212121,28,7.82440656012829
2,0.131313131313131,28,7.75576914385612
2,0.141414141414141,28,7.687869420633
2,0.151515151515152,28,7.62072102065973
2,0.161616161616162,28,7.55433687142159
2,0.171717171717172,28,7.48872871008409
2,0.181818181818182,28,7.42390661194101
2,0.191919191919192,28,7.35987847702382
2,0.202020202020202,28,7.29664909958501
2,0.212121212121212,28,7.23422070523735
2,0.222222222222222,28,7.17259320082041
2,0.232323232323232,28,7.111763851328
2,0.242424242424242,28,7.05172708583689
2,0.252525252525253,28,6.99247407169055
2,0.262626262626263,28,6.93399376995655
2,0.272727272727273,28,6.87627333812187
2,0.282828282828283,28,6.81929755988256
2,0.292929292929293,28,6.76304940583928
2,0.303030303030303,28,6.70751094882351
2,0.313131313131313,28,6.6526634420407
2,0.323232323232323,28,6.5984881342713
2,0.333333333333333,28,6.54496679844468
2,0.343434343434343,28,6.49208186817576
2,0.353535353535354,28,6.43981661425561
2,0.363636363636364,28,6.38815573026314
2,0.373737373737374,28,6.33708579711535
