"FL.arg","FL.vd","value","se","x","z1","z2","z_LDH"
"1",0,5,0.370499110524646,0.189141281976427,0,0.631609344535378,-0.432120907356069,1.95884846847355
"2",0.25,5,0.122260969949612,0.273967238660135,1.25,0.452740617634454,-0.662393177650261,0.446261277616776
"3",0.5,5,0.97244541125774,0.737708534736393,2.5,1.06534353310704,0.126260415288031,1.31819731705453
"4",0.75,5,2.65405753185656,1.23018141431668,3.75,2.27703412366621,1.68616833220813,2.15745214565024
"5",1,5,0.0624076921713876,2.61605660977418,5,0.409613161183811,-0.717914662489834,0.0238556352099639
"6",0,5.44,0.370499110524646,0.189141281976427,0,0.631609344535378,-0.279852837574077,1.95884846847355
"7",0.25,5.44,0.019162018683603,0.197048263379879,1.36,0.378452363158114,-0.596357972834331,0.0972453060733733
"8",0.5,5.44,0.818715574402775,0.593352078405824,2.72,0.954573044167514,0.123926939227295,1.3798141174502
"9",0.75,5.44,2.51758276646103,1.12661847162395,4.08,2.17869682753657,1.65436651676806,2.23463650727482
"10",1,5.44,-0.320208201457172,2.38189552972754,5.44,0.133918146602788,-0.902082645586945,-0.13443419220565
"11",0,5.88,0.370499110524646,0.189141281976427,0,0.631609344535378,-0.143082682166868,1.95884846847355
"12",0.25,5.88,-0.0623441808084169,0.15827039663042,1.47,0.319722829880517,-0.526834420405246,-0.393909297858132
"13",0.5,5.88,0.678165581346609,0.517931045525709,2.94,0.853299330685555,0.129689347201943,1.30937426363052
"14",0.75,5.88,2.33699785702282,1.02642790008365,4.41,2.04857583656432,1.60038274128492,2.27682612371737
"15",1,5.88,-0.663889935286144,2.22573062945266,5.88,-0.113722743901341,-1.06015498591475,-0.298279552116962
"16",0,6.32,0.370499110524646,0.189141281976427,0,0.631609344535378,0.00873290919705971,1.95884846847355
"17",0.25,6.32,-0.112002519842135,0.148865696202693,1.58,0.283941366716153,-0.432562065157407,-0.752372928748034
"18",0.5,6.32,0.527136430803148,0.4887012504361,3.16,0.744474829260999,0.151993072240879,1.07864759980203
"19",0.75,6.32,2.0072797842678,0.897549733422774,4.74,1.81099650337523,1.50572906420342,2.23639951026793
"20",1,6.32,-0.988159049097771,2.08059676832081,6.32,-0.347375813596506,-1.23389298048395,-0.474940201841842
"21",0,6.76,0.370499110524646,0.189141281976427,0,0.631609344535378,0.161648742330844,1.95884846847355
"22",0.25,6.76,-0.138808272445011,0.149426373474223,1.69,0.264626402341256,-0.315592713055303,-0.928940917307056
"23",0.5,6.76,0.385096496219214,0.481931799345521,3.38,0.642127534001432,0.175327078492178,0.799068450644235
"24",0.75,6.76,1.66595708361221,0.780465236557726,5.07,1.56505542120619,1.37554484739619,2.13456923585729
"25",1,6.76,-1.2927985975847,1.97504011826931,6.76,-0.566884741899402,-1.39692795516391,-0.654568272120746
"26",0,7.2,0.370499110524646,0.189141281976427,0,0.631609344535378,0.271261619582834,1.95884846847355
"27",0.25,7.2,-0.148313943641438,0.149367142764795,1.8,0.257777062826768,-0.200084535061582,-0.992948923679847
"28",0.5,7.2,0.269508289911576,0.480680267118627,3.6,0.558840109840441,0.179510584083415,0.560680993890402
"29",0.75,7.2,1.45570293788796,0.705384610261637,5.4,1.4135561742161,1.25717869881915,2.06370101744638
"30",1,7.2,-1.5877959038637,1.91440066234599,7.2,-0.779445924041263,-1.50786636742382,-0.82939581828077
"31",0,7.64,0.370499110524646,0.189141281976427,0,0.631609344535378,0.328593941865727,1.95884846847355
"32",0.25,7.64,-0.146226005579519,0.148438959269699,1.91,0.259281532776947,-0.110326223131568,-0.985091826963298
"33",0.5,7.64,0.182488184843347,0.474122303334635,3.82,0.496137515580418,0.1688924217548,0.384896857962294
"34",0.75,7.64,1.37345874084682,0.661370084587528,5.73,1.35429487462024,1.18053473728449,2.07668712700151
"35",1,7.64,-1.8619343446599,1.88075835184545,7.64,-0.976977188923583,-1.56769487777345,-0.989991267529358
"36",0,8.08,0.370499110524646,0.189141281976427,0,0.631609344535378,0.354822867738263,1.95884846847355
"37",0.25,8.08,-0.140447726753354,0.150556825996787,2.02,0.263445088687092,-0.0524980332444628,-0.932855257963206
"38",0.5,8.08,0.123536245524172,0.461423502380856,4.04,0.453659521224132,0.157946932039816,0.267728550641112
"39",0.75,8.08,1.35220810922513,0.635135939158458,6.06,1.33898266910981,1.13742991152346,2.12900581726927
"40",1,8.08,-2.0787644528595,1.85306227457998,8.08,-1.13321476513814,-1.59770167805708,-1.12179956463184
"41",0,8.52,0.370499110524646,0.189141281976427,0,0.631609344535378,0.361008190640427,1.95884846847355
"42",0.25,8.52,-0.133811962160112,0.154799384265832,2.13,0.268226508504602,-0.0215387510423924,-0.864421798541015
"43",0.5,8.52,0.0924326178753141,0.441060017610016,4.26,0.431247710264446,0.150079872566468,0.209569251768005
"44",0.75,8.52,1.37147198039259,0.621898779534816,6.39,1.35286330849474,1.12029968911367,2.20529775185997
"45",1,8.52,-2.22767903773782,1.8101225755502,8.52,-1.2405156100142,-1.60984900127817,-1.23067855615286
"46",0,8.96,0.370499110524646,0.189141281976427,0,0.631609344535378,0.362118582120997,1.95884846847355
"47",0.25,8.96,-0.12932733530304,0.160448721152353,2.24,0.271457919659601,-0.00199260223512948,-0.806035313801212
"48",0.5,8.96,0.078214872217022,0.421466078919578,4.48,0.42100307155015,0.149196754820353,0.185578095436588
"49",0.75,8.96,1.39520128370648,0.613230304002635,6.72,1.3699615282291,1.10858873191807,2.27516689015499
"50",1,8.96,-2.34754808060039,1.77419862573343,8.96,-1.32688760362483,-1.61791146662429,-1.32315967702317
"51",0,9.4,0.370499110524646,0.189141281976427,0,0.631609344535378,0.364580431603578,1.95884846847355
"52",0.25,9.4,-0.128747933968326,0.164841413710682,2.35,0.271875409006181,0.0125245203515302,-0.781041190257538
"53",0.5,9.4,0.0782641285496736,0.403625055129409,4.7,0.421038563346426,0.158503993067199,0.193903048274793
"54",0.75,9.4,1.40210456817606,0.599559139438128,7.05,1.37493571028528,1.09204152216426,2.33855924453095
"55",1,9.4,-2.45466404220106,1.75061509041303,9.4,-1.40407032678694,-1.62765046718656,-1.40217233111016
"56",0,9.84,0.370499110524646,0.189141281976427,0,0.631609344535378,0.368069154549895,1.95884846847355
