"Group.1","x","Group.1","x"
"1",2.66666666666667,"1",0.881917103688197
"2",2.5,"2",0.718795288428261
"3",1.875,"3",0.398098157314428
"4",3.25,"4",0.629152869605896
"5",3,"5",0.408248290463863
"6",1,"6",0
