"Group.1","x","Group.1","x"
"1",2.16666666666667,"1",0.401386485959743
"2",2.625,"2",0.323899234771733
"3",2.125,"3",0.479490056503484
"4",2,"4",0.316227766016838
"5",2.5,"5",0.5
