"banner.arg","banner.vd","value","se","x","z1","z2","z_LDH"
"1",0,5,1.95903996924358,0.663872588011017,0,0.435113988475219,0.445334737849633,2.95092763976431
"2",0.0208333333333333,5,1.21786523621705,0.318741014738831,0.104166666666667,0.148535879338927,0.199794158039166,3.82086138872006
"3",0.0416666666666667,5,-0.0200859412300955,0.39140559852487,0.208333333333333,-0.330122784842968,-0.210321346905529,-0.0513174602146609
"4",0.0625,5,-1.83692814233606,0.442461872147781,0.3125,-1.03261192726943,-0.812215161690657,-4.15160776095648
"5",0.0833333333333333,5,-2.50989224440212,0.671684935210256,0.416666666666667,-1.29281612918438,-1.03515853583698,-3.73671064040829
"6",0.104166666666667,5,-1.47614088441283,0.415817072475618,0.520833333333333,-0.893112123014221,-0.692691507481672,-3.54997661742082
"7",0.125,5,-0.339600922479572,0.239145752871908,0.625,-0.453664501913234,-0.316172086627547,-1.42005834685038
"8",0.145833333333333,5,-0.203839059842479,0.309222711726654,0.729166666666667,-0.40117164678245,-0.271196124843286,-0.659198215759351
"9",0.166666666666667,5,-0.591032651983148,0.368138623823182,0.833333333333333,-0.55088156343363,-0.399467819595885,-1.60546221921833
"10",0.1875,5,-0.889977318599641,0.487135047931653,0.9375,-0.66646968790396,-0.498503908525314,-1.82696219945256
"11",0.208333333333333,5,-0.977859021403765,0.605267559427963,1.04166666666667,-0.700449491983955,-0.52761785871779,-1.61558141713053
"12",0.229166666666667,5,-0.831866021967111,0.625466894821394,1.14583333333333,-0.644000727797339,-0.479252467761239,-1.32999208887731
"13",0.25,5,-0.525670650992333,0.550957703188062,1.25,-0.525609090130575,-0.377814324265139,-0.954103460121517
"14",0.270833333333333,5,-0.525385125458674,0.560879788386834,1.35416666666667,-0.525498690566342,-0.377719733742876,-0.936716095564351
"15",0.291666666666667,5,-1.26896034416501,0.929147461028495,1.45833333333333,-0.813004956878634,-0.624055560098297,-1.36572546058552
"16",0.3125,5,-2.5690668543065,1.43586739733057,1.5625,-1.31569622352601,-1.05476223706766,-1.78920898899346
"17",0.333333333333333,5,-3.74103299903879,1.78569198399398,1.66666666666667,-1.76884151675217,-1.44301784518956,-2.09500464389798
"18",0.354166666666667,5,-4.37247884251045,1.93048528004757,1.77083333333333,-2.01299252161057,-1.65220681455961,-2.26496357558484
"19",0.375,5,-4.49872044731024,1.91888070667086,1.875,-2.06180433181641,-1.69402885119619,-2.34445029942234
"20",0.395833333333333,5,-4.3948411717313,1.88095285479053,1.97916666666667,-2.02163900365917,-1.6596151341341,-2.33649724953936
"21",0.416666666666667,5,-4.2011952887585,1.8687272249405,2.08333333333333,-1.94676506569078,-1.59546302496965,-2.24815865723381
"22",0.4375,5,-3.87362279652774,1.85470067500389,2.1875,-1.82010788048801,-1.48694294719547,-2.08854336914479
"23",0.458333333333333,5,-3.3243047163709,1.7983577140163,2.29166666666667,-1.60771189650336,-1.30496173022749,-1.84852251054473
"24",0.479166666666667,5,-2.54255024404765,1.72034079670654,2.39583333333333,-1.30544347246735,-1.04597766365002,-1.47793405173857
"25",0.5,5,-1.58552008646862,1.65839596520606,2.5,-0.935404019253031,-0.728927271459104,-0.956056406150033
"26",0.520833333333333,5,-0.527296067395091,1.60958453837934,2.60416666666667,-0.526237563739435,-0.378352801453018,-0.327597622132986
"27",0.541666666666667,5,0.533685021418725,1.59389889352111,2.70833333333333,-0.116005076428314,-0.0268649537069151,0.334829908966028
"28",0.5625,5,1.50712774993953,1.63506750974064,2.8125,0.260380361527491,0.295622688306008,0.921752613247509
"29",0.583333333333333,5,2.35211563599351,1.70793828538054,2.91666666666667,0.58709823227789,0.57555507972374,1.37716664362345
"30",0.604166666666667,5,3.07792228455304,1.74124697357415,3.02083333333333,0.867734211452987,0.816004433130425,1.76765406129332
"31",0.625,5,3.69720911855536,1.6807105131295,3.125,1.10718388774819,1.02116529670843,2.19978936864691
"32",0.645833333333333,5,4.17306164235709,1.54451194200335,3.22916666666667,1.29117412705651,1.17880842644848,2.70186427755573
"33",0.666666666666667,5,4.41340927645408,1.41673734798979,3.33333333333333,1.38410547973989,1.25843215726735,3.11519229920512
"34",0.6875,5,4.32491094248612,1.41021355676703,3.4375,1.34988725280886,1.22911392599681,3.06684822432225
"35",0.708333333333333,5,3.88790629326678,1.60230238813142,3.54166666666667,1.18091769613542,1.08434054103396,2.42644979004293
"36",0.729166666666667,5,3.19724528197246,1.94906625999798,3.64583333333333,0.913870915057678,0.855534434175452,1.64039845519452
"37",0.75,5,2.43701973595846,2.34566000459689,3.75,0.619926734575205,0.60368259271727,1.03894841161231
"38",0.770833333333333,5,1.80286187540118,2.75329704193081,3.85416666666667,0.374727117704406,0.393595170906809,0.654801079558377
"39",0.791666666666667,5,1.42469371724631,3.20649895591781,3.95833333333333,0.228506920400812,0.268313473242838,0.444314417947007
"40",0.8125,5,1.34405192856657,3.71986789480662,4.0625,0.197326457431116,0.241598002966995,0.3613171130198
"41",0.833333333333333,5,1.53879245080692,4.24750440218112,4.16666666666667,0.272623641953265,0.306112750452021,0.362281543490982
"42",0.854166666666667,5,1.95409527975312,4.73637024958301,4.27083333333333,0.433202104945873,0.443696633000171,0.412572323695589
"43",0.875,5,2.52694260927404,5.17546748019902,4.375,0.654695765216136,0.633472753482696,0.488253982648321
"44",0.895833333333333,5,3.20108204198288,5.59255245382403,4.47916666666667,0.915354413320642,0.856805497847181,0.572383016236901
"45",0.916666666666667,5,3.93242105951794,6.02533055639536,4.58333333333333,1.1981295045963,1.09908764590463,0.652648186304736
