"FD.arg","FD.vd","value","se","x","z1","z2","z_LDH"
"1",0,5,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.510922042443005,4.20022208408114
"2",0.25,5,2.12952429611239,2.13700611317817,1.25,0.172793496376513,-0.624187387731691,0.996498925754287
"3",0.5,5,1.19453677411807,3.33275977939005,2.5,-0.182309421635404,-0.757510306170266,0.358422704662109
"4",0.75,5,8.22296836904555,3.93141441697183,3.75,2.48704873523319,0.24469666476652,2.09160558946601
"5",1,5,18.0637309046072,8.86076663569077,5,6.22451411272464,1.64792307157844,2.03861941605
"6",0,5.44,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.458173374214625,4.20022208408114
"7",0.25,5.44,1.70426112013202,1.73586250368441,1.36,0.0112809722397868,-0.6453774589163,0.981794996155911
"8",0.5,5.44,0.838230766463256,2.52145078826599,2.72,-0.317632407287153,-0.778311235596271,0.33243986770002
"9",0.75,5.44,7.43873830614634,3.27779832428057,4.08,2.18920263870542,0.234852323322461,2.26943135916669
"10",1,5.44,16.6385912120493,7.41158217881498,5.44,5.6832542012314,1.64700974540474,2.24494457601894
"11",0,5.88,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.40016345819132,4.20022208408114
"12",0.25,5.88,1.34404869860258,1.43460542068991,1.47,-0.125525647078947,-0.662203070436482,0.936876913483446
"13",0.5,5.88,0.605646184948115,2.04375941366789,2.94,-0.405966702278,-0.784681026111647,0.29633927599197
"14",0.75,5.88,6.47421399423161,2.76383670863992,4.41,1.82288181666515,0.188731407798992,2.34247340806815
"15",1,5.88,15.3341354342033,6.48702852762709,5.88,5.1878293509162,1.65831614694046,2.36381501467089
"16",0,6.32,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.319970278274028,4.20022208408114
"17",0.25,6.32,1.08254394848077,1.22766886064346,1.58,-0.224843656846779,-0.654485460519618,0.881788227416125
"18",0.5,6.32,0.523976220297781,1.80582591766356,3.16,-0.43698448816182,-0.755962066834327,0.290158766231309
"19",0.75,6.32,4.84122396106724,2.35718033233407,4.74,1.2026815335382,0.0283647520068975,2.05381993675192
"20",1,6.32,14.0538721395032,5.76824816715411,6.32,4.70159266745561,1.70205305362107,2.43641946952448
"21",0,6.76,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.228792719798972,4.20022208408114
"22",0.25,6.76,0.890938260169794,1.0774539665516,1.69,-0.297614402366227,-0.632012182124411,0.826892180852283
"23",0.5,6.76,0.53637608541678,1.67842237896869,3.38,-0.432275090246735,-0.702338128240432,0.319571576343231
"24",0.75,6.76,3.19088120145444,2.08101950787444,5.07,0.575890784065606,-0.175827978405059,1.53332594402905
"25",1,6.76,12.844719230399,5.31281751735152,6.76,4.24236330209505,1.73897100856887,2.41768500206313
"26",0,7.2,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.154331896040105,4.20022208408114
"27",0.25,7.2,0.74849354361156,0.954647286137568,1.8,-0.351714091736752,-0.625044605081914,0.784052450030952
"28",0.5,7.2,0.586424766999989,1.59627905127065,3.6,-0.413266886976879,-0.660113739877888,0.367369832068641
"29",0.75,7.2,2.21237695024005,1.9019085685951,5.4,0.204260460965524,-0.308283254833166,1.16324043477773
"30",1,7.2,11.7142538617484,5.00073721183735,7.2,3.813019014951,1.74777349583307,2.3425053878095
"31",0,7.64,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.103956693190938,4.20022208408114
"32",0.25,7.64,0.637983944102297,0.847217737729425,1.91,-0.393685006140362,-0.646152252362863,0.753034215043842
"33",0.5,7.64,0.668687966803628,1.50913641219261,3.82,-0.382023793771784,-0.638869414345489,0.443093123591192
"34",0.75,7.64,1.86944308138768,1.75074651214069,5.73,0.0740161372179259,-0.354056408469569,1.06779768997047
"35",1,7.64,10.7106578587593,4.70765661963431,7.64,3.43185898790981,1.74303476836886,2.27515698874217
"36",0,8.08,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.072420992060058,4.20022208408114
"37",0.25,8.08,0.536849200215498,0.75921261555197,2.02,-0.432095403949723,-0.685131932419574,0.707113118536883
"38",0.5,8.08,0.806792141832159,1.41171506167338,4.04,-0.329572617270887,-0.615841187076971,0.571497863652333
"39",0.75,8.08,1.79250182453676,1.6223989166783,6.06,0.0447942875348551,-0.362822685474456,1.10484653688424
"40",1,8.08,9.96994153420416,4.44280831667094,8.08,3.15053916055258,1.73621679703106,2.24406294928222
"41",0,8.52,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.0623080826784394,4.20022208408114
"42",0.25,8.52,0.435368929496322,0.688931703266128,2.13,-0.470637030875561,-0.73691833928875,0.631947880221362
"43",0.5,8.52,1.00942430345862,1.29921815270844,4.26,-0.252614080195292,-0.581295776161931,0.776947505970655
"44",0.75,8.52,1.86443189234892,1.50631511985453,6.39,0.0721129162566689,-0.349508951212307,1.23774359546293
"45",1,8.52,9.53537077233734,4.12378032385619,8.52,2.98549166848294,1.73003114934143,2.31228873108855
"46",0,8.96,2.92384897606673,0.696117709382115,0,0.474473470777691,-0.0586786194952747,4.20022208408114
"47",0.25,8.96,0.33017224346406,0.638127799513042,2.24,-0.510590131100429,-0.794318477250693,0.517407710048074
"48",0.5,8.96,1.26792677679794,1.21261689350913,4.48,-0.154436317993404,-0.528344848833634,1.04561200127169
"49",0.75,8.96,1.92527623816941,1.41468306140293,6.72,0.0952212511136924,-0.341902005675744,1.36092407599772
"50",1,8.96,9.20644916735766,3.86310057616503,8.96,2.86056912248328,1.72324395125535,2.38317615237889
