arg,vd,value,se,x,z,sd,z2
0.833333333,3,2.356118718,2.88856455,2.5,1.449776464,15.82131963,0.096459635
0.854166667,3,2.604217715,2.904477632,2.5625,1.602437739,15.90847917,0.111526545
0.875,3,2.83546249,2.938037117,2.625,1.744728205,16.09229204,0.124622551
0.895833333,3,3.047847978,3.012868313,2.6875,1.8754141,16.50215938,0.13439744
0.916666667,3,3.240139927,3.141756709,2.75,1.993735957,17.2081102,0.140058374
0.9375,3,3.411788008,3.325822565,2.8125,2.099355145,18.21628041,0.141729703
0.958333333,3,3.562869525,3.557397724,2.875,2.192319233,19.48466979,0.140257421
0.979166667,3,3.694004339,3.824719828,2.9375,2.273009635,20.94885326,0.136714134
1,3,3.806236926,4.115933037,3,2.342069043,22.5438937,0.132019649
0,4,1.183699038,0.517234078,0,0.728358462,2.83300772,0.124849303
0.020833333,4,0.687207193,0.249494642,0.083333333,0.422855099,1.366538434,-0.104492346
0.041666667,4,0.034762671,0.135178003,0.166666667,0.021390307,0.740400415,-1.074063861
0.0625,4,-0.29445529,0.342355768,0.25,-0.181185416,1.875159768,-0.599658391
0.083333333,4,-0.082315872,0.320055036,0.333333333,-0.050650934,1.753013629,-0.520427142
0.104166667,4,0.369968915,0.190858128,0.416666667,0.227650763,1.04537302,-0.44006405
0.125,4,0.546590925,0.195373027,0.5,0.336330531,1.07010214,-0.264843013
0.145833333,4,0.19018714,0.209214037,0.583333333,0.117026717,1.145912474,-0.558343569
0.166666667,4,-0.470740148,0.224992148,0.666666667,-0.289657725,1.232332747,-1.055510495
0.1875,4,-0.896999052,0.292281935,0.75,-0.551945071,1.60089409,-1.078771584
0.208333333,4,-0.645821889,0.315928333,0.833333333,-0.397389727,1.730410745,-0.852873743
0.229166667,4,0.306613223,0.325689878,0.916666667,0.188666484,1.783876929,-0.293398479
0.25,4,1.542142153,0.390423048,1,0.948917124,2.138435104,0.333020231
0.270833333,4,2.461030423,0.439685419,1.083333333,1.514331157,2.408256222,0.677266151
0.291666667,4,2.629263503,0.425448055,1.166666667,1.617849014,2.330274968,0.772124976
0.3125,4,1.993245328,0.391193701,1.25,1.226491747,2.142656144,0.542898743
0.333333333,4,0.859326631,0.376492289,1.333333333,0.528764325,2.062133194,0.014221502
0.354166667,4,-0.309775882,0.37396813,1.416666667,-0.190612544,2.048307806,-0.556447561
0.375,4,-1.138398371,0.398304047,1.5,-0.700483873,2.181601113,-0.902272354
0.395833333,4,-1.480327942,0.452877313,1.583333333,-0.910881354,2.480511201,-0.93139186
0.416666667,4,-1.394599118,0.487180884,1.666666667,-0.858130349,2.668399598,-0.833682901
0.4375,4,-1.041694166,0.480660172,1.75,-0.640979452,2.632684187,-0.710945192
0.458333333,4,-0.590344586,0.491541386,1.833333333,-0.36325321,2.692283051,-0.527561389
0.479166667,4,-0.159490763,0.602641435,1.916666667,-0.098138499,3.30080308,-0.299772734
0.5,4,0.195037653,0.801525228,2,0.120011354,4.390134478,-0.144633917
0.520833333,4,0.461577697,1.006382651,2.083333333,0.284019848,5.512184794,-0.0668378
0.541666667,4,0.644515031,1.143119898,2.166666667,0.396585586,6.261125541,-0.02962486
0.5625,4,0.746078513,1.175561284,2.25,0.459080037,6.43881433,-0.013033686
0.583333333,4,0.764431271,1.124342703,2.333333333,0.47037293,6.158278608,-0.01064725
0.604166667,4,0.702173014,1.065713666,2.416666667,0.432063929,5.837154147,-0.021898854
0.625,4,0.575458933,1.084494046,2.5,0.35409371,5.940018525,-0.042851898
0.645833333,4,0.417155474,1.192476383,2.583333333,0.256685787,6.531462143,-0.063208592
0.666666667,4,0.272014678,1.332055259,2.666666667,0.167377168,7.295967132,-0.076478596
0.6875,4,0.185844033,1.460432193,2.75,0.114354299,7.999116558,-0.080528389
0.708333333,4,0.193224955,1.586007881,2.833333333,0.118895958,8.686922928,-0.073302716
0.729166667,4,0.308641949,1.743626203,2.916666667,0.189914808,9.550234032,-0.054591128
0.75,4,0.524106607,1.94516336,3,0.322495389,10.6540985,-0.028711335
0.770833333,4,0.813600782,2.155129226,3.083333333,0.500628112,11.80412891,-0.001389278
0.791666667,4,1.142266945,2.311689692,3.166666667,0.702864299,12.6616459,0.024662429
0.8125,4,1.477232983,2.363597009,3.25,0.908976952,12.94595399,0.049995001
0.833333333,4,1.79836268,2.303978442,3.333333333,1.106575771,12.61940965,0.076735973
0.854166667,4,2.106920751,2.198982161,3.416666667,1.296438967,12.04432133,0.106018489
0.875,4,2.401834284,2.108163858,3.5,1.47790635,11.546889,0.136126214
0.895833333,4,2.680632996,2.092800689,3.583333333,1.649457897,11.46274146,0.161447678
0.916666667,4,2.940722836,2.201731969,3.666666667,1.809497425,12.05938265,0.175027437
0.9375,4,3.179882085,2.442977287,3.75,1.956657859,13.38073768,0.175616782
0.958333333,4,3.396703351,2.783732066,3.833333333,2.090073194,15.24712847,0.168340114
0.979166667,4,3.590858501,3.178481174,3.916666667,2.209541523,17.40925838,0.158585647
1,4,3.763067554,3.590973544,4,2.315505891,19.66857213,0.14912458
0,5,1.183699038,0.517234078,0,0.728358462,2.83300772,0.124849303
0.020833333,5,0.715517978,0.254036271,0.104166667,0.440275406,1.391413961,-0.082277471
0.041666667,5,0.090816343,0.128112381,0.208333333,0.055881478,0.70170041,-1.053417736
0.0625,5,-0.229956053,0.338305469,0.3125,-0.141497485,1.852975367,-0.57202922
0.083333333,5,-0.025634601,0.326824799,0.416666667,-0.015773586,1.790093148,-0.477983284
0.104166667,5,0.421356742,0.202445454,0.520833333,0.259270928,1.108839418,-0.368532405
0.125,5,0.595888259,0.199055271,0.625,0.366664365,1.090270621,-0.214728102
0.145833333,5,0.210280858,0.221615299,0.729166667,0.129390865,1.213836984,-0.510545609
0.166666667,5,-0.539527776,0.267761316,0.833333333,-0.331984405,1.466589128,-0.933818307
0.1875,5,-1.104944162,0.361574034,0.9375,-0.679898694,1.980422546,-0.97703602
0.208333333,5,-0.97771159,0.38060784,1.041666667,-0.601609435,2.084674995,-0.867143125
0.229166667,5,-0.047251083,0.335249052,1.145833333,-0.029074727,1.836234682,-0.477744534
0.25,5,1.31728654,0.369450558,1.25,0.810558062,2.023564045,0.240806087
0.270833333,5,2.489650211,0.465977786,1.354166667,1.5319416,2.552265447,0.650265517
0.291666667,5,2.945225486,0.518433624,1.458333333,1.812268014,2.839577904,0.744908419
0.3125,5,2.526694938,0.511768971,1.5625,1.554736111,2.803074096,0.605297926
0.333333333,5,1.477655563,0.456011965,1.666666667,0.909236976,2.497680397,0.259302817
0.354166667,5,0.262915838,0.375341225,1.770833333,0.161778433,2.055828557,-0.275842147
0.375,5,-0.687958075,0.379003418,1.875,-0.423317135,2.075887214,-0.731233405
0.395833333,5,-1.159106878,0.498770669,1.979166667,-0.713226315,2.731879464,-0.728109312
0.416666667,5,-1.170978087,0.593380275,2.083333333,-0.720530955,3.250077618,-0.615670862
0.4375,5,-0.886027573,0.587934169,2.1875,-0.545194056,3.220248067,-0.532886764
0.458333333,5,-0.490216254,0.512015257,2.291666667,-0.301641841,2.80442306,-0.470762159
0.479166667,5,-0.114602962,0.484337811,2.395833333,-0.070517957,2.652827445,-0.356074031
0.5,5,0.186215943,0.617725063,2.5,0.114583145,3.383419513,-0.190276155
0.520833333,5,0.412629502,0.837997557,2.604166667,0.253900848,4.589901651,-0.09093234
0.541666667,5,0.582331395,1.015475179,2.708333333,0.3583225,5.561986621,-0.044528803
0.5625,5,0.702477442,1.070246866,2.8125,0.43225125,5.861983506,-0.021754165
0.583333333,5,0.764875953,0.996400788,2.916666667,0.470646554,5.457511879,-0.011932919
0.604166667,5,0.75869008,0.873026981,3.020833333,0.466840238,4.781765708,-0.014912885
0.625,5,0.684502007,0.828979221,3.125,0.421190533,4.54050619,-0.032044443
0.645833333,5,0.561744089,0.928902702,3.229166667,0.345654636,5.087809636,-0.052725226
0.666666667,5,0.427082206,1.095242471,3.333333333,0.262793944,5.998890073,-0.06716539
0.6875,5,0.324782444,1.238851923,3.4375,0.199846442,6.785471436,-0.074455778
0.708333333,5,0.293644156,1.335154456,3.541666667,0.180686305,7.312942133,-0.073343373
0.729166667,5,0.356193852,1.407815983,3.645833333,0.219174636,7.710925707,-0.061446079
0.75,5,0.514180341,1.490741249,3.75,0.31638752,8.165126095,-0.038679091
0.770833333,5,0.751280616,1.592852139,3.854166667,0.462281016,8.724410473,-0.009022889
0.791666667,5,1.040985257,1.688976314,3.958333333,0.640543243,9.250904263,0.022806987
0.8125,5,1.356160306,1.73848016,4.0625,0.834478024,9.522047994,0.055257053
0.833333333,5,1.676930756,1.710889623,4.166666667,1.03185579,9.370928399,0.090378532
0.854166667,5,1.993591261,1.604250082,4.270833333,1.226704608,8.786839578,0.132424321
0.875,5,2.302547291,1.455901263,4.375,1.416812677,7.974299632,0.184661645
0.895833333,5,2.601040998,1.362033003,4.479166667,1.600483028,7.460161998,0.237399804
0.916666667,5,2.88537112,1.462475291,4.583333333,1.775438185,8.010307067,0.256590803
0.9375,5,3.151182248,1.806071073,4.6875,1.938998159,9.892258671,0.234646336
0.958333333,5,3.394605756,2.303886022,4.791666667,2.088782493,12.61890344,0.203235231
0.979166667,5,3.61351094,2.849546134,4.895833333,2.223480113,15.60760696,0.178343224
1,5,3.808105322,3.378358921,5,2.343218712,18.50403388,0.160943573
