"banner.arg","banner.vd","value","se","x","z1","z2"
"1",0,1,1.18369903848612,0.517234078276767,0,0.155376620339852,0.277412917263395
"2",0.0208333333333333,1,0.221734470882343,0.18560684921473,0.0208333333333333,-0.43593914223106,-0.0571601743304591
"3",0.0416666666666667,1,-0.67357019998108,0.213952142860182,0.0416666666666667,-0.986279333558112,-0.368548828067833
"4",0.0625,1,-0.993669283429626,0.265023605474501,0.0625,-1.18304295667067,-0.47987989323639
"5",0.0833333333333333,1,-1.02695263506146,0.23382558037687,0.0833333333333333,-1.20350209946438,-0.491455905731121
"6",0.104166666666667,1,-1.12238779924011,0.318674699255435,0.104166666666667,-1.262165712224,-0.524648435894216
"7",0.125,1,-1.37475269868811,0.489874362221025,0.125,-1.41729340402137,-0.612421424070292
"8",0.145833333333333,1,-1.77640572737772,0.686042485844164,0.145833333333333,-1.66418791027135,-0.752117105265142
"9",0.166666666666667,1,-2.33895929559597,0.889665021560568,0.166666666666667,-2.00998733301576,-0.947774297686242
"10",0.1875,1,-3.05294146951527,1.12861662557579,0.1875,-2.44886931250986,-1.19609864487724
"11",0.208333333333333,1,-3.81943976850293,1.44792891214084,0.208333333333333,-2.92003274351253,-1.46268819945153
"12",0.229166666666667,1,-4.46260413102489,1.85252456944017,0.229166666666667,-3.31538329829487,-1.68638197822342
"13",0.25,1,-4.81123929383487,2.29489800529547,0.25,-3.5296879349714,-1.80763794563418
"14",0.270833333333333,1,-4.77886920089725,2.71097478248277,0.270833333333333,-3.50979016863518,-1.79637956623638
"15",0.291666666666667,1,-4.39124299535892,3.05692454263391,0.291666666666667,-3.27151789433372,-1.66156244059858
"16",0.3125,1,-3.75730223852095,3.32260412054746,0.3125,-2.88183705298196,-1.44107664928616
"17",0.333333333333333,1,-3.01148286549258,3.51844946167303,0.333333333333333,-2.42338487485134,-1.18167926417636
"18",0.354166666666667,1,-2.26066614289127,3.65250560155495,0.354166666666667,-1.96186084597583,-0.920543791456381
"19",0.375,1,-1.55686778677508,3.72404252918418,0.375,-1.52923881845182,-0.675761395311563
"20",0.395833333333333,1,-0.899552724940761,3.73739418181512,0.395833333333333,-1.12518988554143,-0.447145976620073
"21",0.416666666666667,1,-0.258213293020507,3.70998655502913,0.416666666666667,-0.730961108282635,-0.224086912154627
"22",0.4375,1,0.399613484926453,3.65668463780568,0.4375,-0.326597625529606,0.0047064823663163
"23",0.458333333333333,1,1.08772616621885,3.5702991773909,0.458333333333333,0.0963824805741801,0.244033371212559
"24",0.479166666666667,1,1.79437217788687,3.43023191889719,0.479166666666667,0.530754950547818,0.489806187331105
"25",0.5,1,2.48817211676484,3.23360274548036,0.5,0.957230991085577,0.731111115096011
"26",0.520833333333333,1,3.13094353346659,3.0118244879937,0.520833333333333,1.35234000364781,0.954668226570253
"27",0.541666666666667,1,3.69017773361826,2.81569275471424,0.541666666666667,1.69609902415118,1.149170936515
"28",0.5625,1,4.145905393689,2.69475387401687,0.5625,1.97623298949114,1.30767387652921
"29",0.583333333333333,1,4.49045986622771,2.70169768907316,0.583333333333333,2.18802924222003,1.4275105721644
"30",0.604166666666667,1,4.72328330367887,2.89146315350092,0.604166666666667,2.33114487568224,1.50848700298823
"31",0.625,1,4.84486139787475,3.27099208107147,0.625,2.40587844269961,1.55077209353634
"32",0.645833333333333,1,4.85350012391511,3.76899663363238,0.645833333333333,2.41118863295841,1.55377665875225
"33",0.666666666666667,1,4.7464753782754,4.28689520459736,0.666666666666667,2.34540095094477,1.51655325029042
"34",0.6875,1,4.52439834164273,4.75966207297543,0.6875,2.20889108697645,1.43931443794697
"35",0.708333333333333,1,4.19587234550691,5.16599960989573,0.708333333333333,2.00694747442394,1.32505247664635
"36",0.729166666666667,1,3.77951461906775,5.49964659946085,0.729166666666667,1.7510140494279,1.1802424738302
"37",0.75,1,3.3020523172909,5.74936406301913,0.75,1.45751988697937,1.01418018442289
"38",0.770833333333333,1,2.79348750967061,5.92036519736671,0.770833333333333,1.14490713889883,0.837300384800746
"39",0.791666666666667,1,2.28193998792466,6.07193831999169,0.791666666666667,0.830460928404865,0.659383191578081
"40",0.8125,1,1.79074972180763,6.30616964507317,0.8125,0.528528241320666,0.488546290272096
"41",0.833333333333333,1,1.33860376015308,6.68427414193374,0.833333333333333,0.2505959316358,0.331289071724781
"42",0.854166666666667,1,0.940419401188772,7.1600890450277,0.854166666666667,0.00583360275782956,0.192799800404885
"43",0.875,1,0.601436299554879,7.63665733042786,0.875,-0.202537950615081,0.0749008380821482
"44",0.895833333333333,1,0.29880684983316,8.09873851744596,0.895833333333333,-0.388563059922769,-0.0303542555154855
"45",0.916666666666667,1,0.0206519012575815,8.5472467328218,0.916666666666667,-0.559543791509951,-0.127097071437364
"46",0.9375,1,-0.239121476114061,8.982906255615,0.9375,-0.719225444981625,-0.217446742213186
"47",0.958333333333333,1,-0.484444005974743,9.40676679196447,0.958333333333333,-0.87002422043106,-0.302770380959641
"48",0.979166666666667,1,-0.718084973310205,9.81993893597635,0.979166666666667,-1.01364238623515,-0.384031150219702
"49",1,1,-0.942098310847474,10.2234730807757,1,-1.15134248660565,-0.461943411671074
"50",0,2,1.18369903848612,0.517234078276767,0,0.155376620339852,-0.0150323308031515
"51",0.0208333333333333,2,0.537074699082929,0.225520694788369,0.0416666666666667,-0.242100768358106,-0.330537771680231
"52",0.0416666666666667,2,-0.229071649665118,0.168575215156182,0.0833333333333333,-0.713047856959683,-0.704361221878875
"53",0.0625,2,-0.558626717568417,0.328110300870118,0.125,-0.915624035801453,-0.865160020587988
