FD.arg,FD.vd,value,se,x,z
0.791666667,2,4.319232571,3.687117503,1.583333333,1.226915387
0.8125,2,4.209798056,3.759231056,1.625,1.184300982
0.833333333,2,4.047851227,3.832985584,1.666666667,1.121237993
0.854166667,2,3.835016866,3.911738515,1.708333333,1.038359118
0.875,2,3.574303537,3.998900711,1.75,0.936835908
0.895833333,2,3.269850141,4.097563361,1.791666667,0.818280074
0.916666667,2,2.926619197,4.210354602,1.833333333,0.684624049
0.9375,2,2.550076335,4.339423456,1.875,0.53799618
0.958333333,2,2.145886393,4.4864541,1.916666667,0.380602384
0.979166667,2,1.719647705,4.652655723,1.958333333,0.214622686
1,2,1.276677751,4.838720962,2,0.042127739
0,3,0.352634548,0.711179688,0,-0.317699786
0.020833333,3,0.333530067,0.352216444,0.0625,-0.325139177
0.041666667,3,0.322969491,0.22943094,0.125,-0.329251523
0.0625,3,0.493124319,0.490141934,0.1875,-0.262992294
0.083333333,3,0.812214037,0.478505828,0.25,-0.138736996
0.104166667,3,1.009838097,0.34188408,0.3125,-0.061781095
0.125,3,0.838354946,0.310277775,0.375,-0.128557581
0.145833333,3,0.332639147,0.291550136,0.4375,-0.325486106
0.166666667,3,-0.169893012,0.281741483,0.5,-0.521174903
0.1875,3,-0.260893986,0.35911764,0.5625,-0.556611185
0.208333333,3,0.244316699,0.4454535,0.625,-0.359879355
0.229166667,3,1.164796345,0.510561044,0.6875,-0.001439498
0.25,3,2.05030199,0.53788398,0.75,0.34338129
0.270833333,3,2.4355354,0.49622225,0.8125,0.493393307
0.291666667,3,2.085842461,0.432658363,0.875,0.357220945
0.3125,3,1.098468544,0.477743147,0.9375,-0.02726791
0.333333333,3,-0.173461387,0.619072215,1,-0.522564449
0.354166667,3,-1.308187363,0.736579414,1.0625,-0.964433009
0.375,3,-2.012024167,0.779798526,1.125,-1.238510947
0.395833333,3,-2.23840271,0.770751224,1.1875,-1.326664002
0.416666667,3,-2.05194904,0.743350478,1.25,-1.254057913
0.4375,3,-1.590380227,0.759158497,1.3125,-1.074320469
0.458333333,3,-1.008985377,0.861301845,1.375,-0.847922104
0.479166667,3,-0.432738,1.022516928,1.4375,-0.623528193
0.5,3,0.065253449,1.181962365,1.5,-0.429607573
0.520833333,3,0.460884934,1.290975474,1.5625,-0.275546488
0.541666667,3,0.762485205,1.32763614,1.625,-0.158101677
0.5625,3,0.992190628,1.303788377,1.6875,-0.068653117
0.583333333,3,1.172908121,1.265232425,1.75,0.001719272
0.604166667,3,1.323011857,1.270407727,1.8125,0.060170496
