FD.arg,FD.vd,value,se,x,Z_Score
0,1,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,1,-15.0894127656575,5.17005797732761,0.25,-2.9186157741034
0.5,1,-7.0544708125556,7.58904640867459,0.5,-0.929559582675902
0.75,1,11.8453001837282,4.67343542737012,0.75,2.53460230013147
1,1,12.9905585271021,21.6619978274746,1,0.599693464590131
0,2,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,2,-3.20292992114395,0.753211649000605,0.5,-4.25236376175772
0.5,2,3.03940672150997,1.35410047763156,1,2.24459467500238
0.75,2,-2.05922069051701,1.56133280983579,1.5,-1.31888645235962
1,2,4.19761978249162,4.28716106429864,2,0.979114084947106
0,3,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,3,-3.74840652645401,0.837933176384634,0.75,-4.47339553092643
0.5,3,4.80639466060846,1.60849383541903,1.5,2.98813371538745
0.75,3,1.3593943077396,0.988429662128443,2.25,1.3753070752777
1,3,-4.96802841485767,3.14822611944244,3,-1.5780405302455
0,4,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,4,-2.57870961126112,0.786493104128828,1,-3.27874408271827
0.5,4,0.251640890220344,0.88785934044685,2,0.283424275396704
0.75,4,0.724780311236909,1.29965482287982,3,0.557671389724015
1,4,-1.71373753258944,4.24755335460989,4,-0.403464627637817
0,5,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,5,-1.31505726327868,0.566896764727182,1.25,-2.3197473422018
0.5,5,0.115279170479332,0.872342724850453,2.5,0.132148944669762
0.75,5,0.302897050888749,1.30223055092729,3.75,0.232598636756804
1,5,3.44089708507049,3.62114040164319,5,0.950224709185287
0,6,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,6,-0.490077988577661,0.431235144151932,1.5,-1.13645187602103
0.5,6,0.426548779993093,0.808748652856833,3,0.527418226276294
0.75,6,-0.460677205955951,1.17154825103072,4.5,-0.393220855863725
1,6,6.9775070199471,3.53855006605635,6,1.97185482462974
0,7,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,7,-0.0452674883705195,0.321948210340317,1.75,-0.140604876550391
0.5,7,0.353432261384594,0.447258481189694,3.5,0.790219249603664
0.75,7,-1.71335886340221,0.871424650521339,5.25,-1.96615836191594
1,7,8.95523572065963,3.73477212422948,7,2.39779976469306
0,8,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,8,0.229959071889043,0.511743417728355,2,0.449364005324854
0.5,8,0.212964665341694,0.82818104355874,4,0.257147476385807
0.75,8,-2.56691276749003,1.16216041517275,6,-2.20874221318963
1,8,9.69182085094785,4.07773550053968,8,2.37676544976131
0,9,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,9,0.431300222648085,0.75859312851078,2.25,0.568552767535326
0.5,9,0.162204930865694,1.20329820962,4.5,0.134800276081951
0.75,9,-2.87794634495249,1.5177594066065,6.75,-1.89618086531065
1,9,10.1110511361434,4.45432343807896,9,2.26994094090842
0,10,1.15347296338637,0.63182597549088,0,1.82561814191038
0.25,10,0.587543562788666,0.967230525653675,2.5,0.607449358974265
0.5,10,0.143968049328744,1.5489680260141,5,0.092944493953959
0.75,10,-2.9908694839437,1.97156287838783,7.5,-1.51700436071782
1,10,10.3845656406002,4.7250189314635,10,2.19778286420193
