banner.arg,banner.vd,value,se,x,Z_Score
0,1,-1.846593727,1.233955969,0,-1.496482673
0.25,1,0.086961472,1.379717011,0.5,0.063028484
0.5,1,-3.340090029,4.26083624,1,-0.783904812
0.75,1,-6.597748675,6.151521713,1.5,-1.072539281
1,1,-9.83817029,11.19165715,2,-0.879062873
0,2,-1.846593727,1.233955969,0,-1.496482673
0.25,2,0.372134891,0.872602031,0.75,0.426465763
0.5,2,-2.75374781,2.949405517,1.5,-0.933661985
0.75,2,-2.689698168,3.150388765,2.25,-0.853767065
1,2,-4.439539443,6.292506835,3,-0.705527949
0,3,-1.846593727,1.233955969,0,-1.496482673
0.25,3,-0.074665567,0.473148747,1,-0.157805695
0.5,3,-2.803140597,1.86919429,2,-1.499651808
0.75,3,-0.660943047,1.214618836,3,-0.544156757
1,3,-0.149358849,3.172830526,4,-0.047074323
0,4,-1.846593727,1.233955969,0,-1.496482673
0.25,4,-0.91563818,0.344343284,1.25,-2.659085347
0.5,4,-2.998666316,1.397526095,2.5,-2.145696116
0.75,4,0.549480742,0.576039999,3.75,0.95389338
1,4,3.894852109,2.182274252,5,1.784767476
0,5,-1.846593727,1.233955969,0,-1.496482673
0.25,5,-1.239390121,0.242447505,1.5,-5.111993717
0.5,5,-3.389975265,1.261624182,3,-2.686992937
0.75,5,0.72731663,0.600055529,4.5,1.212082208
1,5,5.88244797,2.135803384,6,2.754208563
0,6,-1.846593727,1.233955969,0,-1.496482673
0.25,6,-1.480997679,0.343254226,1.75,-4.314579597
0.5,6,-3.479760689,1.339882342,3.5,-2.59706437
0.75,6,1.089099096,0.689960092,5.25,1.578495783
1,6,7.641405959,2.607619311,7,2.930414699
0,7,-1.846593727,1.233955969,0,-1.496482673
0.25,7,-1.658562547,0.484031796,2,-3.426557018
0.5,7,-3.610130926,1.490074081,4,-2.422786204
0.75,7,0.957103972,0.843984539,6,1.134030219
1,7,8.546333945,3.192948656,8,2.676627427
